Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
739,532,Iason Abramashvili,M,17.0,176.0,82.0,Georgia,GEO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,4136000.0,0.000626817,47.475,72.73,7745406201.0,1872.680416,0.000150689
740,532,Iason Abramashvili,M,17.0,176.0,82.0,Georgia,GEO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,,0,4136000.0,0.000626817,47.475,72.73,7745406201.0,1872.680416,0.000150689
741,532,Iason Abramashvili,M,21.0,176.0,82.0,Georgia,GEO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,3926000.0,0.000566469,47.131,72.649,11638536834.0,2964.477034,0.000176341
742,532,Iason Abramashvili,M,21.0,176.0,82.0,Georgia,GEO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,,0,3926000.0,0.000566469,47.131,72.649,11638536834.0,2964.477034,0.000176341
743,532,Iason Abramashvili,M,25.0,176.0,82.0,Georgia,GEO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,3727000.0,0.000512726,46.532,72.951,16509305828.0,4429.650075,0.000208979
744,532,Iason Abramashvili,M,25.0,176.0,82.0,Georgia,GEO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,,0,3727000.0,0.000512726,46.532,72.951,16509305828.0,4429.650075,0.000208979
759,537,Ek'aterina Abramia,F,16.0,167.0,43.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,,0,4616100.0,0.0007969,46.4,70.687,3094915506.0,670.4611048,9.79e-05
761,539,Levan Abramishvili,M,23.0,181.0,84.0,Georgia,GEO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,,0,4861600.0,0.000864309,45.92,70.307,2513870587.0,517.087088,9.04e-05
762,539,Levan Abramishvili,M,27.0,181.0,84.0,Georgia,GEO,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,,0,4487300.0,0.000753252,46.88,71.274,3613500117.0,805.2726845,0.000115447
784,554,Benik Abramyan,M,31.0,186.0,115.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
2326,1656,Sofia Akhmeteli,F,16.0,163.0,59.0,Georgia,GEO,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,,0,4487300.0,0.000753252,46.88,71.274,3613500117.0,805.2726845,0.000115447
2327,1656,Sofia Akhmeteli,F,20.0,163.0,59.0,Georgia,GEO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,4357000.0,0.000694141,47.707,72.408,3395778674.0,779.3845935,9.81e-05
2328,1656,Sofia Akhmeteli,F,20.0,163.0,59.0,Georgia,GEO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,,0,4357000.0,0.000694141,47.707,72.408,3395778674.0,779.3845935,9.81e-05
4969,3440,Sandro Aminashvili,M,24.0,180.0,85.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
7854,5466,Giorgi Asanidze,M,25.0,173.0,85.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
7855,5466,Giorgi Asanidze,M,28.0,173.0,85.0,Georgia,GEO,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,0,4245000.0,0.000659536,47.589,72.682,5125273881.0,1207.367228,0.000117015
9028,6294,Maia Azarashvili,F,32.0,169.0,57.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 200 metres,,0,4616100.0,0.0007969,46.4,70.687,3094915506.0,670.4611048,9.79e-05
12207,8451,Nikoloz Basilashvili,M,24.0,185.0,80.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
12958,8946,Sandro Bazadze,M,23.0,193.0,88.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
13520,9299,Davit Bedinadze,M,23.0,168.0,60.0,Georgia,GEO,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,4030000.0,0.000595824,47.375,72.673,12795044473.0,3174.949001,0.000201497
14854,10101,Aleksi Benianidze,M,22.0,184.0,80.0,Georgia,GEO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,3727000.0,0.000512726,46.532,72.951,16509305828.0,4429.650075,0.000208979
14855,10101,Aleksi Benianidze,M,22.0,184.0,80.0,Georgia,GEO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,,0,3727000.0,0.000512726,46.532,72.951,16509305828.0,4429.650075,0.000208979
15567,10590,Zurab Beridze,M,21.0,,,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
16112,11044,Emzarios Betinidis,M,25.0,175.0,74.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
18851,12980,Irak'li Bolkvadze,M,17.0,183.0,73.0,Georgia,GEO,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,,0,3825000.0,0.00053893,46.838,72.742,15846474596.0,4142.869175,0.000211568
18852,12981,Shmagi Bolkvadze,M,22.0,170.0,66.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
20009,13791,Teona Bostashvili,F,18.0,159.0,48.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
28417,19489,Vladimir Ch'ant'uria,M,22.0,186.0,91.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,Bronze,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
28418,19491,Irak'li Ch'och'ua,M,24.0,160.0,55.0,Georgia,GEO,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,0,4245000.0,0.000659536,47.589,72.682,5125273881.0,1207.367228,0.000117015
28419,19492,Avtandil Ch'rik'ishvili,M,21.0,182.0,80.0,Georgia,GEO,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Middleweight,,0,3825000.0,0.00053893,46.838,72.742,15846474596.0,4142.869175,0.000211568
28420,19492,Avtandil Ch'rik'ishvili,M,25.0,182.0,80.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
28479,19527,Ak'ak'i Chachua,M,30.0,168.0,60.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
28480,19527,Ak'ak'i Chachua,M,34.0,168.0,60.0,Georgia,GEO,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,4245000.0,0.000659536,47.589,72.682,5125273881.0,1207.367228,0.000117015
28561,19581,Margalit'a Chakhnashvili,F,29.0,172.0,58.0,Georgia,GEO,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Doubles,,0,3825000.0,0.00053893,46.838,72.742,15846474596.0,4142.869175,0.000211568
30612,20895,Gennady Chkhaidze,M,26.0,186.0,96.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
30614,20896,Giorgi Chkheidze,M,18.0,178.0,105.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
37199,25486,Zurabi Datunashvili,M,21.0,183.0,75.0,Georgia,GEO,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,3825000.0,0.00053893,46.838,72.742,15846474596.0,4142.869175,0.000211568
37200,25486,Zurabi Datunashvili,M,25.0,183.0,75.0,Georgia,GEO,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,3719300.0,0.000499762,46.174,73.261,14378016729.0,3865.785693,0.000189684
37568,25742,Aleksi Davitashvili,M,26.0,188.0,125.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Heavyweight,,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
40471,28019,Vladimer Dgebuadze,M,23.0,177.0,71.0,Georgia,GEO,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,,0,4616100.0,0.0007969,46.4,70.687,3094915506.0,670.4611048,9.79e-05
40803,28206,Asmat Diasamidze,F,27.0,175.0,69.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Individual,,0,4418300.0,0.000722172,47.362,71.907,3057453483.0,691.9977102,9.1e-05
