Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
543,396,Katja Abel,F,25.0,165.0,55.0,Germany,DEU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,,0,82110097.0,0.012139738,26.105,79.73658537,3750000000000.0,45670.38814,0.059055118
544,396,Katja Abel,F,25.0,165.0,55.0,Germany,DEU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,,0,82110097.0,0.012139738,26.105,79.73658537,3750000000000.0,45670.38814,0.059055118
545,396,Katja Abel,F,25.0,165.0,55.0,Germany,DEU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,,0,82110097.0,0.012139738,26.105,79.73658537,3750000000000.0,45670.38814,0.059055118
546,396,Katja Abel,F,25.0,165.0,55.0,Germany,DEU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,,0,82110097.0,0.012139738,26.105,79.73658537,3750000000000.0,45670.38814,0.059055118
547,396,Katja Abel,F,25.0,165.0,55.0,Germany,DEU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,,0,82110097.0,0.012139738,26.105,79.73658537,3750000000000.0,45670.38814,0.059055118
552,402,Arthur Abele,M,22.0,184.0,85.0,Germany,DEU,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,,0,82110097.0,0.012139738,26.105,79.73658537,3750000000000.0,45670.38814,0.059055118
553,402,Arthur Abele,M,30.0,184.0,85.0,Germany,DEU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,82667685.0,0.01110806,24.49,80.64146341,3480000000000.0,42096.25563,0.04591029
795,561,Thomas Abratis,M,26.0,184.0,73.0,Germany,DEU,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,,0,81438348.0,0.014478339,26.657,76.27073171,2210000000000.0,27137.09271,0.079496403
796,561,Thomas Abratis,M,26.0,184.0,73.0,Germany,DEU,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,,0,81438348.0,0.014478339,26.657,76.27073171,2210000000000.0,27137.09271,0.079496403
841,586,Tobias Abstreiter,M,31.0,178.0,85.0,Germany,DEU,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,82488495.0,0.013141756,26.826,78.22926829,2080000000000.0,25215.63765,0.060115607
966,666,Aziz Acharki,M,28.0,180.0,68.0,Germany,DEU,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Featherweight,,0,82211508.0,0.013437479,26.933,77.92682927,1950000000000.0,23719.30703,0.058035714
1011,701,Georg Ackermann,M,24.0,191.0,75.0,Germany,DEU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,,0,81914831.0,0.014141366,26.768,76.67317073,2500000000000.0,30519.50385,0.079113924
1012,702,Ronny Ackermann,M,20.0,184.0,69.0,Germany,DEU,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Team,,0,82047195.0,0.013772692,26.896,77.47560976,2240000000000.0,27301.35991,0.071565495
1013,702,Ronny Ackermann,M,20.0,184.0,69.0,Germany,DEU,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Individual,,0,82047195.0,0.013772692,26.896,77.47560976,2240000000000.0,27301.35991,0.071565495
1014,702,Ronny Ackermann,M,24.0,184.0,69.0,Germany,DEU,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver,0,82488495.0,0.013141756,26.826,78.22926829,2080000000000.0,25215.63765,0.060115607
1015,702,Ronny Ackermann,M,24.0,184.0,69.0,Germany,DEU,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Individual,,0,82488495.0,0.013141756,26.826,78.22926829,2080000000000.0,25215.63765,0.060115607
1016,702,Ronny Ackermann,M,24.0,184.0,69.0,Germany,DEU,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver,0,82488495.0,0.013141756,26.826,78.22926829,2080000000000.0,25215.63765,0.060115607
1017,702,Ronny Ackermann,M,28.0,184.0,69.0,Germany,DEU,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver,0,82376451.0,0.012484267,26.506,79.13170732,3000000000000.0,36418.1749,0.058365759
1018,702,Ronny Ackermann,M,28.0,184.0,69.0,Germany,DEU,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Individual,,0,82376451.0,0.012484267,26.506,79.13170732,3000000000000.0,36418.1749,0.058365759
1019,702,Ronny Ackermann,M,28.0,184.0,69.0,Germany,DEU,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Sprint,,0,82376451.0,0.012484267,26.506,79.13170732,3000000000000.0,36418.1749,0.058365759
1099,769,Leonie Adam,F,23.0,162.0,54.0,Germany,DEU,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,,0,82667685.0,0.01110806,24.49,80.64146341,3480000000000.0,42096.25563,0.04591029
1116,780,Tony Adam,M,18.0,169.0,61.0,Germany,DEU,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Platform,,0,82516260.0,0.012820356,26.711,78.6804878,2820000000000.0,34175.08258,0.064383562
1146,796,"Sabine Heidrun Adamik (Picken-, -Bothe)",F,32.0,172.0,68.0,Germany,DEU,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,,0,80624598.0,0.014776853,26.64,75.8195122,2120000000000.0,26294.70475,0.083464567
1194,827,Mareike Adams,F,26.0,174.0,73.0,Germany,DEU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,,0,82667685.0,0.01110806,24.49,80.64146341,3480000000000.0,42096.25563,0.04591029
1222,849,Filip Kamil Adamski,M,25.0,189.0,87.0,Germany,DEU,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,,0,82110097.0,0.012139738,26.105,79.73658537,3750000000000.0,45670.38814,0.059055118
1223,849,Filip Kamil Adamski,M,29.0,189.0,87.0,Germany,DEU,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold,0,80425823.0,0.011331729,25.312,80.53902439,3540000000000.0,44015.71371,0.047263017
