Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
633,458,Felix Ahmed Aboagye,M,20.0,176.0,70.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,,0,17185608.0,0.002966837,59.104,57.347,6934984709.0,403.5344405,0.000219462
967,667,"Benjamin ""Ben"" Acheampong",M,25.0,161.0,62.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,,0,7513289.0,0.002305962,74.512,47.47,1731296200.0,230.4312,0.000961831
968,668,Gemma Acheampong,F,23.0,163.0,54.0,Ghana,GHA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,,0,28206728.0,0.003790139,45.318,62.742,42689783734.0,1513.461034,0.00056319
969,669,Joachim Yaw Acheampong,M,18.0,181.0,73.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,0,15463854.0,0.002834211,62.095,57.439,6413901602.0,414.7673408,0.000252516
1057,730,Edward Acquah,M,29.0,188.0,82.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,,0,7513289.0,0.002305962,74.512,47.47,1731296200.0,230.4312,0.000961831
1058,731,Oliver Acquah,M,22.0,177.0,82.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,,0,8221020.0,0.002325724,72.14,48.768,1666909518.0,202.7618858,0.00068316
1059,731,Oliver Acquah,M,26.0,177.0,82.0,Ghana,GHA,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,9083573.0,0.002366176,70.608,49.911,2112293280.0,232.5399135,0.00056029
1060,732,"Samuel ""Sam"" Acquah",M,21.0,178.0,72.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,,0,7513289.0,0.002305962,74.512,47.47,1731296200.0,230.4312,0.000961831
1231,858,Charles Adamu,M,23.0,170.0,81.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Heavyweight,,0,18938762.0,0.003095542,56.071,56.994,4983024408.0,263.1124679,0.000148304
1252,881,"Joseph ""Joe"" Addo",M,24.0,182.0,81.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,,0,17185608.0,0.002966837,59.104,57.347,6934984709.0,403.5344405,0.000219462
1253,882,Simon Addo,M,17.0,180.0,79.0,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,0,15463854.0,0.002834211,62.095,57.439,6413901602.0,414.7673408,0.000252516
1254,882,Simon Addo,M,21.0,180.0,79.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,,0,17185608.0,0.002966837,59.104,57.347,6934984709.0,403.5344405,0.000219462
