Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
702,509,Gary Abraham,M,17.0,175.0,64.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Backstroke,,0,56211968.0,0.013580555,22.156,72.77560976,233000000000.0,4145.024775,0.036292835
703,509,Gary Abraham,M,17.0,175.0,64.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,56211968.0,0.013580555,22.156,72.77560976,233000000000.0,4145.024775,0.036292835
704,509,Gary Abraham,M,21.0,175.0,64.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Backstroke,,0,56314216.0,0.012689983,21.519,73.67560976,565000000000.0,10032.9906,0.050446429
705,509,Gary Abraham,M,21.0,175.0,64.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,,0,56314216.0,0.012689983,21.519,73.67560976,565000000000.0,10032.9906,0.050446429
706,509,Gary Abraham,M,21.0,175.0,64.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,0,56314216.0,0.012689983,21.519,73.67560976,565000000000.0,10032.9906,0.050446429
954,656,David Laurence Acfield,M,21.0,178.0,73.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",,0,55211700.0,0.015619376,22.6,71.72439024,105000000000.0,1901.77082,0.043032787
955,656,David Laurence Acfield,M,25.0,178.0,73.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Sabre, Team",,0,56086065.0,0.014609836,22.805,72.12439024,170000000000.0,3031.055932,0.045092838
965,664,Kieron Robert Achara,M,29.0,208.0,110.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,,1,63700300.0,0.008975159,18.166,80.90487805,2660000000000.0,41758.0451,0.035514019
978,675,"Onochie Lawrence ""Larry"" Achike",M,25.0,188.0,75.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Triple Jump,,0,58892514.0,0.009625987,21.349,77.74146341,1650000000000.0,28017.14323,0.049107143
979,675,"Onochie Lawrence ""Larry"" Achike",M,33.0,188.0,75.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,,0,61806995.0,0.009137983,19.243,79.6,2890000000000.0,46758.46156,0.045511811
1010,700,"Nathaniel Leedom ""Nate"" Ackerman",M,26.0,173.0,74.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,59987905.0,0.009320179,20.371,78.74634146,2400000000000.0,40008.06496,0.054794521
