Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
117,75,Giorgos Abalof,M,22.0,178.0,70.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's epee, Individual",,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
122,81,Georgios Abaris,M,22.0,190.0,77.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
138,95,Georgia Abatzidou,F,35.0,155.0,43.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
1139,793,Panagiotis Adamidis,M,18.0,,,Greece,GRC,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Backstroke,,0,10608800.0,0.00183145,27.761,77.68536585,146000000000.0,13762.15972,0.004620253
1140,793,Panagiotis Adamidis,M,18.0,,,Greece,GRC,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,,0,10608800.0,0.00183145,27.761,77.68536585,146000000000.0,13762.15972,0.004620253
1558,1097,Georgios Afroudakis,M,19.0,194.0,103.0,Greece,GRC,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,,0,10608800.0,0.00183145,27.761,77.68536585,146000000000.0,13762.15972,0.004620253
1559,1097,Georgios Afroudakis,M,23.0,194.0,103.0,Greece,GRC,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,,0,10805808.0,0.00176621,27.284,77.88780488,130000000000.0,12030.56727,0.003869048
1560,1097,Georgios Afroudakis,M,27.0,194.0,103.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
1561,1097,Georgios Afroudakis,M,31.0,194.0,103.0,Greece,GRC,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,,0,11077841.0,0.001637826,24.432,79.93902439,354000000000.0,31955.68523,0.005574803
1562,1097,Georgios Afroudakis,M,35.0,194.0,103.0,Greece,GRC,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,,0,11045011.0,0.001556205,23.0,80.63414634,246000000000.0,22272.49932,0.003284379
1563,1098,Khristos Afroudakis,M,20.0,188.0,88.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
1564,1098,Khristos Afroudakis,M,24.0,188.0,88.0,Greece,GRC,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,,0,11077841.0,0.001637826,24.432,79.93902439,354000000000.0,31955.68523,0.005574803
1565,1098,Khristos Afroudakis,M,28.0,188.0,88.0,Greece,GRC,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,,0,11045011.0,0.001556205,23.0,80.63414634,246000000000.0,22272.49932,0.003284379
1566,1098,Khristos Afroudakis,M,32.0,188.0,88.0,Greece,GRC,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,,0,10746740.0,0.00144404,21.671,81.03658537,193000000000.0,17958.93452,0.002546174
1705,1207,Georgios Agrimanakis,M,27.0,173.0,64.0,Greece,GRC,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Lightweight,,0,9188150.0,0.002219815,32.571,72.51956098,31152840485.0,3390.545484,0.004852467
2168,1546,Eirini Andili,F,17.0,167.0,45.0,Greece,GRC,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze,0,10805808.0,0.00176621,27.284,77.88780488,130000000000.0,12030.56727,0.003869048
2430,1728,Varvara Akritidou,F,23.0,173.0,78.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
3655,2555,Maria Alevizou,F,19.0,165.0,48.0,Greece,GRC,1988 Summer,1988,Summer,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,,0,10036983.0,0.001965838,28.91,75.8912439,76261278405.0,7598.028053,0.003992737
3660,2561,Rodolfos Georgios Alexakos,M,35.0,180.0,85.0,Greece,GRC,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Skeet,,0,9642505.0,0.002172866,30.657,73.64714634,56829663469.0,5893.66181,0.005074077
3661,2561,Rodolfos Georgios Alexakos,M,39.0,180.0,85.0,Greece,GRC,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Skeet,,0,9895801.0,0.002078957,29.673,74.82912195,48020024788.0,4852.565728,0.003968597
3733,2595,Panagiotis Alexandris,M,22.0,180.0,79.0,Greece,GRC,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,8888628.0,0.002315395,34.546,71.535,16885506818.0,1899.675272,0.004478914
3734,2595,Panagiotis Alexandris,M,22.0,180.0,79.0,Greece,GRC,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Slalom,,0,8888628.0,0.002315395,34.546,71.535,16885506818.0,1899.675272,0.004478914
3738,2598,Lavrentis Alexanidis,M,26.0,171.0,65.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
3739,2598,Lavrentis Alexanidis,M,30.0,171.0,65.0,Greece,GRC,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,,0,11077841.0,0.001637826,24.432,79.93902439,354000000000.0,31955.68523,0.005574803
3743,2601,"Alexandros ""Alexios"" Alexopoulos",M,25.0,185.0,84.0,Greece,GRC,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,10608800.0,0.00183145,27.761,77.68536585,146000000000.0,13762.15972,0.004620253
3744,2601,"Alexandros ""Alexios"" Alexopoulos",M,29.0,185.0,84.0,Greece,GRC,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,10805808.0,0.00176621,27.284,77.88780488,130000000000.0,12030.56727,0.003869048
3745,2602,Efstathios Alexopoulos,M,,178.0,86.0,Greece,GRC,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Heavyweight,,0,8740765.0,0.00247276,37.457,70.30256098,9915140546.0,1134.356151,0.004063582
3746,2603,Athina-Theodora Alexopoulou,F,21.0,163.0,63.0,Greece,GRC,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",,0,10955141.0,0.001702074,25.927,79.03902439,241000000000.0,21998.80403,0.005502283
3747,2604,Khaido Alexouli,F,25.0,180.0,60.0,Greece,GRC,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,,0,10746740.0,0.00144404,21.671,81.03658537,193000000000.0,17958.93452,0.002546174
