Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
7941,5534,Melissa Ashby,F,18.0,168.0,64.0,Grenada,GRD,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,,0,102656.0,1.59e-05,64.037,71.213,599118592.6,5836.177063,1.37e-05
11948,8281,Jacinta Bartholomew,F,19.0,175.0,54.0,Grenada,GRD,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Long Jump,,0,98439.0,2.07e-05,66.865,67.449,145533296.3,1478.410958,1.2e-05
11949,8283,Trish Bartholomew,F,21.0,160.0,59.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
15704,10703,Neisha Bernard-Thomas,F,27.0,165.0,56.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
15705,10703,Neisha Bernard-Thomas,F,31.0,165.0,56.0,Grenada,GRD,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
22197,15191,Richard Britton,M,19.0,,,Grenada,GRD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,100796.0,1.74e-05,65.189,69.57,366911444.4,3640.138938,1.16e-05
29901,20422,Oreoluwa Cherebin,F,18.0,150.0,54.0,Grenada,GRD,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Butterfly,,0,107317.0,1.44e-05,64.384,73.659,1056188593.0,9841.764054,1.39e-05
32805,22455,"Christopher ""Chris"" Collins",M,24.0,178.0,81.0,Grenada,GRD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Middleweight,,0,98439.0,2.07e-05,66.865,67.449,145533296.3,1478.410958,1.2e-05
32806,22455,"Christopher ""Chris"" Collins",M,28.0,178.0,81.0,Grenada,GRD,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,,0,98062.0,1.92e-05,66.67,68.247,236357518.5,2410.286538,1.24e-05
50254,34554,Delon Felix,M,18.0,,,Grenada,GRD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,97198.0,1.78e-05,66.235,68.925,310160444.4,3191.016733,1.22e-05
50257,34556,Garth Felix,M,21.0,175.0,70.0,Grenada,GRD,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Middleweight,,0,98062.0,1.92e-05,66.67,68.247,236357518.5,2410.286538,1.24e-05
50261,34559,Kurt Anthony Felix,M,24.0,182.0,76.0,Grenada,GRD,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Decathlon,,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
50262,34559,Kurt Anthony Felix,M,28.0,182.0,76.0,Grenada,GRD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,107317.0,1.44e-05,64.384,73.659,1056188593.0,9841.764054,1.39e-05
52280,35821,Sherry Ingrid Veronica Fletcher,F,22.0,167.0,57.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
53569,36656,Alleyne Jeremy Francique,M,20.0,188.0,75.0,Grenada,GRD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,100796.0,1.74e-05,65.189,69.57,366911444.4,3640.138938,1.16e-05
53570,36656,Alleyne Jeremy Francique,M,28.0,188.0,75.0,Grenada,GRD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,102656.0,1.59e-05,64.037,71.213,599118592.6,5836.177063,1.37e-05
53571,36656,Alleyne Jeremy Francique,M,32.0,188.0,75.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
57987,39541,Alison Magdalene George,F,20.0,,,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
62874,42862,Agnes Geraldine Griffith,F,19.0,162.0,54.0,Grenada,GRD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,98062.0,1.92e-05,66.67,68.247,236357518.5,2410.286538,1.24e-05
62875,42862,Agnes Geraldine Griffith,F,19.0,162.0,54.0,Grenada,GRD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres,,0,98062.0,1.92e-05,66.67,68.247,236357518.5,2410.286538,1.24e-05
74653,50882,Omar Hughes,M,18.0,,,Grenada,GRD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,101619.0,1.66e-05,64.129,70.337,520044370.4,5117.589923,1.55e-05
78730,53492,Kirani James,M,19.0,180.0,66.0,Grenada,GRD,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,Gold,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
78731,53492,Kirani James,M,23.0,180.0,66.0,Grenada,GRD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,Silver,0,107317.0,1.44e-05,64.384,73.659,1056188593.0,9841.764054,1.39e-05
81995,55727,Nigel Rufus Jones,M,20.0,178.0,75.0,Grenada,GRD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,100796.0,1.74e-05,65.189,69.57,366911444.4,3640.138938,1.16e-05
82340,55970,"Taddeus ""Tad"" Joseph",M,25.0,157.0,53.0,Grenada,GRD,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,0,98062.0,1.92e-05,66.67,68.247,236357518.5,2410.286538,1.24e-05
103162,69238,"Errol ""Kenny"" Lewis",M,22.0,,,Grenada,GRD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,,0,100796.0,1.74e-05,65.189,69.57,366911444.4,3640.138938,1.16e-05
103179,69252,Randy Benedict Lewis,M,25.0,188.0,74.0,Grenada,GRD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,,0,102656.0,1.59e-05,64.037,71.213,599118592.6,5836.177063,1.37e-05
103180,69252,Randy Benedict Lewis,M,29.0,188.0,74.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
104044,69688,Eugene Licorish,M,27.0,,,Grenada,GRD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Long Jump,,0,97198.0,1.78e-05,66.235,68.925,310160444.4,3191.016733,1.22e-05
106436,71221,Anthony Longdon,M,,,,Grenada,GRD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,,0,98439.0,2.07e-05,66.865,67.449,145533296.3,1478.410958,1.2e-05
123204,82419,Rolande Moses,M,27.0,180.0,69.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Welterweight,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
132865,88821,Corey Ollivierre,M,19.0,,,Grenada,GRD,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,,0,107317.0,1.44e-05,64.384,73.659,1056188593.0,9841.764054,1.39e-05
141369,94450,Emrol Phillip,M,18.0,,,Grenada,GRD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,,0,98439.0,2.07e-05,66.865,67.449,145533296.3,1478.410958,1.2e-05
141371,94452,Joel Japheth Phillip,M,20.0,188.0,75.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
149031,99474,Janelle Redhead,F,22.0,162.0,56.0,Grenada,GRD,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 200 metres,,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
149032,99475,Joel Michael Redhead,M,26.0,187.0,60.0,Grenada,GRD,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
149179,99581,Hazel-Ann Regis,F,19.0,157.0,64.0,Grenada,GRD,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,0,101619.0,1.66e-05,64.129,70.337,520044370.4,5117.589923,1.55e-05
149180,99581,Hazel-Ann Regis,F,23.0,157.0,64.0,Grenada,GRD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,,0,102656.0,1.59e-05,64.037,71.213,599118592.6,5836.177063,1.37e-05
153829,102708,Shermaine Ross,F,20.0,,,Grenada,GRD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 400 metres,,0,97198.0,1.78e-05,66.235,68.925,310160444.4,3191.016733,1.22e-05
159464,106345,Samuel Sawny,M,,,,Grenada,GRD,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,98439.0,2.07e-05,66.865,67.449,145533296.3,1478.410958,1.2e-05
165771,110657,Gabriel Simeon,M,20.0,,,Grenada,GRD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,97198.0,1.78e-05,66.235,68.925,310160444.4,3191.016733,1.22e-05
165772,110657,Gabriel Simeon,M,20.0,,,Grenada,GRD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,97198.0,1.78e-05,66.235,68.925,310160444.4,3191.016733,1.22e-05
166098,110878,Esau Walter Simpson,M,21.0,185.0,75.0,Grenada,GRD,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
170829,114082,Andrea St Bernard,F,32.0,175.0,66.0,Grenada,GRD,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Welterweight,,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
171634,114594,Johnathan Andrew Steele,M,20.0,190.0,85.0,Grenada,GRD,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,102656.0,1.59e-05,64.037,71.213,599118592.6,5836.177063,1.37e-05
175787,117229,"Rudieon ""Rudy"" Sylvan",M,21.0,175.0,73.0,Grenada,GRD,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,101619.0,1.66e-05,64.129,70.337,520044370.4,5117.589923,1.55e-05
175797,117238,Patricia Sylvester (Cornwall-),F,25.0,175.0,59.0,Grenada,GRD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Long Jump,,0,103930.0,1.54e-05,64.225,72.142,825977888.9,7947.444327,1.3e-05
177861,118543,Bralon Shazam Taplin,M,24.0,180.0,75.0,Grenada,GRD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,0,107317.0,1.44e-05,64.384,73.659,1056188593.0,9841.764054,1.39e-05
181040,120631,John Tobin,M,,,,Grenada,GRD,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Middleweight,,0,98062.0,1.92e-05,66.67,68.247,236357518.5,2410.286538,1.24e-05
189595,126339,Lindon Victor,M,23.0,,,Grenada,GRD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,,0,107317.0,1.44e-05,64.384,73.659,1056188593.0,9841.764054,1.39e-05
190147,126719,Arlene Vincent Mark,F,33.0,,,Grenada,GRD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Marathon,,0,98062.0,1.92e-05,66.67,68.247,236357518.5,2410.286538,1.24e-05
195602,130572,Clint Williams,M,19.0,,,Grenada,GRD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,100796.0,1.74e-05,65.189,69.57,366911444.4,3640.138938,1.16e-05
195723,130649,Paul Williams,M,26.0,191.0,85.0,Grenada,GRD,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,105481.0,1.49e-05,64.399,73.044,799882148.1,7583.187001,1.07e-05
195952,130793,Bernard Wilson,M,,,,Grenada,GRD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,,0,98439.0,2.07e-05,66.865,67.449,145533296.3,1478.410958,1.2e-05
