Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3906,2729,Cora Alicto,F,28.0,168.0,59.0,Guam,GUM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,159035.0,2.35e-05,6.084,77.543,4621000000.0,29056.497,7.28e-05
4195,2927,"Jeanette M. ""Jen"" Allred (-Powless)",F,30.0,177.0,63.0,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Marathon,,0,136692.0,2.51e-05,8.68,72.42,,0,
5433,3810,Derrick Anderson,M,22.0,173.0,66.0,Guam,GUM,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Lightweight,,0,124673.0,2.44e-05,8.646,71.45,,0,
6802,4758,Mariano Aquino,M,19.0,173.0,78.0,Guam,GUM,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,,0,124673.0,2.44e-05,8.646,71.45,,0,
8336,5818,Amy Atkinson,F,22.0,165.0,55.0,Guam,GUM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,,0,159973.0,2.25e-05,5.727,78.689,5199000000.0,32499.23425,6.94e-05
10900,7538,Judd Charles Bankert,M,38.0,,,Guam,GUM,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,124673.0,2.44e-05,8.646,71.45,,0,
13072,9029,Margaret E. Bean,F,39.0,,,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Women's Road Race, Individual",,0,136692.0,2.51e-05,8.68,72.42,,0,
13073,9029,Margaret E. Bean,F,39.0,,,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",,0,136692.0,2.51e-05,8.68,72.42,,0,
14879,10124,Marie Benito,F,30.0,158.0,50.0,Guam,GUM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,,0,148060.0,2.56e-05,7.713,73.589,,0,
15051,10249,Richard Bentley,M,31.0,175.0,70.0,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,136692.0,2.51e-05,8.68,72.42,,0,
17724,12175,Ricardo Blas,M,34.0,183.0,109.0,Guam,GUM,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Heavyweight,,0,124673.0,2.44e-05,8.646,71.45,,0,
17728,12177,"Ricardo Blas, Jr.",M,21.0,183.0,214.0,Guam,GUM,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Heavyweight,,0,159035.0,2.35e-05,6.084,77.543,4621000000.0,29056.497,7.28e-05
17729,12177,"Ricardo Blas, Jr.",M,25.0,183.0,214.0,Guam,GUM,2012 Summer,2012,Summer,London,Judo,Judo Men's Heavyweight,,0,159973.0,2.25e-05,5.727,78.689,5199000000.0,32499.23425,6.94e-05
18891,13002,Darrick Bollinger,M,17.0,,,Guam,GUM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,0,148060.0,2.56e-05,7.713,73.589,,0,
18892,13002,Darrick Bollinger,M,17.0,,,Guam,GUM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,,0,148060.0,2.56e-05,7.713,73.589,,0,
25008,17162,Luis Francis Mendiola Cabral,M,32.0,,,Guam,GUM,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,,0,136692.0,2.51e-05,8.68,72.42,,0,
32411,22132,Jeffrey Cobb,M,22.0,178.0,84.0,Guam,GUM,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,158099.0,2.46e-05,6.466,76.362,3857000000.0,24396.10624,8.81e-05
35358,24249,Milan Cukovic,M,43.0,173.0,110.0,Guam,GUM,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Heavyweight II,,0,124673.0,2.44e-05,8.646,71.45,,0,
