Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3456,2421,ngel Arnaldo Aldama Mejia,M,32.0,177.0,70.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
3457,2421,ngel Arnaldo Aldama Mejia,M,32.0,177.0,70.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
4364,3047,Jos Vctor Alonzo Alonzo,M,25.0,169.0,57.0,Guatemala,GTM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,,0,8042897.0,0.001689691,61.236,59.154,9470000100.0,1177.436451,0.000782645
4365,3047,Jos Vctor Alonzo Alonzo,M,25.0,169.0,57.0,Guatemala,GTM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,,0,8042897.0,0.001689691,61.236,59.154,9470000100.0,1177.436451,0.000782645
5471,3835,Julio Csar Anderson Quiroga,M,28.0,170.0,68.0,Guatemala,GTM,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,,0,6599214.0,0.00159434,63.146,55.577,4365300200.0,661.4878984,0.000679953
6803,4759,scar Alfred Aquino Sandoval,M,22.0,166.0,61.0,Guatemala,GTM,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,8842575.0,0.001731902,59.672,61.214,7841602824.0,886.8008271,0.000410555
6804,4759,scar Alfred Aquino Sandoval,M,22.0,166.0,61.0,Guatemala,GTM,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,8842575.0,0.001731902,59.672,61.214,7841602824.0,886.8008271,0.000410555
7145,5004,Alfredo Arvalo Reyes,M,28.0,162.0,52.0,Guatemala,GTM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,12796925.0,0.001988228,53.244,69.437,23965275996.0,1872.737083,0.000547152
7146,5004,Alfredo Arvalo Reyes,M,32.0,162.0,52.0,Guatemala,GTM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,14006366.0,0.0020708,51.551,70.76,39136893345.0,2794.221809,0.000616329
8194,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
8195,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 200 metres Freestyle,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
8196,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 400 metres Freestyle,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
8197,5721,Silvana Asturias Morel,F,15.0,154.0,55.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 800 metres Freestyle,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
8734,6116,Kevin vila Soto,M,19.0,190.0,82.0,Guatemala,GTM,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,0,15271056.0,0.002151641,49.788,72.227,50388454861.0,3299.605139,0.000672743
8736,6118,Mauricio vila,M,19.0,170.0,60.0,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Lightweight,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
11774,8152,Erick Bernab Barrondo Garca,M,21.0,178.0,60.0,Guatemala,GTM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,Silver,0,15271056.0,0.002151641,49.788,72.227,50388454861.0,3299.605139,0.000672743
11775,8152,Erick Bernab Barrondo Garca,M,21.0,178.0,60.0,Guatemala,GTM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,,0,15271056.0,0.002151641,49.788,72.227,50388454861.0,3299.605139,0.000672743
11776,8152,Erick Bernab Barrondo Garca,M,25.0,178.0,60.0,Guatemala,GTM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,,0,16582469.0,0.002228187,47.97,73.409,68763255964.0,4146.744129,0.000907167
12457,8605,Jaime Antonio Batres Morales,M,24.0,170.0,67.0,Guatemala,GTM,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,8842575.0,0.001731902,59.672,61.214,7841602824.0,886.8008271,0.000410555
14619,9962,Ramiro Benavides,M,14.0,175.0,68.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Freestyle,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
14620,9962,Ramiro Benavides,M,14.0,175.0,68.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Butterfly,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
14621,9962,Ramiro Benavides,M,14.0,175.0,68.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Butterfly,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
15634,10645,Cristian Diego  Bermdez Apel,M,19.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Running Target, 10 metres",,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
17679,12140,Rolando M. Blanco Noldero,M,27.0,170.0,62.0,Guatemala,GTM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,11650743.0,0.001904315,54.873,67.849,19288926545.0,1655.596261,0.000574075
18142,12507,Juan Luis Bocanegra Schall,M,17.0,,,Guatemala,GTM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,,0,10646674.0,0.001837988,56.488,65.678,15674852771.0,1472.276954,0.00049604
18193,12532,Eugenio Boches Camey,M,29.0,176.0,70.0,Guatemala,GTM,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Middleweight,,0,5311615.0,0.001502655,65.081,51.267,1610500000.0,303.2034513,0.000660041
18782,12932,Edgar Bolaos,M,25.0,170.0,67.0,Guatemala,GTM,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,,0,6599214.0,0.00159434,63.146,55.577,4365300200.0,661.4878984,0.000679953
19158,13215,Roberto Arturo Bonilla Abril,M,20.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
19159,13215,Roberto Arturo Bonilla Abril,M,20.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
19160,13215,Roberto Arturo Bonilla Abril,M,20.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
19161,13215,Roberto Arturo Bonilla Abril,M,20.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Breaststroke,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
19162,13215,Roberto Arturo Bonilla Abril,M,20.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
19163,13215,Roberto Arturo Bonilla Abril,M,20.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 400 metres Individual Medley,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
19164,13215,Roberto Arturo Bonilla Abril,M,20.0,,,Guatemala,GTM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,9708544.0,0.001779379,58.088,63.352,10440842165.0,1075.428217,0.000411057
19165,13215,Roberto Arturo Bonilla Abril,M,24.0,,,Guatemala,GTM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke,,0,10646674.0,0.001837988,56.488,65.678,15674852771.0,1472.276954,0.00049604
