Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4271,2967,Amarildo Almeida,M,20.0,182.0,63.0,Guinea Bissau,GNB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,1159060.0,0.000200094,66.58,51.306,270419779.4,233.3095607,8.56e-06
7293,5109,Fernando Arlete,M,21.0,,,Guinea Bissau,GNB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,1243229.0,0.000203206,63.346,52.27,370173851.9,297.7519443,1.1e-05
7294,5110,Fernando Arlete,M,27.0,174.0,63.0,Guinea Bissau,GNB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,1159060.0,0.000200094,66.58,51.306,270419779.4,233.3095607,8.56e-06
23311,15966,Bedopassa Buassat Djonde,M,23.0,172.0,97.0,Guinea Bissau,GNB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,1815698.0,0.000243975,49.906,57.403,1164944510.0,641.5959647,1.54e-05
26275,18016,Anhel Alberta Cape,F,22.0,162.0,57.0,Guinea Bissau,GNB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 800 metres,,0,1243229.0,0.000203206,63.346,52.27,370173851.9,297.7519443,1.1e-05
26276,18016,Anhel Alberta Cape,F,26.0,162.0,57.0,Guinea Bissau,GNB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,,0,1350345.0,0.0002098,59.987,53.084,531109356.2,393.3138244,1.21e-05
35995,24705,Holder Ocante da Silva,M,20.0,182.0,80.0,Guinea Bissau,GNB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,1480841.0,0.000218938,56.532,54.333,864136713.0,583.5445622,1.36e-05
35996,24705,Holder Ocante da Silva,M,24.0,182.0,80.0,Guinea Bissau,GNB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,1638139.0,0.000230808,53.076,55.807,989875559.1,604.2683552,1.32e-05
35997,24705,Holder Ocante da Silva,M,28.0,182.0,80.0,Guinea Bissau,GNB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,1815698.0,0.000243975,49.906,57.403,1164944510.0,641.5959647,1.54e-05
47133,32477,Talata Embalo,M,32.0,169.0,58.0,Guinea Bissau,GNB,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,1159060.0,0.000200094,66.58,51.306,270419779.4,233.3095607,8.56e-06
47134,32477,Talata Embalo,M,36.0,169.0,58.0,Guinea Bissau,GNB,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Featherweight, Freestyle",,0,1243229.0,0.000203206,63.346,52.27,370173851.9,297.7519443,1.1e-05
76536,52091,Jessica Inchude,F,20.0,175.0,81.0,Guinea Bissau,GNB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,,0,1815698.0,0.000243975,49.906,57.403,1164944510.0,641.5959647,1.54e-05
104381,69924,Taciana Rezende de Lima Bald,F,32.0,164.0,48.0,Guinea Bissau,GNB,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,,0,1815698.0,0.000243975,49.906,57.403,1164944510.0,641.5959647,1.54e-05
113383,75894,Graciela Martins,F,25.0,166.0,60.0,Guinea Bissau,GNB,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,1638139.0,0.000230808,53.076,55.807,989875559.1,604.2683552,1.32e-05
117314,78634,Jacira Francisco Mendonca,F,26.0,159.0,59.0,Guinea Bissau,GNB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Middleweight, Freestyle",,0,1638139.0,0.000230808,53.076,55.807,989875559.1,604.2683552,1.32e-05
118589,79470,Augusto Midana,M,24.0,167.0,74.0,Guinea Bissau,GNB,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,1480841.0,0.000218938,56.532,54.333,864136713.0,583.5445622,1.36e-05
118590,79470,Augusto Midana,M,28.0,167.0,74.0,Guinea Bissau,GNB,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,1638139.0,0.000230808,53.076,55.807,989875559.1,604.2683552,1.32e-05
118591,79470,Augusto Midana,M,32.0,167.0,74.0,Guinea Bissau,GNB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,1815698.0,0.000243975,49.906,57.403,1164944510.0,641.5959647,1.54e-05
150418,100441,Danilson Ricciuli,M,21.0,175.0,76.0,Guinea Bissau,GNB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,1350345.0,0.0002098,59.987,53.084,531109356.2,393.3138244,1.21e-05
153818,102699,Leopoldina Ross Davyes,F,28.0,158.0,48.0,Guinea Bissau,GNB,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Women's Flyweight, Freestyle",,0,1350345.0,0.0002098,59.987,53.084,531109356.2,393.3138244,1.21e-05
181235,120722,Domingas Embana Togna,F,27.0,156.0,55.0,Guinea Bissau,GNB,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 1,500 metres",,0,1480841.0,0.000218938,56.532,54.333,864136713.0,583.5445622,1.36e-05
