Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
781,551,Aliyah Abrams,F,19.0,163.0,53.0,Guyana,GUY,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,0,773303.0,0.000103909,71.339,66.65,3502397094.0,4529.139411,4.62e-05
782,552,Colin Winston Abrams,M,32.0,180.0,70.0,Guyana,GUY,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's Sprint,,0,750731.0,0.000147038,70.237,63.046,413799990.0,551.1960875,2.17e-05
4051,2834,Charles Tyrone Allen,M,23.0,175.0,73.0,Guyana,GUY,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,,0,753301.0,0.000123127,71.306,64.93,712667896.7,946.0599371,2.12e-05
4173,2908,George Allison,M,23.0,175.0,71.0,Guyana,GUY,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Middleweight,,0,750731.0,0.000147038,70.237,63.046,413799990.0,551.1960875,2.17e-05
5078,3509,Charles Amos,M,23.0,173.0,76.0,Guyana,GUY,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Middleweight,,0,686146.0,0.000194111,70.671,61.588,229750000.0,334.8412728,9.42e-05
6420,4512,Michael Anthony Parris,M,22.0,173.0,54.0,Guyana,GUY,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,Bronze,0,780153.0,0.000175802,69.512,62.498,603200000.0,773.1816708,5.39e-05
7041,4915,Brenda Archer,F,17.0,166.0,59.0,Guyana,GUY,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's High Jump,,0,571819.0,0.000188458,70.991,60.26,170215248.2,297.6732991,0.000124245
8305,5799,Courtney Andrew Atherly,M,24.0,160.0,60.0,Guyana,GUY,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Lightweight,,0,721948.0,0.00018806,70.359,61.938,285380952.4,395.2929469,7.57e-05
11615,8034,Oslen McGregor Barr,M,23.0,165.0,67.0,Guyana,GUY,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,775219.0,0.000162862,69.876,62.741,437631605.3,564.5264181,3.62e-05
11616,8034,Oslen McGregor Barr,M,23.0,165.0,67.0,Guyana,GUY,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,775219.0,0.000162862,69.876,62.741,437631605.3,564.5264181,3.62e-05
11617,8034,Oslen McGregor Barr,M,27.0,165.0,67.0,Guyana,GUY,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,750731.0,0.000147038,70.237,63.046,413799990.0,551.1960875,2.17e-05
12175,8415,Jeremy Bascom,M,28.0,170.0,73.0,Guyana,GUY,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,753091.0,0.000106108,71.681,66.216,2861562266.0,3799.756292,3.82e-05
22636,15517,Fitzroy Brown,M,21.0,173.0,58.0,Guyana,GUY,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Featherweight,,0,780153.0,0.000175802,69.512,62.498,603200000.0,773.1816708,5.39e-05
23199,15898,Aubrey Bryce,M,19.0,178.0,68.0,Guyana,GUY,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's Sprint,,0,686146.0,0.000194111,70.671,61.588,229750000.0,334.8412728,9.42e-05
23200,15898,Aubrey Bryce,M,19.0,178.0,68.0,Guyana,GUY,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,686146.0,0.000194111,70.671,61.588,229750000.0,334.8412728,9.42e-05
