Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1034,710,Bryan Josu Acosta Ramos,M,22.0,175.0,74.0,Honduras,HND,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,9112867.0,0.001224496,44.685,73.575,21516938910.0,2361.160205,0.000283865
4519,3149,David Daniel lvarez Martnez,M,22.0,170.0,66.0,Honduras,HND,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,,0,7872658.0,0.001163949,49.562,72.093,13789715133.0,1751.595857,0.000217161
4558,3173,Kevin Javier lvarez Hernndez,M,20.0,181.0,76.0,Honduras,HND,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,9112867.0,0.001224496,44.685,73.575,21516938910.0,2361.160205,0.000283865
6068,4277,Darwin Angeles Discua,M,19.0,164.0,48.0,Honduras,HND,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,,0,4676361.0,0.00091591,60.519,65.679,3970386266.0,849.0333116,0.000207874
6069,4277,Darwin Angeles Discua,M,27.0,164.0,48.0,Honduras,HND,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,,0,5867849.0,0.001012996,56.558,69.301,4034037162.0,687.4814199,0.000127659
7819,5449,Quiarol Lenn Arz Flores,M,23.0,183.0,83.0,Honduras,HND,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,,0,7872658.0,0.001163949,49.562,72.093,13789715133.0,1751.595857,0.000217161
8723,6109,Carlos vila,M,32.0,168.0,58.0,Honduras,HND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,4154887.0,0.000872879,62.845,62.859,3319000000.0,798.8183553,0.000274298
9364,6492,Geovany Oscar Baca Oliva,M,25.0,166.0,48.0,Honduras,HND,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,,0,5867849.0,0.001012996,56.558,69.301,4034037162.0,687.4814199,0.000127659
10809,7483,Allan Alexander Banegas Murillo,M,22.0,180.0,76.0,Honduras,HND,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,9112867.0,0.001224496,44.685,73.575,21516938910.0,2361.160205,0.000283865
11079,7637,Emilio Barahona,M,19.0,168.0,54.0,Honduras,HND,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",,0,2560727.0,0.000724429,72.404,51.33,646800000.0,252.5845199,0.000265082
11091,7641,Pablo Rodolfo Barahona,M,18.0,170.0,66.0,Honduras,HND,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 50 metres Freestyle,,0,4676361.0,0.00091591,60.519,65.679,3970386266.0,849.0333116,0.000207874
11092,7641,Pablo Rodolfo Barahona,M,18.0,170.0,66.0,Honduras,HND,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,,0,4676361.0,0.00091591,60.519,65.679,3970386266.0,849.0333116,0.000207874
11093,7641,Pablo Rodolfo Barahona,M,18.0,170.0,66.0,Honduras,HND,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,,0,4676361.0,0.00091591,60.519,65.679,3970386266.0,849.0333116,0.000207874
11094,7641,Pablo Rodolfo Barahona,M,18.0,170.0,66.0,Honduras,HND,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,,0,4676361.0,0.00091591,60.519,65.679,3970386266.0,849.0333116,0.000207874
11095,7642,Roy Felipe Barahona Fuentes,M,18.0,173.0,65.0,Honduras,HND,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,,0,7204153.0,0.001119292,52.125,71.341,8772194250.0,1217.657961,0.000200278
