Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
8418,5885,Au Sin Ying,F,23.0,167.0,66.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's Sabre, Individual",,0,7154600.0,0.001008059,0.0,83.4804878,263000000000.0,36759.56727,0.003511348
8419,5886,"Hoi Shun ""Stephanie"" Au",F,16.0,172.0,56.0,Hong Kong,HKG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,,0,6957800.0,0.00102869,0.0,82.37560976,219000000000.0,31475.46638,0.003448819
8420,5886,"Hoi Shun ""Stephanie"" Au",F,16.0,172.0,56.0,Hong Kong,HKG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,,0,6957800.0,0.00102869,0.0,82.37560976,219000000000.0,31475.46638,0.003448819
8421,5886,"Hoi Shun ""Stephanie"" Au",F,16.0,172.0,56.0,Hong Kong,HKG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,,0,6957800.0,0.00102869,0.0,82.37560976,219000000000.0,31475.46638,0.003448819
8422,5886,"Hoi Shun ""Stephanie"" Au",F,20.0,172.0,56.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Backstroke,,0,7154600.0,0.001008059,0.0,83.4804878,263000000000.0,36759.56727,0.003511348
8423,5886,"Hoi Shun ""Stephanie"" Au",F,20.0,172.0,56.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Backstroke,,0,7154600.0,0.001008059,0.0,83.4804878,263000000000.0,36759.56727,0.003511348
8424,5886,"Hoi Shun ""Stephanie"" Au",F,24.0,172.0,56.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,,0,7346700.0,0.000987176,0.0,84.22682927,321000000000.0,43693.08669,0.004234828
8425,5887,Au Woon Yiu,M,27.0,168.0,65.0,Hong Kong,HKG,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Lightweight,,0,5627600.0,0.001102219,1.691,77.08292683,59707404561.0,10609.74564,0.003126042
8426,5887,Au Woon Yiu,M,31.0,168.0,65.0,Hong Kong,HKG,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Lightweight,,0,5800500.0,0.001063114,0.021,77.67804878,104000000000.0,17929.48884,0.004094488
27692,18993,Daniel Francisco Castro,M,27.0,175.0,72.0,Hong Kong,HKG,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,,0,3504600.0,0.001075624,13.853,69.10436585,2206466461.0,629.5915257,0.001225815
28537,19566,Chai Po Wa,F,26.0,,,Hong Kong,HKG,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Singles,,0,5800500.0,0.001063114,0.021,77.67804878,104000000000.0,17929.48884,0.004094488
28538,19566,Chai Po Wa,F,26.0,,,Hong Kong,HKG,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Doubles,,0,5800500.0,0.001063114,0.021,77.67804878,104000000000.0,17929.48884,0.004094488
28539,19566,Chai Po Wa,F,30.0,,,Hong Kong,HKG,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Singles,,0,6435500.0,0.001110993,0.0,79.62682927,160000000000.0,24862.09308,0.005063291
28540,19566,Chai Po Wa,F,30.0,,,Hong Kong,HKG,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,,0,6435500.0,0.001110993,0.0,79.62682927,160000000000.0,24862.09308,0.005063291
28663,19665,Chan Chi Ming,M,24.0,163.0,59.0,Hong Kong-1,HKG,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,,0,5627600.0,0.001102219,1.691,77.08292683,59707404561.0,10609.74564,0.003126042
28666,19668,Chan Chun Hing,M,27.0,170.0,70.0,Hong Kong,HKG,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,6957800.0,0.00102869,0.0,82.37560976,219000000000.0,31475.46638,0.003448819
28667,19668,Chan Chun Hing,M,31.0,170.0,70.0,Hong Kong,HKG,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,7154600.0,0.001008059,0.0,83.4804878,263000000000.0,36759.56727,0.003511348
28668,19668,Chan Chun Hing,M,35.0,170.0,70.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,7346700.0,0.000987176,0.0,84.22682927,321000000000.0,43693.08669,0.004234828
28671,19670,"Yu Ning ""Elaine"" Chan",F,16.0,176.0,65.0,Hong Kong,HKG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,6783500.0,0.001053936,0.0,81.82926829,169000000000.0,24913.39279,0.003858447
28672,19670,"Yu Ning ""Elaine"" Chan",F,20.0,176.0,65.0,Hong Kong,HKG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,6957800.0,0.00102869,0.0,82.37560976,219000000000.0,31475.46638,0.003448819
28673,19671,"Oi Ni ""Emmy"" Chan",F,30.0,,,Hong Kong,HKG,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles,,0,6435500.0,0.001110993,0.0,79.62682927,160000000000.0,24862.09308,0.005063291
28676,19673,Chan Fai Lui,M,21.0,180.0,63.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",,0,4518000.0,0.001091528,9.923,72.8195122,12876366009.0,2850.01461,0.002005664
28677,19673,Chan Fai Lui,M,21.0,180.0,63.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,4518000.0,0.001091528,9.923,72.8195122,12876366009.0,2850.01461,0.002005664
28678,19673,Chan Fai Lui,M,21.0,180.0,63.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,4518000.0,0.001091528,9.923,72.8195122,12876366009.0,2850.01461,0.002005664
28683,19680,Chan Kai Sang,M,29.0,187.0,83.0,Hong Kong,HKG,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Individual",,0,5627600.0,0.001102219,1.691,77.08292683,59707404561.0,10609.74564,0.003126042
28684,19680,Chan Kai Sang,M,29.0,187.0,83.0,Hong Kong,HKG,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",,0,5627600.0,0.001102219,1.691,77.08292683,59707404561.0,10609.74564,0.003126042
28685,19681,Chan Kam Hong,M,18.0,169.0,58.0,Hong Kong,HKG,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Backstroke,,0,3504600.0,0.001075624,13.853,69.10436585,2206466461.0,629.5915257,0.001225815
28687,19684,Chan Kin Ngai,M,23.0,170.0,58.0,Hong Kong,HKG,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Singles,,0,5800500.0,0.001063114,0.021,77.67804878,104000000000.0,17929.48884,0.004094488
28690,19687,Chan Kong Wah,M,34.0,,,Hong Kong,HKG,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Doubles,,0,6435500.0,0.001110993,0.0,79.62682927,160000000000.0,24862.09308,0.005063291
28692,19689,Chan Lam Hams,M,21.0,168.0,56.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",,0,4518000.0,0.001091528,9.923,72.8195122,12876366009.0,2850.01461,0.002005664
28693,19689,Chan Lam Hams,M,21.0,168.0,56.0,Hong Kong,HKG,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,4518000.0,0.001091528,9.923,72.8195122,12876366009.0,2850.01461,0.002005664
