Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
144,99,Pter Abay,M,30.0,181.0,79.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver,0,10369341.0,0.00190049,34.413,69.11707317,38724945368.0,3734.561856,0.001524604
699,507,Attila brahm,M,21.0,192.0,88.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,0,10596487.0,0.002075422,34.368,70.02341463,,0,
700,507,Attila brahm,M,21.0,192.0,88.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,0,10596487.0,0.002075422,34.368,70.02341463,,0,
701,507,Attila brahm,M,25.0,192.0,88.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,0,10369341.0,0.00190049,34.413,69.11707317,38724945368.0,3734.561856,0.001524604
1440,1008,Jnos Adorjn,M,34.0,192.0,83.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,,0,10398489.0,0.002708698,39.035,69.66463415,,0,
1477,1025,Attila Adrovicz,M,30.0,189.0,87.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,0,10311238.0,0.001780081,34.917,70.32878049,46659796773.0,4525.140121,0.001476576
1641,1155,Istvn gh,M,22.0,176.0,82.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,10369341.0,0.00190049,34.413,69.11707317,38724945368.0,3734.561856,0.001524604
1642,1155,Istvn gh,M,22.0,176.0,82.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,10369341.0,0.00190049,34.413,69.11707317,38724945368.0,3734.561856,0.001524604
1643,1156,Norbert gh,M,18.0,194.0,78.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,,0,10596487.0,0.002075422,34.368,70.02341463,,0,
1644,1156,Norbert gh,M,18.0,194.0,78.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle",,0,10596487.0,0.002075422,34.368,70.02341463,,0,
1645,1157,Olivr gh,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,,0,10369341.0,0.00190049,34.413,69.11707317,38724945368.0,3734.561856,0.001524604
1646,1157,Olivr gh,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,,0,10369341.0,0.00190049,34.413,69.11707317,38724945368.0,3734.561856,0.001524604
