Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1494,1038,orbergur Aalsteinsson,M,28.0,190.0,90.0,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Men's Handball,,0,239511.0,5.03e-05,10.681,77.57658537,2887825524.0,12057.17284,0.000238663
1828,1304,Gurn Fema gstsdttir,F,17.0,166.0,56.0,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Breaststroke,,0,239511.0,5.03e-05,10.681,77.57658537,2887825524.0,12057.17284,0.000238663
1829,1304,Gurn Fema gstsdttir,F,17.0,166.0,56.0,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,,0,239511.0,5.03e-05,10.681,77.57658537,2887825524.0,12057.17284,0.000238663
3699,2586,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,,0,268916.0,4.64e-05,8.203,78.77780488,7501950116.0,27897.00173,0.000237403
3700,2586,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Floor Exercise,,0,268916.0,4.64e-05,8.203,78.77780488,7501950116.0,27897.00173,0.000237403
3701,2586,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horse Vault,,0,268916.0,4.64e-05,8.203,78.77780488,7501950116.0,27897.00173,0.000237403
3702,2586,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Parallel Bars,,0,268916.0,4.64e-05,8.203,78.77780488,7501950116.0,27897.00173,0.000237403
3703,2586,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,,0,268916.0,4.64e-05,8.203,78.77780488,7501950116.0,27897.00173,0.000237403
3704,2586,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Rings,,0,268916.0,4.64e-05,8.203,78.77780488,7501950116.0,27897.00173,0.000237403
3705,2586,Rnar (Ruslan-) Alexandersson (Ovtinnikov-),M,19.0,171.0,63.0,Iceland,ISL,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Pommelled Horse,,0,268916.0,4.64e-05,8.203,78.77780488,7501950116.0,27897.00173,0.000237403
