Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
709,512,Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,,0,764245202.0,0.16055631,75.887,55.468,209000000000.0,273.4724398,0.017272727
710,512,Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,,0,764245202.0,0.16055631,75.887,55.468,209000000000.0,273.4724398,0.017272727
711,512,Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,India,IND,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,,0,834489322.0,0.163442622,74.937,57.003,293000000000.0,351.1129409,0.015340314
712,512,Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,India,IND,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,,0,834489322.0,0.163442622,74.937,57.003,293000000000.0,351.1129409,0.015340314
713,512,Shiny Kurisingal Abraham-Wilson,F,27.0,167.0,53.0,India,IND,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 800 metres,,0,906021106.0,0.166055288,74.016,58.915,284000000000.0,313.4584814,0.011181102
714,512,Shiny Kurisingal Abraham-Wilson,F,31.0,167.0,53.0,India,IND,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,,0,978893217.0,0.168991224,73.183,60.877,388000000000.0,396.3660114,0.012278481
962,663,Sharath Kamal Achanta,M,22.0,186.0,85.0,India,IND,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,,0,1126135777.0,0.17496505,71.097,64.154,700000000000.0,621.5946729,0.015981735
963,663,Sharath Kamal Achanta,M,26.0,186.0,85.0,India,IND,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,,0,1197146906.0,0.176994666,69.754,65.802,1190000000000.0,994.030051,0.018740157
964,663,Sharath Kamal Achanta,M,34.0,186.0,85.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,,0,1324171354.0,0.177928948,66.864,68.56,2260000000000.0,1706.727753,0.029815303
1368,952,Badathala Adisekhar,M,28.0,,53.0,India,IND,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Flyweight,,0,906021106.0,0.166055288,74.016,58.915,284000000000.0,313.4584814,0.011181102
1369,952,Badathala Adisekhar,M,32.0,,53.0,India,IND,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Flyweight,,0,978893217.0,0.168991224,73.183,60.877,388000000000.0,396.3660114,0.012278481
1574,1105,Mirza Najib Aga,M,19.0,,,India,IND,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Lightweight,,0,978893217.0,0.168991224,73.183,60.877,388000000000.0,396.3660114,0.012278481
1636,1149,Neha Aggarwal,F,18.0,170.0,67.0,India,IND,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Women's Singles,,0,1197146906.0,0.176994666,69.754,65.802,1190000000000.0,994.030051,0.018740157
1894,1366,Jitendarjit Singh Ahluwalia,M,25.0,179.0,69.0,India,IND,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,696783517.0,0.157014899,76.902,53.842,184000000000.0,264.0705406,0.016428571
