Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2496,1773,Ahmad Al-Afasi,M,33.0,,,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,,0,,,,,,#DIV/0!,
2636,1858,Fehaid Al-Deehani,M,49.0,178.0,95.0,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold,0,,,,,,#DIV/0!,
2699,1897,Abdulrahman Al-Faihan,M,30.0,,,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Trap,,0,,,,,,#DIV/0!,
2913,2053,Khaled Al-Mudhaf,M,38.0,164.0,105.0,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Trap,,0,,,,,,#DIV/0!,
3007,2112,Abdullah Al-Rashidi,M,52.0,183.0,83.0,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze,0,,,,,,#DIV/0!,
3082,2161,Abdulaziz Al-Shatti,M,25.0,,,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Individual",,0,,,,,,#DIV/0!,
3250,2277,Darija Alauf,F,23.0,,,Individual Olympic Athletes,IOA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,,0,,,,,,#DIV/0!,
3251,2277,Darija Alauf,F,23.0,,,Individual Olympic Athletes,IOA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Backstroke,,0,,,,,,#DIV/0!,
4757,3302,Aguida Fatima Amaral,F,28.0,148.0,43.0,Individual Olympic Athletes,IOA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Marathon,,0,,,,,,#DIV/0!,
10882,7534,Vladimir Banjanac,M,25.0,187.0,83.0,Individual Olympic Athletes,IOA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Pairs,,0,,,,,,#DIV/0!,
16882,11592,Aranka Binder,F,26.0,163.0,47.0,Individual Olympic Athletes,IOA,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze,0,,,,,,#DIV/0!,
19123,13173,Liemarvin Bonevacia,M,23.0,185.0,74.0,Individual Olympic Athletes,IOA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,,,,,,#DIV/0!,
21337,14684,Slobodan Brankovi,M,24.0,190.0,82.0,Individual Olympic Athletes,IOA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,,,,,,#DIV/0!,
