Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
406,310,Patmawati Abdul Wahid,F,32.0,158.0,58.0,Indonesia,IDN,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,,0,223614649.0,0.034742479,54.855,67.002,273000000000.0,1220.850249,0.006232877
1457,1019,Selvyana Adrian-Sofyan,F,33.0,151.0,52.0,Indonesia,IDN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,0,161555583.0,0.033940374,74.756,61.203,90345970378.0,559.2253062,0.007466609
1458,1019,Selvyana Adrian-Sofyan,F,37.0,151.0,52.0,Indonesia,IDN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",,0,175000916.0,0.034275584,71.264,62.583,89756617174.0,512.8922707,0.004699299
1459,1019,Selvyana Adrian-Sofyan,F,37.0,151.0,52.0,Indonesia,IDN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,0,175000916.0,0.034275584,71.264,62.583,89756617174.0,512.8922707,0.004699299
1826,1301,Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Indonesia,IDN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver,0,261115456.0,0.035086092,45.534,69.191,932000000000.0,3569.302309,0.012295515
1903,1374,Tontowi Ahmad,M,25.0,179.0,72.0,Indonesia,IDN,2012 Summer,2012,Summer,London,Badminton,Badminton Mixed Doubles,,0,248883232.0,0.035066814,48.512,68.509,918000000000.0,3688.476691,0.012256342
1904,1374,Tontowi Ahmad,M,29.0,179.0,72.0,Indonesia-1,IDN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Gold,0,261115456.0,0.035086092,45.534,69.191,932000000000.0,3569.302309,0.012295515
2026,1451,Mohammad Ahsan,M,24.0,173.0,72.0,Indonesia,IDN,2012 Summer,2012,Summer,London,Badminton,Badminton Men's Doubles,,0,248883232.0,0.035066814,48.512,68.509,918000000000.0,3688.476691,0.012256342
2027,1451,Mohammad Ahsan,M,28.0,173.0,72.0,Indonesia,IDN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,,0,261115456.0,0.035086092,45.534,69.191,932000000000.0,3569.302309,0.012295515
3909,2733,Tjoeij Lin Alienilin,F,29.0,165.0,,Indonesia,IDN,1972 Summer,1972,Summer,Munich,Archery,Archery Women's Individual,,0,121059513.0,0.031534743,82.221,55.655,11709424257.0,96.72452802,0.003105948
