Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
181,126,Forough Abbasi,F,20.0,164.0,58.0,Iran,IRN,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,,0,78411092.0,0.010787074,27.145,75.466,434000000000.0,5534.931206,0.005493671
185,128,Soulmaz Abbasi Azad,F,28.0,173.0,60.0,Iran,IRN,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Single Sculls,,0,76453574.0,0.010772053,28.231,74.787,599000000000.0,7834.820122,0.00799733
328,250,Saeid Morad Abdevali,M,22.0,170.0,80.0,Iran,IRN,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",,0,76453574.0,0.010772053,28.231,74.787,599000000000.0,7834.820122,0.00799733
329,250,Saeid Morad Abdevali,M,26.0,170.0,80.0,Iran,IRN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,0,80277428.0,0.010786881,26.121,75.953,419000000000.0,5219.399904,0.005527704
350,261,Nasrollah Abdollahi,M,24.0,183.0,75.0,Iran,IRN,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,,0,33737768.0,0.008150891,53.334,55.744,68055295080.0,2017.184275,0.010600513
388,292,Firouz Abdul Mohammadian,M,34.0,178.0,74.0,Iran,IRN,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,,0,33737768.0,0.008150891,53.334,55.744,68055295080.0,2017.184275,0.010600513
522,383,Mojtaba Abedini Shormasti,M,27.0,180.0,83.0,Iran,IRN,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Individual",,0,76453574.0,0.010772053,28.231,74.787,599000000000.0,7834.820122,0.00799733
523,383,Mojtaba Abedini Shormasti,M,31.0,180.0,83.0,Iran,IRN,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",,0,80277428.0,0.010786881,26.121,75.953,419000000000.0,5219.399904,0.005527704
845,589,Najmeh Abtin,F,25.0,160.0,57.0,Iran,IRN,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual,,0,72845542.0,0.01077,30.542,73.044,406000000000.0,5573.436464,0.006393701
956,657,Mohamed Ali Acha-Cheloi,M,25.0,165.0,68.0,Iran,IRN,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",,0,33737768.0,0.008150891,53.334,55.744,68055295080.0,2017.184275,0.010600513
