Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
165,112,Aziz Abbas,M,21.0,169.0,67.0,Iraq,IRQ,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,,0,8122199.0,0.002492847,50.907,52.73,2340521143.0,288.1634817,0.00130029
166,113,Bassim Abbas Kati Al-Ogaili,M,22.0,175.0,80.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,26316609.0,0.004088749,31.288,68.537,36627901762.0,1391.816923,0.000836253
174,120,Mohammed Abbas Sabih,M,26.0,170.0,70.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,26316609.0,0.004088749,31.288,68.537,36627901762.0,1391.816923,0.000836253
195,138,Salwan Jasim Abbood Abbood,M,24.0,180.0,104.0,Iraq,IRQ,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,,0,37202572.0,0.004998911,30.408,69.862,171000000000.0,4596.456396,0.002255937
365,274,Mehdi Fahim Abdul Al-Sada,M,24.0,184.0,70.0,Iraq,IRQ,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,13653356.0,0.003076681,34.479,60.127,53405689130.0,3911.543003,0.004768365
376,282,Hadi Abdul Jabbar,M,30.0,180.0,117.5,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Heavyweight,,0,7289761.0,0.002402537,57.101,48.022,1684121535.0,231.0256173,0.001229286
377,282,Hadi Abdul Jabbar,M,34.0,180.0,117.5,Iraq,IRQ,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Heavyweight,,0,8122199.0,0.002492847,50.907,52.73,2340521143.0,288.1634817,0.00130029
380,285,Talal Hassoun Abdul Kader,M,,,82.0,Iraq,IRQ,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,13653356.0,0.003076681,34.479,60.127,53405689130.0,3911.543003,0.004768365
383,287,Taha Abdul Karim,M,20.0,156.0,59.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,,0,7289761.0,0.002402537,57.101,48.022,1684121535.0,231.0256173,0.001229286
395,299,Dana Abdul Razak (Hussain-),F,22.0,163.0,56.0,Iraq,IRQ,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,29111417.0,0.004304038,31.073,68.177,132000000000.0,4534.3035,0.00207874
396,299,Dana Abdul Razak (Hussain-),F,26.0,163.0,56.0,Iraq,IRQ,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,32776571.0,0.004618109,30.825,68.963,218000000000.0,6651.092331,0.002910547
397,300,A. Abdul Razzak,M,,178.0,70.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,,0,7289761.0,0.002402537,57.101,48.022,1684121535.0,231.0256173,0.001229286
398,300,A. Abdul Razzak,M,,178.0,70.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Triple Jump,,0,7289761.0,0.002402537,57.101,48.022,1684121535.0,231.0256173,0.001229286
399,301,Mohamed Abdul Razzak,M,,177.0,68.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,,0,7289761.0,0.002402537,57.101,48.022,1684121535.0,231.0256173,0.001229286
400,303,Hazim Abdul Ridha,M,,160.0,52.0,Iraq,IRQ,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",,0,13653356.0,0.003076681,34.479,60.127,53405689130.0,3911.543003,0.004768365
407,311,Haidar Abdul-Amir Hassan,M,21.0,185.0,80.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,26316609.0,0.004088749,31.288,68.537,36627901762.0,1391.816923,0.000836253
408,312,Haidar Abdul-Razzaq Hassan,M,22.0,175.0,75.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,26316609.0,0.004088749,31.288,68.537,36627901762.0,1391.816923,0.000836253
421,318,Ahmed Abdulkareem Ahmed,M,20.0,,,Iraq,IRQ,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,,0,32776571.0,0.004618109,30.825,68.963,218000000000.0,6651.092331,0.002910547
427,324,Atallah Abdullah,M,32.0,,88.0,Iraq,IRQ,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,18458187.0,0.003383011,30.663,67.256,,0,
436,328,Mohamed Abdullah,M,,180.0,76.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,,0,7289761.0,0.002402537,57.101,48.022,1684121535.0,231.0256173,0.001229286
470,349,Waheed Abdulridha Waheed Karaawi,M,33.0,178.0,74.0,Iraq,IRQ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,,0,37202572.0,0.004998911,30.408,69.862,171000000000.0,4596.456396,0.002255937
599,437,Younis Abid Sadkhan,M,18.0,,,Iraq,IRQ,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,16651807.0,0.003261414,29.928,64.436,62503055645.0,3753.529911,0.003272411
675,485,Sadoon Mohamed Aboub,M,21.0,170.0,48.0,Iraq,IRQ,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,,0,16651807.0,0.003261414,29.928,64.436,62503055645.0,3753.529911,0.003272411
680,489,Ahmed Ghmin Aboud,M,22.0,170.0,51.0,Iraq,IRQ,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,,0,18458187.0,0.003383011,30.663,67.256,,0,
683,492,Marwan Suhail Aboud,M,,,,Iraq,IRQ,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,15205501.0,0.003194445,31.868,60.393,46802508845.0,3077.998472,0.003867976
847,591,Abdul Wahab Abu Al-Hail Labid,M,27.0,180.0,79.0,Iraq,IRQ,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,26316609.0,0.004088749,31.288,68.537,36627901762.0,1391.816923,0.000836253
