Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
196,141,Clare Abbott,F,30.0,167.0,58.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,4773095.0,0.000641361,36.465,81.60731707,305000000000.0,63899.83857,0.004023747
197,141,Clare Abbott,F,30.0,167.0,58.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,0,4773095.0,0.000641361,36.465,81.60731707,305000000000.0,63899.83857,0.004023747
4115,2872,Samuel Thomas Allen,M,42.0,172.0,98.0,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,,0,3637510.0,0.000627962,41.856,75.83170732,75880630040.0,20860.59696,0.002401286
4116,2872,Samuel Thomas Allen,M,42.0,172.0,98.0,Ireland,IRL,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Double Trap,,0,3637510.0,0.000627962,41.856,75.83170732,75880630040.0,20860.59696,0.002401286
5422,3798,Brian Anderson,M,25.0,169.0,63.0,Ireland,IRL,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Light-Welterweight,,0,2866550.0,0.000879795,51.909,70.40129268,2766608946.0,965.1354227,0.001537005
5871,4167,Marian Andrews-Heffernan,F,30.0,171.0,63.0,Ireland,IRL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,,0,4586897.0,0.000646278,37.614,80.84634146,226000000000.0,49270.78153,0.003017356
7056,4930,Richard Archibald,M,26.0,183.0,70.0,Ireland,IRL,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,,0,4070262.0,0.000632387,39.798,78.53902439,194000000000.0,47662.77945,0.004429224
7057,4930,Richard Archibald,M,30.0,183.0,70.0,Ireland,IRL,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,,0,4489544.0,0.000663766,38.702,80.09512195,275000000000.0,61253.43687,0.004330709
7379,5172,Shirley Armstrong,F,30.0,167.0,52.0,Ireland,IRL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Women's Foil, Individual",,0,2828600.0,0.000932241,54.178,69.7965122,1939329775.0,685.6147122,0.001415569
9318,6466,Kevin Babington,M,35.0,173.0,75.0,Ireland,IRL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,4070262.0,0.000632387,39.798,78.53902439,194000000000.0,47662.77945,0.004429224
