Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
554,403,Ruth Abeles,F,18.0,153.0,48.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
555,403,Ruth Abeles,F,18.0,153.0,48.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
556,403,Ruth Abeles,F,18.0,153.0,48.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
557,403,Ruth Abeles,F,18.0,153.0,48.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Uneven Bars,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
558,403,Ruth Abeles,F,18.0,153.0,48.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Balance Beam,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
1366,950,Ilana Adir (-Kamarshik),F,19.0,165.0,58.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 100 metres,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
3595,2510,Vadim Alekseyev,M,26.0,183.0,80.0,Israel,ISR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Breaststroke,,0,5692000.0,0.000982638,9.057,78.10487805,110000000000.0,19325.36894,0.003481013
3596,2510,Vadim Alekseyev,M,26.0,183.0,80.0,Israel,ISR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke,,0,5692000.0,0.000982638,9.057,78.10487805,110000000000.0,19325.36894,0.003481013
3597,2510,Vadim Alekseyev,M,26.0,183.0,80.0,Israel,ISR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,5692000.0,0.000982638,9.057,78.10487805,110000000000.0,19325.36894,0.003481013
4339,3019,"Daniel ""Dan"" Alon",M,27.0,175.0,69.0,Israel,ISR,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's Foil, Individual",,0,3148000.0,0.000820021,14.649,71.07804878,8771500000.0,2786.3723,0.002326658
6822,4771,Yael Arad,F,25.0,,,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Middleweight,Silver,0,5123000.0,0.000938942,9.435,76.50487805,75575902932.0,14752.27463,0.002975429
6823,4771,Yael Arad,F,29.0,,,Israel,ISR,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Middleweight,,0,5692000.0,0.000982638,9.057,78.10487805,110000000000.0,19325.36894,0.003481013
6889,4817,Gary Aramist,M,26.0,167.0,63.0,Israel,ISR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,4159000.0,0.000873743,10.281,74.80731707,29148462483.0,7008.526685,0.002408964
7214,5059,Gideon Ariel,M,21.0,184.0,100.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Shot Put,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
7215,5059,Gideon Ariel,M,25.0,184.0,100.0,Israel,ISR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Discus Throw,,0,2475000.0,0.000759622,19.768,,3405333333.0,1375.892256,0.001891852
7484,5254,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
7485,5254,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
7486,5254,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
7487,5254,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
7488,5254,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
7489,5254,Felix Aronovich,M,24.0,168.0,63.0,Israel,ISR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
7626,5339,"Artiom ""Tommy"" Arshansky",M,20.0,163.0,60.0,Israel,ISR,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
7756,5412,Maya Arusi,F,21.0,160.0,49.0,Israel,ISR,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,,0,6809000.0,0.001057898,8.544,80.14634146,135000000000.0,19826.69996,0.003082192
8308,5802,Ron Atias,M,21.0,170.0,58.0,Israel,ISR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,,0,8547100.0,0.001148474,7.795,82.40731707,318000000000.0,37205.6019,0.004195251
8697,6091,"Aleksandr ""Alex"" Averbukh",M,25.0,178.0,76.0,Israel,ISR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Pole Vault,,0,6289000.0,0.001027938,8.797,78.95365854,132000000000.0,20989.02846,0.003928571
8698,6091,"Aleksandr ""Alex"" Averbukh",M,29.0,178.0,76.0,Israel,ISR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,,0,6809000.0,0.001057898,8.544,80.14634146,135000000000.0,19826.69996,0.003082192
8699,6091,"Aleksandr ""Alex"" Averbukh",M,33.0,178.0,76.0,Israel,ISR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,,0,7308800.0,0.001080585,8.298,80.95121951,216000000000.0,29553.41506,0.003401575
8776,6141,Nili Avramski,F,34.0,162.0,48.0,Israel,ISR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,,0,6809000.0,0.001057898,8.544,80.14634146,135000000000.0,19826.69996,0.003082192
9127,6350,Oren Eliahu Azrad,M,24.0,186.0,87.0,Israel,ISR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,6289000.0,0.001027938,8.797,78.95365854,132000000000.0,20989.02846,0.003928571
11040,7613,Chaim Bar,M,22.0,167.0,72.0,Israel,ISR,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,,0,3533000.0,0.000853557,12.947,72.95609756,15176875000.0,4295.74724,0.002363999
11041,7614,"Shraga ""Feiwel"" Bar",M,20.0,170.0,69.0,Israel,ISR,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,,0,2803000.0,0.000792968,17.048,71.05658537,4619000000.0,1647.877274,0.001893033
11045,7617,Orit Bar-On,F,24.0,160.0,57.0,Israel,ISR,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Lightweight,,0,6289000.0,0.001027938,8.797,78.95365854,132000000000.0,20989.02846,0.003928571
11046,7618,Nimrod Shapira Bar-Or,M,23.0,192.0,85.0,Israel,ISR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,,0,7910500.0,0.001114563,8.051,81.70487805,257000000000.0,32488.4647,0.003431242
11136,7668,Matvai Baranov,M,26.0,,,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,5123000.0,0.000938942,9.435,76.50487805,75575902932.0,14752.27463,0.002975429
11503,7945,Guy Marcos Barnea,M,20.0,179.0,73.0,Israel,ISR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,,0,7308800.0,0.001080585,8.298,80.95121951,216000000000.0,29553.41506,0.003401575
12835,8850,Vadim Bavikin,M,21.0,186.0,90.0,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Javelin Throw,,0,5123000.0,0.000938942,9.435,76.50487805,75575902932.0,14752.27463,0.002975429
12980,8959,Aleksey Bazarov,M,28.0,184.0,75.0,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,5123000.0,0.000938942,9.435,76.50487805,75575902932.0,14752.27463,0.002975429
13036,9000,Tom Be'eri,M,22.0,187.0,79.0,Israel,ISR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,,0,7308800.0,0.001080585,8.298,80.95121951,216000000000.0,29553.41506,0.003401575
13037,9000,Tom Be'eri,M,22.0,187.0,79.0,Israel,ISR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,,0,7308800.0,0.001080585,8.298,80.95121951,216000000000.0,29553.41506,0.003401575
13296,9175,Laetitia Beck,F,24.0,175.0,61.0,Israel,ISR,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,,0,8547100.0,0.001148474,7.795,82.40731707,318000000000.0,37205.6019,0.004195251
13771,9453,Michael Beilin,M,24.0,170.0,63.0,Israel,ISR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,6289000.0,0.001027938,8.797,78.95365854,132000000000.0,20989.02846,0.003928571
14024,9584,Alexei Beletsky,M,22.0,177.0,,Israel-2,ISR,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,,0,6570000.0,0.001046708,8.67,79.45121951,121000000000.0,18417.04718,0.00349711
14228,9718,Menachem Bello,M,20.0,167.0,64.0,Israel,ISR,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,,0,2803000.0,0.000792968,17.048,71.05658537,4619000000.0,1647.877274,0.001893033
14507,9873,Itzhak Ben David,M,,166.0,64.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
14521,9884,Yehuda Ben Haim,M,28.0,165.0,48.0,Israel,ISR,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Flyweight,,0,4159000.0,0.000873743,10.281,74.80731707,29148462483.0,7008.526685,0.002408964
14591,9938,Alon Ben-Dor,M,24.0,173.0,74.0,Israel,ISR,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,,0,3533000.0,0.000853557,12.947,72.95609756,15176875000.0,4295.74724,0.002363999
14592,9940,Ralli Ben-Yehuda,F,25.0,157.0,52.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
14593,9940,Ralli Ben-Yehuda,F,25.0,157.0,52.0,Israel,ISR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,,0,2114020.0,0.000696732,23.152,,2598500000.0,1229.174748,0.001896715
