Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1227,854,Derrick Adamson,M,26.0,177.0,72.0,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,2308947.0,0.000485075,51.78,72.135,2373566957.0,1027.986765,0.000196163
1228,854,Derrick Adamson,M,30.0,177.0,72.0,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,2393534.0,0.000468796,50.964,72.129,3828310735.0,1599.438627,0.000200435
3318,2334,Samantha Albert (Majendie-),F,37.0,165.0,59.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,2790122.0,0.000412511,46.629,74.334,13678606692.0,4902.512038,0.000215411
3319,2334,Samantha Albert (Majendie-),F,41.0,165.0,59.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,2840992.0,0.000400286,45.873,75.334,14800165407.0,5209.506189,0.000197599
3496,2451,Peter Aldridge,M,19.0,173.0,69.0,Jamaica,JAM,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,2163045.0,0.000487426,53.261,71.509,2679409453.0,1238.721087,0.000239233
3497,2451,Peter Aldridge,M,23.0,173.0,69.0,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's Points Race,,0,2308947.0,0.000485075,51.78,72.135,2373566957.0,1027.986765,0.000196163
3498,2451,Peter Aldridge,M,27.0,173.0,69.0,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's Points Race,,0,2393534.0,0.000468796,50.964,72.129,3828310735.0,1599.438627,0.000200435
4104,2861,Nathon Allen,M,20.0,178.0,,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,0,2881355.0,0.000387168,44.97,75.97,14056908749.0,4878.575791,0.000185447
4105,2862,Patrina Allen,F,25.0,176.0,70.0,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres Hurdles,,0,2656864.0,0.000434265,48.186,72.327,8929375580.0,3360.870402,0.000265755
4106,2862,Patrina Allen,F,29.0,176.0,70.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres Hurdles,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
4199,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,19.0,163.0,54.0,Jamaica,JAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres,,0,1934828.0,0.000504003,57.605,68.907,1875048860.0,969.1036413,0.00049736
4200,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,19.0,163.0,54.0,Jamaica,JAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,,0,1934828.0,0.000504003,57.605,68.907,1875048860.0,969.1036413,0.00049736
4201,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,19.0,163.0,54.0,Jamaica,JAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 400 metres Relay,,0,1934828.0,0.000504003,57.605,68.907,1875048860.0,969.1036413,0.00049736
4202,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,23.0,163.0,54.0,Jamaica,JAM,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 100 metres,,0,2055085.0,0.000496499,55.443,70.235,2966010230.0,1443.254284,0.000461995
4203,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,23.0,163.0,54.0,Jamaica,JAM,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 200 metres,,0,2055085.0,0.000496499,55.443,70.235,2966010230.0,1443.254284,0.000461995
4204,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,23.0,163.0,54.0,Jamaica,JAM,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,,0,2055085.0,0.000496499,55.443,70.235,2966010230.0,1443.254284,0.000461995
4205,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,27.0,163.0,54.0,Jamaica,JAM,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,,0,2163045.0,0.000487426,53.261,71.509,2679409453.0,1238.721087,0.000239233
4206,2931,"Rose ""Rosie"" Allwood (-Morrison)",F,27.0,163.0,54.0,Jamaica,JAM,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,,0,2163045.0,0.000487426,53.261,71.509,2679409453.0,1238.721087,0.000239233
5483,3844,Marvin Anderson,M,26.0,175.0,69.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,2790122.0,0.000412511,46.629,74.334,13678606692.0,4902.512038,0.000215411
6496,4566,Nils Antonio,M,33.0,177.0,68.0,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,2561993.0,0.00044229,49.145,72.011,6504445801.0,2538.822628,0.000205837
7983,5561,Nickel Ashmeade,M,26.0,183.0,77.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,2881355.0,0.000387168,44.97,75.97,14056908749.0,4878.575791,0.000185447
7984,5561,Nickel Ashmeade,M,26.0,183.0,77.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,,0,2881355.0,0.000387168,44.97,75.97,14056908749.0,4878.575791,0.000185447
7985,5561,Nickel Ashmeade,M,26.0,183.0,77.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,0,2881355.0,0.000387168,44.97,75.97,14056908749.0,4878.575791,0.000185447
8329,5817,Alia Shanee Atkinson,F,15.0,172.0,71.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
8330,5817,Alia Shanee Atkinson,F,15.0,172.0,71.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Breaststroke,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
8331,5817,Alia Shanee Atkinson,F,19.0,172.0,71.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Breaststroke,,0,2790122.0,0.000412511,46.629,74.334,13678606692.0,4902.512038,0.000215411
8332,5817,Alia Shanee Atkinson,F,23.0,172.0,71.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,2840992.0,0.000400286,45.873,75.334,14800165407.0,5209.506189,0.000197599
8333,5817,Alia Shanee Atkinson,F,23.0,172.0,71.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,,0,2840992.0,0.000400286,45.873,75.334,14800165407.0,5209.506189,0.000197599
8334,5817,Alia Shanee Atkinson,F,23.0,172.0,71.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Breaststroke,,0,2840992.0,0.000400286,45.873,75.334,14800165407.0,5209.506189,0.000197599
8335,5817,Alia Shanee Atkinson,F,27.0,172.0,71.0,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,,0,2881355.0,0.000387168,44.97,75.97,14056908749.0,4878.575791,0.000185447
8339,5823,Janelle Anya Monique Atkinson (-Wignall),F,17.0,168.0,66.0,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Freestyle,,0,2656864.0,0.000434265,48.186,72.327,8929375580.0,3360.870402,0.000265755
8340,5823,Janelle Anya Monique Atkinson (-Wignall),F,17.0,168.0,66.0,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,,0,2656864.0,0.000434265,48.186,72.327,8929375580.0,3360.870402,0.000265755
8341,5823,Janelle Anya Monique Atkinson (-Wignall),F,21.0,168.0,66.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
8342,5823,Janelle Anya Monique Atkinson (-Wignall),F,21.0,168.0,66.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Freestyle,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
8344,5825,Jevon Atkinson,M,20.0,173.0,73.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
8345,5825,Jevon Atkinson,M,24.0,173.0,73.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,2790122.0,0.000412511,46.629,74.334,13678606692.0,4902.512038,0.000215411
9002,6272,Sanjay Claude Ayre,M,20.0,188.0,84.0,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,0,2656864.0,0.000434265,48.186,72.327,8929375580.0,3360.870402,0.000265755
9003,6272,Sanjay Claude Ayre,M,28.0,188.0,84.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,2790122.0,0.000412511,46.629,74.334,13678606692.0,4902.512038,0.000215411
9004,6272,Sanjay Claude Ayre,M,28.0,188.0,84.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,,0,2790122.0,0.000412511,46.629,74.334,13678606692.0,4902.512038,0.000215411
9899,6880,Aleen May Bailey,F,23.0,170.0,64.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
9900,6880,Aleen May Bailey,F,23.0,170.0,64.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 200 metres,,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
9901,6880,Aleen May Bailey,F,23.0,170.0,64.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,0,2728777.0,0.000423964,47.375,73.167,10150978155.0,3719.97351,0.000231757
