Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
234,169,Raida Abdallah Bader,F,19.0,158.0,49.0,Jordan,JOR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",,0,2780428.0,0.000584126,34.348,67.899,4966710013.0,1786.311321,0.000410472
389,293,Hussam Abdul Rahman,M,30.0,175.0,80.0,Jordan,JOR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,0,2780428.0,0.000584126,34.348,67.899,4966710013.0,1786.311321,0.000410472
850,593,Methkal Marouf Abu Drais,M,28.0,168.0,67.0,Jordan,JOR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,7992573.0,0.001126127,17.03,73.729,30937277606.0,3870.753211,0.000413048
851,593,Methkal Marouf Abu Drais,M,32.0,168.0,67.0,Jordan,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,9455802.0,0.001270576,16.095,74.329,38654727746.0,4087.937517,0.000509957
856,598,Omar Abu-Fares,M,16.0,178.0,69.0,Jordan,JOR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,,0,5103130.0,0.000834107,20.192,71.73,8460424401.0,1657.889256,0.000251798
857,598,Omar Abu-Fares,M,19.0,178.0,69.0,Jordan,JOR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,,0,5535595.0,0.000860052,19.091,72.427,11411390409.0,2061.456882,0.000260534
870,608,Ahmad Abughaush,M,20.0,178.0,68.0,Jordan,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold,0,9455802.0,0.001270576,16.095,74.329,38654727746.0,4087.937517,0.000509957
885,612,Mohammad Abulibdeh,M,28.0,183.0,68.0,Jordan,JOR,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,,0,7992573.0,0.001126127,17.03,73.729,30937277606.0,3870.753211,0.000413048
900,622,Ali Abuzamia,M,19.0,185.0,80.0,Jordan,JOR,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Individual",,0,3252672.0,0.000637067,29.132,69.311,6277197435.0,1929.858724,0.000328649
1305,907,Irfan Adelbi,M,38.0,185.0,90.0,Jordan,JOR,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,,0,2780428.0,0.000584126,34.348,67.899,4966710013.0,1786.311321,0.000410472
2566,1813,Ali Hamed Al-Awasa,M,27.0,180.0,70.0,Jordan,JOR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,2780428.0,0.000584126,34.348,67.899,4966710013.0,1786.311321,0.000410472
2686,1887,Jaklein Al-Duqom,F,24.0,,,Jordan,JOR,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Women's Singles,,0,3252672.0,0.000637067,29.132,69.311,6277197435.0,1929.858724,0.000328649
2697,1895,Basma Al-Eshosh,F,26.0,172.0,65.0,Jordan,JOR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,5535595.0,0.000860052,19.091,72.427,11411390409.0,2061.456882,0.000260534
2700,1898,Mouteb Al-Faouri,M,24.0,178.0,70.0,Jordan,JOR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,2780428.0,0.000584126,34.348,67.899,4966710013.0,1786.311321,0.000410472
2701,1898,Mouteb Al-Faouri,M,24.0,178.0,70.0,Jordan,JOR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,2780428.0,0.000584126,34.348,67.899,4966710013.0,1786.311321,0.000410472
