Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
605,442,"Catherine ""Kate"" Abilla Awino",F,27.0,162.0,56.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,,0,48461567.0,0.006511782,73.945,67.032,70529014778.0,1455.359765,0.000930462
863,603,Juma Abudu,M,24.0,170.0,59.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Featherweight,,0,21871442.0,0.004283729,83.617,58.465,8355380879.0,382.0224052,0.000437454
1111,779,Shuaib Adam,M,30.0,175.0,80.0,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,18937738.0,0.003978531,84.021,59.039,6191437070.0,326.9364625,0.000511689
1112,779,Shuaib Adam,M,35.0,175.0,80.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,21871442.0,0.004283729,83.617,58.465,8355380879.0,382.0224052,0.000437454
1113,779,Shuaib Adam,M,35.0,175.0,80.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,21871442.0,0.004283729,83.617,58.465,8355380879.0,382.0224052,0.000437454
1114,779,Shuaib Adam,M,38.0,175.0,80.0,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,24963953.0,0.004575386,82.658,56.212,8209129172.0,328.8393137,0.000323194
1115,779,Shuaib Adam,M,38.0,175.0,80.0,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,24963953.0,0.004575386,82.658,56.212,8209129172.0,328.8393137,0.000323194
1286,894,James Adede,M,29.0,162.0,92.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,48461567.0,0.006511782,73.945,67.032,70529014778.0,1455.359765,0.000930462
1311,916,Biko Adema,M,28.0,177.0,85.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,,0,48461567.0,0.006511782,73.945,67.032,70529014778.0,1455.359765,0.000930462
1634,1148,Krishnan Kumar Aggarwal,M,21.0,167.0,55.0,Kenya,KEN,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,,0,8105440.0,0.002671366,92.638,46.348,791265458.8,97.62153058,0.000577566
1635,1148,Krishnan Kumar Aggarwal,M,25.0,167.0,55.0,Kenya,KEN,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,,0,9200157.0,0.002823692,91.682,48.841,998759333.6,108.5589445,0.000554866
1831,1306,Lameck Aguta Orero,M,24.0,173.0,59.0,Kenya,KEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,28147734.0,0.004859284,81.421,53.205,12045858436.0,427.9512673,0.000381198
2222,1582,Peter Akatsa,M,24.0,163.0,72.0,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,,0,18937738.0,0.003978531,84.021,59.039,6191437070.0,326.9364625,0.000511689
2223,1582,Peter Akatsa,M,28.0,163.0,72.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,,0,21871442.0,0.004283729,83.617,58.465,8355380879.0,382.0224052,0.000437454
2285,1638,Joseph Mukuku Akhasamba,M,25.0,183.0,80.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,,0,21871442.0,0.004283729,83.617,58.465,8355380879.0,382.0224052,0.000437454
2286,1638,Joseph Mukuku Akhasamba,M,29.0,183.0,80.0,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Heavyweight,,0,24963953.0,0.004575386,82.658,56.212,8209129172.0,328.8393137,0.000323194
2382,1689,"Mildred Akinyi ""Milka"" Alango",F,19.0,157.0,49.0,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Flyweight,,0,39148416.0,0.005787979,77.2,60.275,35895153328.0,916.8992515,0.000565278
2472,1754,Julius Akumu,M,27.0,,,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,,0,18937738.0,0.003978531,84.021,59.039,6191437070.0,326.9364625,0.000511689
3837,2668,Aziz Ali,M,27.0,173.0,81.0,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Heavyweight,,0,39148416.0,0.005787979,77.2,60.275,35895153328.0,916.8992515,0.000565278
4478,3119,Lucas Alubaha,M,25.0,188.0,87.0,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,,0,18937738.0,0.003978531,84.021,59.039,6191437070.0,326.9364625,0.000511689
4479,3119,Lucas Alubaha,M,29.0,188.0,87.0,Kenya,KEN,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,,0,21871442.0,0.004283729,83.617,58.465,8355380879.0,382.0224052,0.000437454
4829,3342,"William ""Willy"" Ambaka Ndayara",M,26.0,193.0,100.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,,0,48461567.0,0.006511782,73.945,67.032,70529014778.0,1455.359765,0.000930462
5047,3489,Andrew Amonde,M,32.0,190.0,104.0,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,,0,48461567.0,0.006511782,73.945,67.032,70529014778.0,1455.359765,0.000930462
5125,3549,"Daniel ""Dan"" Amuke",M,22.0,180.0,69.0,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,12083188.0,0.003147545,88.718,53.379,2107279157.0,174.397614,0.00055896
5126,3549,"Daniel ""Dan"" Amuke",M,22.0,180.0,69.0,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,0,12083188.0,0.003147545,88.718,53.379,2107279157.0,174.397614,0.00055896
5665,4004,Elizabeth Adhiambo Andiego,F,25.0,172.0,,Kenya,KEN,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Middleweight,,0,43646629.0,0.006149664,75.63,64.907,50412754822.0,1155.020582,0.000673067
6018,4254,Arere Anentia,M,,175.0,67.0,Kenya,KEN,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 10,000 metres",,0,8105440.0,0.002671366,92.638,46.348,791265458.8,97.62153058,0.000577566
6391,4490,Seraphino Antao,M,22.0,180.0,75.0,Kenya,KEN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,8105440.0,0.002671366,92.638,46.348,791265458.8,97.62153058,0.000577566
6392,4490,Seraphino Antao,M,22.0,180.0,75.0,Kenya,KEN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,,0,8105440.0,0.002671366,92.638,46.348,791265458.8,97.62153058,0.000577566
6393,4490,Seraphino Antao,M,22.0,180.0,75.0,Kenya,KEN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,,0,8105440.0,0.002671366,92.638,46.348,791265458.8,97.62153058,0.000577566
