Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
37292,25568,Kaingaue David,F,17.0,167.0,67.0,Kiribati,KIR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,106613.0,1.5e-05,56.052,65.623,188045661.6,1763.815497,2.51e-06
85386,58010,David Katoatau,M,24.0,170.0,103.0,Kiribati,KIR,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,98440.0,1.46e-05,56.353,65.146,139125482.3,1413.302339,2.19e-06
85387,58010,David Katoatau,M,28.0,170.0,103.0,Kiribati,KIR,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,106613.0,1.5e-05,56.052,65.623,188045661.6,1763.815497,2.51e-06
85388,58010,David Katoatau,M,32.0,170.0,103.0,Kiribati,KIR,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,,0,114395.0,1.54e-05,55.553,66.317,181551484.9,1587.057869,2.4e-06
125255,83837,Kaitinano Mwemweata,F,20.0,165.0,65.0,Kiribati,KIR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,90542.0,1.41e-05,56.468,64.74,102367039.3,1130.602806,2.34e-06
126436,84547,Kakianako Nariki,M,21.0,165.0,70.0,Kiribati,KIR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,90542.0,1.41e-05,56.468,64.74,102367039.3,1130.602806,2.34e-06
126832,84804,Rabangaki Nawai,M,23.0,178.0,83.0,Kiribati,KIR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,98440.0,1.46e-05,56.353,65.146,139125482.3,1413.302339,2.19e-06
155355,103720,John Ruuka,M,20.0,164.0,64.0,Kiribati,KIR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,114395.0,1.54e-05,55.553,66.317,181551484.9,1587.057869,2.4e-06
177085,118067,Nooa Takooa,M,19.0,160.0,67.0,Kiribati,KIR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,106613.0,1.5e-05,56.052,65.623,188045661.6,1763.815497,2.51e-06
179169,119428,Karitaake Tewaaki,F,18.0,155.0,52.0,Kiribati,KIR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,114395.0,1.54e-05,55.553,66.317,181551484.9,1587.057869,2.4e-06
179724,119824,Meamea Thomas,M,16.0,172.0,85.0,Kiribati,KIR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,90542.0,1.41e-05,56.468,64.74,102367039.3,1130.602806,2.34e-06
