Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
160,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KWT,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,,0,1089209.0,0.000263148,9.255,68.298,13131668947.0,12056.15171,0.002045431
161,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,Kuwait,KWT,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1089209.0,0.000263148,9.255,68.298,13131668947.0,12056.15171,0.002045431
162,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27.0,176.0,64.0,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
167,114,Essa Abbas Faleh Hashem,M,20.0,160.0,65.0,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
233,168,Younis Abdallah Rabee,M,23.0,169.0,68.0,Kuwait,KWT,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,854604.0,0.000222615,12.808,66.857,4451200973.0,5208.495365,0.00118069
366,275,Bashir Abdullah Abdul Aziz,M,22.0,180.0,73.0,Kuwait,KWT,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,,0,2050741.0,0.000335194,1.887,73.16,37711864407.0,18389.38433,0.001122377
381,286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,169.0,60.0,Kuwait,KWT,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,0,1089209.0,0.000263148,9.255,68.298,13131668947.0,12056.15171,0.002045431
382,286,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,169.0,60.0,Kuwait,KWT,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1089209.0,0.000263148,9.255,68.298,13131668947.0,12056.15171,0.002045431
404,308,Mohamed Abdul Wahab Al-Salah,M,21.0,,,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Freestyle,,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
405,308,Mohamed Abdul Wahab Al-Salah,M,21.0,,,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
437,329,Osama Abdullah,M,21.0,,,Kuwait,KWT,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,,,1.998,72.369,19858555215.0,#DIV/0!,0.000781833
459,342,Abdullah Abdulrahman Zeyab,M,16.0,177.0,,Kuwait,KWT,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Freestyle,,0,854604.0,0.000222615,12.808,66.857,4451200973.0,5208.495365,0.00118069
467,347,Najim Abdulrazak Al-Enazy,M,18.0,150.0,60.0,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
468,348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,19.0,181.0,66.0,Kuwait,KWT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,0,2038885.0,0.000399335,2.054,71.717,20692472760.0,10148.91608,0.001083376
469,348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,23.0,181.0,66.0,Kuwait,KWT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,,0,,,1.998,72.369,19858555215.0,#DIV/0!,0.000781833
888,615,Abdullah Abuqrais,M,25.0,163.0,65.0,Kuwait,KWT,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Men's Springboard,,0,1655833.0,0.000347865,2.449,70.752,21697297872.0,13103.55445,0.001793165
889,615,Abdullah Abuqrais,M,25.0,163.0,65.0,Kuwait,KWT,1984 Summer,1984,Summer,Los Angeles,Diving,Diving Men's Platform,,0,1655833.0,0.000347865,2.449,70.752,21697297872.0,13103.55445,0.001793165
2495,1772,Qaied Al-Adwani,M,25.0,,,Kuwait,KWT,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,,0,1631740.0,0.000281695,1.943,72.824,31493987642.0,19300.86144,0.000996645
2497,1774,Fawaz Al-Ahmad,M,22.0,,,Kuwait,KWT,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,,,1.998,72.369,19858555215.0,#DIV/0!,0.000781833
2501,1776,Ahmed Sa'd Mas'ud Al-Ahmed,M,18.0,177.0,70.0,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Individual",,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
2502,1776,Ahmed Sa'd Mas'ud Al-Ahmed,M,18.0,177.0,70.0,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Foil, Team",,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
2503,1776,Ahmed Sa'd Mas'ud Al-Ahmed,M,18.0,177.0,70.0,Kuwait,KWT,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's Sabre, Individual",,0,1372318.0,0.000309241,5.219,69.573,28638550499.0,20868.74216,0.002557013
2504,1776,Ahmed Sa'd Mas'ud Al-Ahmed,M,22.0,177.0,70.0,Kuwait,KWT,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Individual",,0,1655833.0,0.000347865,2.449,70.752,21697297872.0,13103.55445,0.001793165
