Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
475,353,Rasul Abduraim,M,19.0,183.0,74.0,Kyrgyzstan,KGZ,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,,0,5318700.0,0.000786354,64.715,68.45121951,5139957785.0,966.3936272,8.09e-05
476,353,Rasul Abduraim,M,23.0,183.0,74.0,Kyrgyzstan,KGZ,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Welterweight,,0,5607200.0,0.000790036,64.597,70.00243902,6605139933.0,1177.974735,8.82e-05
488,361,Aybek Abdymomunov,M,18.0,162.0,54.0,Kyrgyzstan,KGZ,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,,0,5104700.0,0.000793105,64.708,68.15365854,2211535312.0,433.235119,5.05e-05
1490,1035,Erkin Adylbek uulu,M,25.0,190.0,80.0,Kyrgyzstan,KGZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,,0,6082700.0,0.000817333,64.15,70.95121951,6551287938.0,1077.036174,8.64e-05
2329,1657,Bakhyt Beshimbekovich Akhmetov,M,21.0,175.0,105.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
3539,2475,Dmitry Aleksandrov,M,19.0,185.0,75.0,Kyrgyzstan,KGZ,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,,0,5607200.0,0.000790036,64.597,70.00243902,6605139933.0,1177.974735,8.82e-05
3549,2478,Konstantin Aleksandrov,M,26.0,172.0,100.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
3914,2736,Nazirdin Alikbekov,M,30.0,168.0,62.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
3915,2736,Nazirdin Alikbekov,M,34.0,168.0,62.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
6000,4239,Konstantin Andryushin,M,21.0,179.0,72.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
6001,4239,Konstantin Andryushin,M,21.0,179.0,72.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
6002,4239,Konstantin Andryushin,M,25.0,179.0,72.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
7279,5103,Yuliya Vladimirovna Arkhipova-Andreyeva,F,24.0,168.0,51.0,Kyrgyzstan,KGZ,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,,0,5318700.0,0.000786354,64.715,68.45121951,5139957785.0,966.3936272,8.09e-05
7280,5103,Yuliya Vladimirovna Arkhipova-Andreyeva,F,28.0,168.0,51.0,Kyrgyzstan,KGZ,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,,0,5607200.0,0.000790036,64.597,70.00243902,6605139933.0,1177.974735,8.82e-05
7281,5103,Yuliya Vladimirovna Arkhipova-Andreyeva,F,32.0,168.0,51.0,Kyrgyzstan,KGZ,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,0,6082700.0,0.000817333,64.15,70.95121951,6551287938.0,1077.036174,8.64e-05
7652,5352,Olga Artamonova,F,22.0,163.0,63.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Middleweight,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
7716,5392,Izzat Artykov,M,22.0,160.0,69.0,Kyrgyzstan,KGZ,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,,0,6082700.0,0.000817333,64.15,70.95121951,6551287938.0,1077.036174,8.64e-05
7961,5549,Sergey Ashikhmin,M,19.0,197.0,87.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
7962,5549,Sergey Ashikhmin,M,19.0,197.0,87.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
7963,5549,Sergey Ashikhmin,M,19.0,197.0,87.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
7964,5549,Sergey Ashikhmin,M,19.0,197.0,87.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,4628400.0,0.000799024,63.934,66.54390244,1827570586.0,394.8601214,5.78e-05
7965,5549,Sergey Ashikhmin,M,23.0,197.0,87.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
7966,5549,Sergey Ashikhmin,M,23.0,197.0,87.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
7967,5549,Sergey Ashikhmin,M,23.0,197.0,87.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
7968,5549,Sergey Ashikhmin,M,23.0,197.0,87.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,4898400.0,0.000800644,64.702,68.55853659,1369693171.0,279.6205232,4.08e-05
