Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
5038,3482,Thongdy Amnouayphone,M,19.0,165.0,60.0,Laos,LAO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,4957180.0,0.000855783,81.766,56.698,1873671550.0,377.9712558,5.93e-05
6613,4642,Chamleunesouk Ao-Oudomphonh,M,25.0,168.0,51.0,Laos,LAO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,5664605.0,0.000880096,73.758,61.224,2366398120.0,417.7516561,5.4e-05
20404,14070,Boualong Boungnavong,F,21.0,155.0,50.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,,0,3258144.0,0.000734198,87.623,49.06,,0,
20405,14071,Khamseua Bounheuang,M,26.0,170.0,63.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,3258144.0,0.000734198,87.623,49.06,,0,
23599,16137,Siri Arun Budcharern,F,14.0,166.0,63.0,Laos,LAO,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,6758353.0,0.00090812,60.346,66.683,15903329473.0,2353.136848,0.000209806
28863,19804,Thipsamay Chanthaphone,M,18.0,168.0,56.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,,0,3258144.0,0.000734198,87.623,49.06,,0,
30463,20787,Thepphithak Chindavong,M,17.0,170.0,50.0,Laos,LAO,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,6052190.0,0.000894799,69.161,63.402,5443915121.0,899.4950788,8.57e-05
36947,25326,Outsana Dao,M,20.0,175.0,66.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Welterweight,,0,3258144.0,0.000734198,87.623,49.06,,0,
68353,46569,Hath,M,16.0,160.0,50.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,3258144.0,0.000734198,87.623,49.06,,0,
76740,52227,Phathana Inthavong,M,15.0,162.0,56.0,Laos,LAO,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,6415169.0,0.000903876,64.632,65.208,10191350120.0,1588.633147,0.000136066
76741,52228,Santisouk Inthavong,M,16.0,170.0,60.0,Laos,LAO,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,6758353.0,0.00090812,60.346,66.683,15903329473.0,2353.136848,0.000209806
83903,57111,M. Kampanath,M,23.0,172.0,62.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,,0,3258144.0,0.000734198,87.623,49.06,,0,
86846,58952,Sirivanh Ketavong,F,25.0,153.0,49.0,Laos,LAO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,,0,4957180.0,0.000855783,81.766,56.698,1873671550.0,377.9712558,5.93e-05
86847,58952,Sirivanh Ketavong,F,30.0,153.0,49.0,Laos,LAO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Marathon,,0,5329304.0,0.000871075,78.023,58.923,1731198022.0,324.8450496,5.15e-05
86862,58961,Souliyasak Ketkeolatsami,M,25.0,,,Laos,LAO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,4957180.0,0.000855783,81.766,56.698,1873671550.0,377.9712558,5.93e-05
87076,59106,Khambieng Khamiar,M,24.0,174.0,58.0,Laos,LAO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,4502363.0,0.000825192,83.867,54.594,1127806945.0,250.4922293,4.44e-05
87077,59106,Khambieng Khamiar,M,24.0,174.0,58.0,Laos,LAO,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,4502363.0,0.000825192,83.867,54.594,1127806945.0,250.4922293,4.44e-05
87099,59121,Seuth Khampa,F,17.0,164.0,45.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,,0,3258144.0,0.000734198,87.623,49.06,,0,
87100,59122,Khamphanh,M,19.0,167.0,67.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",,0,3258144.0,0.000734198,87.623,49.06,,0,
87101,59123,Khamsing,M,19.0,155.0,56.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",,0,3258144.0,0.000734198,87.623,49.06,,0,
87300,59286,Panh Khemanith,M,27.0,171.0,60.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,3258144.0,0.000734198,87.623,49.06,,0,
134881,90127,Sikhounxay Ounkhamphanyavong,M,17.0,182.0,76.0,Laos,LAO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,5329304.0,0.000871075,78.023,58.923,1731198022.0,324.8450496,5.15e-05
134883,90129,Souneat Ouphaphone,M,22.0,167.0,51.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,,0,3258144.0,0.000734198,87.623,49.06,,0,
141305,94415,Poutavanh Phengthalangsy,M,25.0,,,Laos,LAO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,4957180.0,0.000855783,81.766,56.698,1873671550.0,377.9712558,5.93e-05
141470,94519,Singkham Phongpratith,M,29.0,160.0,48.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Flyweight,,0,3258144.0,0.000734198,87.623,49.06,,0,
141471,94520,Vongdeuane Phongsavanh,M,23.0,167.0,60.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,,0,3258144.0,0.000734198,87.623,49.06,,0,
141473,94523,Ariya Phounsavath,M,25.0,182.0,58.0,Laos,LAO,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",,0,6758353.0,0.00090812,60.346,66.683,15903329473.0,2353.136848,0.000209806
141474,94524,Laenly Phoutthavong,F,16.0,169.0,55.0,Laos,LAO,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,6415169.0,0.000903876,64.632,65.208,10191350120.0,1588.633147,0.000136066
141475,94524,Laenly Phoutthavong,F,20.0,169.0,55.0,Laos,LAO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,6758353.0,0.00090812,60.346,66.683,15903329473.0,2353.136848,0.000209806
156041,104106,Philaylack Sackpraseuth,F,17.0,160.0,53.0,Laos,LAO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,5664605.0,0.000880096,73.758,61.224,2366398120.0,417.7516561,5.4e-05
156042,104106,Philaylack Sackpraseuth,F,21.0,160.0,53.0,Laos,LAO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,6052190.0,0.000894799,69.161,63.402,5443915121.0,899.4950788,8.57e-05
156045,104109,Sitthixay Sacpraseuth,M,21.0,165.0,60.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,,0,3258144.0,0.000734198,87.623,49.06,,0,
156046,104109,Sitthixay Sacpraseuth,M,33.0,165.0,60.0,Laos,LAO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,4502363.0,0.000825192,83.867,54.594,1127806945.0,250.4922293,4.44e-05
156690,104551,Mala Sakonhninhom,F,23.0,160.0,50.0,Laos,LAO,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,,0,4020295.0,0.000787413,85.234,52.576,598961269.3,148.9844077,3.14e-05
165421,110457,Bounhom Siliphone,M,27.0,165.0,65.0,Laos,LAO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,4502363.0,0.000825192,83.867,54.594,1127806945.0,250.4922293,4.44e-05
166247,110981,Vanxay Sinebandith,M,23.0,170.0,60.0,Laos,LAO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,4502363.0,0.000825192,83.867,54.594,1127806945.0,250.4922293,4.44e-05
166753,111346,Kilakone Siphonexay,M,23.0,168.0,63.0,Laos,LAO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,6415169.0,0.000903876,64.632,65.208,10191350120.0,1588.633147,0.000136066
166885,111438,Soukphaxay Sithisane,M,20.0,,,Laos,LAO,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,,0,6758353.0,0.00090812,60.346,66.683,15903329473.0,2353.136848,0.000209806
169361,113052,Soutsakhone Somninhom,M,22.0,163.0,60.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,3258144.0,0.000734198,87.623,49.06,,0,
169542,113164,Bounphisith Songkhamphou,M,27.0,161.0,58.0,Laos,LAO,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,,0,3258144.0,0.000734198,87.623,49.06,,0,
