Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
641,462,Ilze bola,F,19.0,169.0,60.0,Latvia,LVA,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,2410019.0,0.000404553,31.549,69.01219512,7174985107.0,2977.148772,0.000229233
642,463,Agnese boltia,F,17.0,166.0,60.0,Latvia,LVA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,,0,1993782.0,0.000274286,32.579,74.12439024,31419072948.0,15758.52974,0.00039771
643,463,Agnese boltia,F,17.0,166.0,60.0,Latvia,LVA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,1993782.0,0.000274286,32.579,74.12439024,31419072948.0,15758.52974,0.00039771
644,463,Agnese boltia,F,17.0,166.0,60.0,Latvia,LVA,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,,0,1993782.0,0.000274286,32.579,74.12439024,31419072948.0,15758.52974,0.00039771
3585,2502,Sandra Aleksejeva,F,21.0,164.0,62.0,Latvia,LVA,2012 Summer,2012,Summer,London,Cycling,Cycling Women's BMX,,0,2034319.0,0.000286629,32.452,73.77804878,28119996053.0,13822.80559,0.000375434
5789,4105,Oegs Andrejevs,M,25.0,177.0,68.0,Latvia,LVA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint,,0,2218357.0,0.000336195,32.033,70.86585366,21447021570.0,9667.9757,0.000417257
5790,4105,Oegs Andrejevs,M,25.0,177.0,68.0,Latvia,LVA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,2218357.0,0.000336195,32.033,70.86585366,21447021570.0,9667.9757,0.000417257
5791,4105,Oegs Andrejevs,M,25.0,177.0,68.0,Latvia,LVA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,0,2218357.0,0.000336195,32.033,70.86585366,21447021570.0,9667.9757,0.000417257
6268,4409,irts Ankipns,M,30.0,183.0,83.0,Latvia,LVA,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,2218357.0,0.000336195,32.033,70.86585366,21447021570.0,9667.9757,0.000417257
6269,4409,irts Ankipns,M,34.0,183.0,83.0,Latvia,LVA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,2097555.0,0.000302649,32.308,73.48292683,23757368290.0,11326.21947,0.00035996
6685,4682,Aiva Aparjode,F,28.0,177.0,74.0,Latvia,LVA,2006 Winter,2006,Winter,Torino,Luge,Luge Women's Singles,,0,2218357.0,0.000336195,32.033,70.86585366,21447021570.0,9667.9757,0.000417257
6706,4695,Normunds Aploci,M,22.0,177.0,,Latvia,LVA,1992 Winter,1992,Winter,Albertville,Freestyle Skiing,Freestyle Skiing Men's Moguls,,0,2614338.0,0.000479155,31.148,68.39609756,,0,
6851,4796,Ronalds Arjs,M,20.0,179.0,82.0,Latvia,LVA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,2177322.0,0.000321911,32.166,72.4195122,35596016664.0,16348.53121,0.000560567
7125,4991,Mareks rents,M,25.0,190.0,85.0,Latvia,LVA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Pole Vault,,0,2034319.0,0.000286629,32.452,73.77804878,28119996053.0,13822.80559,0.000375434
7126,4991,Mareks rents,M,29.0,190.0,85.0,Latvia,LVA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,,0,1960424.0,0.000263422,32.639,74.52926829,27572698482.0,14064.66075,0.000363756
7186,5037,Mihails Arhipovs,M,21.0,183.0,95.0,Latvia-2,LVA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,,0,2218357.0,0.000336195,32.033,70.86585366,21447021570.0,9667.9757,0.000417257
7187,5037,Mihails Arhipovs,M,25.0,183.0,95.0,Latvia,LVA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,,0,2097555.0,0.000302649,32.308,73.48292683,23757368290.0,11326.21947,0.00035996
7679,5364,Boriss Artemjevs,M,27.0,,,Latvia-2,LVA,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,,0,2614338.0,0.000479155,31.148,68.39609756,,0,
7680,5364,Boriss Artemjevs,M,29.0,,,Latvia-1,LVA,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,,0,2520742.0,0.000448145,31.099,65.66439024,,0,
8168,5705,Kaspars Astaenko,M,26.0,191.0,92.0,Latvia,LVA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,2310173.0,0.000368048,32.15,70.96097561,9546441564.0,4132.349207,0.000275909
9326,6472,Elna Babkina,F,19.0,176.0,65.0,Latvia,LVA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,,0,2177322.0,0.000321911,32.166,72.4195122,35596016664.0,16348.53121,0.000560567
