Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
171,117,Maher Abbas,M,22.0,178.0,78.0,Lebanon,LBN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,2668585.0,0.000522668,17.6,69.656,3313540068.0,1241.684289,0.000173484
172,117,Maher Abbas,M,22.0,178.0,78.0,Lebanon,LBN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,2668585.0,0.000522668,17.6,69.656,3313540068.0,1241.684289,0.000173484
654,469,Tarek Abou Al Dahab,M,28.0,170.0,64.0,Lebanon,LBN,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",,0,2210959.0,0.00062548,43.899,65.528,,0,
655,469,Tarek Abou Al Dahab,M,28.0,170.0,64.0,Lebanon,LBN,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's Sprint,,0,2210959.0,0.00062548,43.899,65.528,,0,
656,469,Tarek Abou Al Dahab,M,28.0,170.0,64.0,Lebanon,LBN,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,2210959.0,0.00062548,43.899,65.528,,0,
657,469,Tarek Abou Al Dahab,M,28.0,170.0,64.0,Lebanon,LBN,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,2210959.0,0.00062548,43.899,65.528,,0,
658,469,Tarek Abou Al Dahab,M,32.0,170.0,64.0,Lebanon,LBN,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,0,2416735.0,0.000629534,37.42,66.565,,0,
659,469,Tarek Abou Al Dahab,M,32.0,170.0,64.0,Lebanon,LBN,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,2416735.0,0.000629534,37.42,66.565,,0,
660,470,Bachir Hani Abou Assi,M,24.0,175.0,74.0,Lebanon,LBN,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,2416735.0,0.000629534,37.42,66.565,,0,
693,499,Dany Abounaoum,M,22.0,,,Lebanon,LBN,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,2821862.0,0.00051719,16.182,70.878,5545921947.0,1965.341305,0.000218343
