Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
71698,48896,Kenneth Hlasa,M,25.0,170.0,67.0,Lesotho,LSO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,,0,1310118.0,0.000295225,88.55,53.807,431561376.5,329.4064935,3.85e-05
71699,48896,Kenneth Hlasa,M,25.0,170.0,67.0,Lesotho,LSO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,,0,1310118.0,0.000295225,88.55,53.807,431561376.5,329.4064935,3.85e-05
86031,58465,Sebusiso Keketsi,M,19.0,160.0,48.0,Lesotho,LSO,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Flyweight,,0,1868699.0,0.000305439,80.452,48.405,887295267.9,474.8197906,2.64e-05
87172,59201,Mothobi Kharitse,M,23.0,175.0,73.0,Lesotho,LSO,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,1550262.0,0.000303633,87.099,58.098,470389179.7,303.4256014,2.46e-05
91301,61644,Nteboheleng Koaeana,F,17.0,,,Lesotho,LSO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,1787273.0,0.000308546,82.429,55.351,946123275.9,529.3669607,2.99e-05
100741,67655,Clement Mabothile Lebopo,M,33.0,159.0,62.0,Lesotho,LSO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,1999930.0,0.000295684,76.226,49.112,1870722801.0,935.3941393,2.95e-05
100767,67684,Mamokete Lechela,F,22.0,150.0,59.0,Lesotho,LSO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,,0,1933728.0,0.000300439,78.311,46.078,1511236656.0,781.5145956,3.45e-05
101922,68354,Mosito Lehata,M,23.0,177.0,69.0,Lesotho,LSO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,0,2089928.0,0.000294464,74.24,52.158,2678494689.0,1281.620558,3.58e-05
101923,68354,Mosito Lehata,M,27.0,177.0,69.0,Lesotho,LSO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,2203821.0,0.000296127,72.16,54.174,2291321667.0,1039.704072,3.02e-05
101924,68354,Mosito Lehata,M,27.0,177.0,69.0,Lesotho,LSO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,,0,2203821.0,0.000296127,72.16,54.174,2291321667.0,1039.704072,3.02e-05
102900,69045,Joseph Letseka,M,27.0,170.0,76.0,Lesotho,LSO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,1310118.0,0.000295225,88.55,53.807,431561376.5,329.4064935,3.85e-05
102901,69045,Joseph Letseka,M,27.0,170.0,76.0,Lesotho,LSO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,,0,1310118.0,0.000295225,88.55,53.807,431561376.5,329.4064935,3.85e-05
109750,73512,Makoekoe Mahanetsa,M,33.0,,,Lesotho,LSO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1787273.0,0.000308546,82.429,55.351,946123275.9,529.3669607,2.99e-05
109991,73675,Simon Tsotang Maine,M,33.0,184.0,78.0,Lesotho,LSO,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,1999930.0,0.000295684,76.226,49.112,1870722801.0,935.3941393,2.95e-05
113686,76089,Motlatsi Maseela,M,24.0,178.0,68.0,Lesotho,LSO,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1787273.0,0.000308546,82.429,55.351,946123275.9,529.3669607,2.99e-05
114120,76418,Teboho Mathibeli,M,17.0,150.0,51.0,Lesotho,LSO,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,,0,1550262.0,0.000303633,87.099,58.098,470389179.7,303.4256014,2.46e-05
120712,80763,Lineo Mochesane,F,20.0,150.0,49.0,Lesotho,LSO,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,,0,1933728.0,0.000300439,78.311,46.078,1511236656.0,781.5145956,3.45e-05
121017,80978,Mohala Mohloli,M,26.0,180.0,54.0,Lesotho,LSO,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,1550262.0,0.000303633,87.099,58.098,470389179.7,303.4256014,2.46e-05
121018,80980,Henry Mahlomola Mohoanyane,M,28.0,175.0,67.0,Lesotho,LSO,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,1667121.0,0.000305549,84.894,59.394,831033941.1,498.4844778,3.27e-05
121074,81036,Sello Mojela,M,23.0,156.0,75.0,Lesotho,LSO,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Middleweight,,0,1550262.0,0.000303633,87.099,58.098,470389179.7,303.4256014,2.46e-05
121104,81054,Mokete Mokhosi,M,31.0,186.0,80.0,Lesotho,LSO,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Welterweight,,0,1868699.0,0.000305439,80.452,48.405,887295267.9,474.8197906,2.64e-05
121105,81055,Moroke Jeremia Mokhotho,M,25.0,,,Lesotho,LSO,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Flyweight,,0,2203821.0,0.000296127,72.16,54.174,2291321667.0,1039.704072,3.02e-05
121138,81078,Mopeli Molapo,M,22.0,184.0,87.0,Lesotho,LSO,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,0,1310118.0,0.000295225,88.55,53.807,431561376.5,329.4064935,3.85e-05
121525,81331,Phetetso Monese,M,31.0,,,Lesotho,LSO,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,2203821.0,0.000296127,72.16,54.174,2291321667.0,1039.704072,3.02e-05
121594,81379,Tsiu Monne,M,22.0,173.0,70.0,Lesotho,LSO,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Middleweight,,0,1442212.0,0.000302987,88.309,55.931,333158476.2,231.0052033,2.75e-05
121612,81401,Ncholu Monontsi,M,25.0,177.0,71.0,Lesotho,LSO,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Middleweight,,0,1550262.0,0.000303633,87.099,58.098,470389179.7,303.4256014,2.46e-05
122010,81698,Motsapi Moorosi,M,27.0,170.0,62.0,Lesotho,LSO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,1076340.0,0.000280375,90.526,49.634,80915831.92,75.17683253,2.15e-05
