Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
272,204,Moustafa Abdel Naser,M,21.0,176.0,74.0,Libya,LBY,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,5035884.0,0.00086937,23.952,70.0,27884615385.0,5537.183816,0.000882425
483,358,Fawzi Abdussalam,M,,179.0,76.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's Sprint,,0,3219466.0,0.000725482,29.906,64.185,,0,
681,490,Fathi Khalifa Aboud,M,23.0,175.0,75.0,Libya,LBY,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Triple Jump,,0,4220418.0,0.000826609,24.386,67.789,,0,
869,607,Hamza Abughalia,M,23.0,,85.0,Libya,LBY,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
1358,946,Adel Mohamed Adili,M,21.0,176.0,65.0,Libya,LBY,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,5035884.0,0.00086937,23.952,70.0,27884615385.0,5537.183816,0.000882425
1359,946,Adel Mohamed Adili,M,26.0,176.0,65.0,Libya,LBY,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,5355751.0,0.000875398,23.654,70.473,38270206950.0,7145.628494,0.001138994
1920,1384,Abdullah Ali Ahmed,M,26.0,181.0,73.0,Libya,LBY,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,4220418.0,0.000826609,24.386,67.789,,0,
1921,1384,Abdullah Ali Ahmed,M,26.0,181.0,73.0,Libya,LBY,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,4220418.0,0.000826609,24.386,67.789,,0,
2028,1452,Mustafa M. Ahshad,M,21.0,,113.0,Libya,LBY,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,4651004.0,0.000852435,24.168,69.172,33881392045.0,7284.747991,0.001333913
2706,1902,Bashir Ali Al-Fellah,M,,180.0,60.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,3219466.0,0.000725482,29.906,64.185,,0,
2887,2033,Enemri Najem Al-Marghani,M,,178.0,55.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,,0,3219466.0,0.000725482,29.906,64.185,,0,
3848,2676,Ghada Ali,F,19.0,166.0,67.0,Libya,LBY,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,6053078.0,0.00089493,22.676,71.681,87140405361.0,14396.04865,0.00137229
8381,5853,Ahmad Mohamed Attellesey,M,21.0,,,Libya,LBY,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,6293253.0,0.000845625,21.246,71.934,,0,
8849,6191,Tarek Ayad,M,27.0,174.0,66.0,Libya,LBY,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Lightweight,,0,5355751.0,0.000875398,23.654,70.473,38270206950.0,7145.628494,0.001138994
9635,6676,Kamaluddin Badi,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
9668,6704,Abdullah Badri,M,,,,Libya,LBY,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,4220418.0,0.000826609,24.386,67.789,,0,
14030,9591,Ahmed Youssef Belgasem,M,20.0,165.0,68.0,Libya,LBY,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",,0,6053078.0,0.00089493,22.676,71.681,87140405361.0,14396.04865,0.00137229
14569,9921,Mohamed Ben Saleh,M,23.0,169.0,80.0,Libya,LBY,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
14570,9921,Mohamed Ben Saleh,M,27.0,169.0,80.0,Libya,LBY,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Heavyweight,,0,6053078.0,0.00089493,22.676,71.681,87140405361.0,14396.04865,0.00137229
14589,9936,El-Munsif Ben Youssef,M,,170.0,70.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,3219466.0,0.000725482,29.906,64.185,,0,
30123,20561,Issa Ali Chetoui,M,,172.0,60.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,,0,3219466.0,0.000725482,29.906,64.185,,0,
40684,28126,El-Mehdi Sallah Ahmad Diab,M,,160.0,58.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres,,0,3219466.0,0.000725482,29.906,64.185,,0,
40685,28126,El-Mehdi Sallah Ahmad Diab,M,,160.0,58.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,3219466.0,0.000725482,29.906,64.185,,0,
45637,31451,Amira Edrahi,F,17.0,,,Libya,LBY,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
46310,31908,Said Masoud El-Agimi,M,27.0,,,Libya,LBY,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Lightweight,,0,4651004.0,0.000852435,24.168,69.172,33881392045.0,7284.747991,0.001333913
46314,31910,Ali Hamid El-Aila,M,,167.0,64.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,3219466.0,0.000725482,29.906,64.185,,0,
46315,31910,Ali Hamid El-Aila,M,,167.0,64.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,3219466.0,0.000725482,29.906,64.185,,0,
46391,31962,Ahmed El-Faghei,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
46407,31971,Sofyan El-Gadi,M,16.0,182.0,80.0,Libya,LBY,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,,0,6053078.0,0.00089493,22.676,71.681,87140405361.0,14396.04865,0.00137229
46408,31971,Sofyan El-Gadi,M,20.0,182.0,80.0,Libya,LBY,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,,0,6198258.0,0.000873314,22.012,71.574,,0,
46450,31993,Ali Saleh El-Ghrari,M,19.0,,,Libya,LBY,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,,0,6293253.0,0.000845625,21.246,71.934,,0,
46467,32008,Abdel Hamed El-Hadi,M,,,,Libya,LBY,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,4220418.0,0.000826609,24.386,67.789,,0,
46481,32022,Ruwida El-Hubti,F,15.0,154.0,51.0,Libya,LBY,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
46510,32038,Mohamed El-Kamaa,M,,165.0,55.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,3219466.0,0.000725482,29.906,64.185,,0,
46518,32046,Mohamed El-Hadi Yussif El-Kawisah,M,29.0,,,Libya,LBY,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,,0,6293253.0,0.000845625,21.246,71.934,,0,
46519,32047,Ahmed Youssif El-Kawiseh,M,23.0,172.0,66.0,Libya,LBY,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Lightweight,,0,6198258.0,0.000873314,22.012,71.574,,0,
46532,32057,Adnan El-Khuja,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
46546,32067,Ahmed El-Magrisi,M,26.0,,89.0,Libya,LBY,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,4220418.0,0.000826609,24.386,67.789,,0,
46548,32069,Attaher Mohamed El-Mahjoub,M,,,,Libya,LBY,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Men's Singles,,0,4651004.0,0.000852435,24.168,69.172,33881392045.0,7284.747991,0.001333913
46557,32078,Mohamed Salem El-Margini,M,,168.0,63.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,,0,3219466.0,0.000725482,29.906,64.185,,0,
46558,32078,Mohamed Salem El-Margini,M,,168.0,63.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,3219466.0,0.000725482,29.906,64.185,,0,
46589,32100,Mustafa El-Musbah,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
46600,32107,Mohamed El-Naser,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,,0,3219466.0,0.000725482,29.906,64.185,,0,
46724,32198,Ali Zayed Mabrouk El-Zaidi,M,22.0,169.0,60.0,Libya,LBY,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,5035884.0,0.00086937,23.952,70.0,27884615385.0,5537.183816,0.000882425
46725,32198,Ali Zayed Mabrouk El-Zaidi,M,30.0,169.0,60.0,Libya,LBY,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
46726,32198,Ali Zayed Mabrouk El-Zaidi,M,34.0,169.0,60.0,Libya,LBY,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,6053078.0,0.00089493,22.676,71.681,87140405361.0,14396.04865,0.00137229
46727,32198,Ali Zayed Mabrouk El-Zaidi,M,38.0,169.0,60.0,Libya,LBY,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,6198258.0,0.000873314,22.012,71.574,,0,
48144,33153,Mohamed Eshtiwi,M,19.0,169.0,69.0,Libya,LBY,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
49479,34051,Asmahan (Mercedes-) Farhat,F,18.0,167.0,69.0,Libya,LBY,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Breaststroke,,0,6053078.0,0.00089493,22.676,71.681,87140405361.0,14396.04865,0.00137229
51254,35122,Nadia Fezzani,F,,131.0,41.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,,0,3219466.0,0.000725482,29.906,64.185,,0,
51255,35122,Nadia Fezzani,F,,131.0,41.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,,0,3219466.0,0.000725482,29.906,64.185,,0,
51256,35123,Soad Fezzani,F,,142.0,49.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Freestyle,,0,3219466.0,0.000725482,29.906,64.185,,0,
51257,35123,Soad Fezzani,F,,142.0,49.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Freestyle,,0,3219466.0,0.000725482,29.906,64.185,,0,
51258,35123,Soad Fezzani,F,,142.0,49.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Backstroke,,0,3219466.0,0.000725482,29.906,64.185,,0,
55999,38232,Hussein Gambour,M,26.0,175.0,68.0,Libya,LBY,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,,0,6293253.0,0.000845625,21.246,71.934,,0,
56101,38303,Mohamed Ganfud,M,,168.0,66.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,3219466.0,0.000725482,29.906,64.185,,0,
58516,39911,Abdusalam Hala Gezah,F,22.0,169.0,55.0,Libya,LBY,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,6198258.0,0.000873314,22.012,71.574,,0,
58669,40009,Khaled Al-Ghezzawi,M,17.0,170.0,69.0,Libya,LBY,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
62647,42711,Yahia B. Gregni,M,22.0,,,Libya,LBY,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,,0,4651004.0,0.000852435,24.168,69.172,33881392045.0,7284.747991,0.001333913
65764,44771,Daniah Hagul,F,17.0,,,Libya,LBY,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Breaststroke,,0,6293253.0,0.000845625,21.246,71.934,,0,
73948,50472,Mohamed Fuad Hrezi,M,24.0,,,Libya,LBY,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,6293253.0,0.000845625,21.246,71.934,,0,
83250,56652,Nuri Kaheil,M,,183.0,70.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,3219466.0,0.000725482,29.906,64.185,,0,
83251,56652,Nuri Kaheil,M,,183.0,70.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,3219466.0,0.000725482,29.906,64.185,,0,
87023,59066,Mohamed Souai Asswai Khalifa,M,,180.0,70.0,Libya,LBY,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,,0,1958914.0,0.000554176,56.93,53.921,,0,
87096,59118,Mohamed Khamis Taher,M,32.0,176.0,74.0,Libya,LBY,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,4651004.0,0.000852435,24.168,69.172,33881392045.0,7284.747991,0.001333913
108746,72815,Marzouk Khalifa Mabrouk,M,,170.0,58.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,0,3219466.0,0.000725482,29.906,64.185,,0,
109850,73589,Almabruk Mahmud Mahmud,M,,160.0,52.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Flyweight,,0,3219466.0,0.000725482,29.906,64.185,,0,
125049,83701,Abdullah Mussa,M,27.0,,88.0,Libya,LBY,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,4220418.0,0.000826609,24.386,67.789,,0,
125609,84043,Nizar Mohamed Naeeli,M,24.0,,,Libya,LBY,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Featherweight,,0,5355751.0,0.000875398,23.654,70.473,38270206950.0,7145.628494,0.001138994
134567,89958,Khaled Abdul Gasem Othman Feghi Saleh,M,27.0,176.0,68.0,Libya,LBY,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,5035884.0,0.00086937,23.952,70.0,27884615385.0,5537.183816,0.000882425
156236,104254,Samid Sagar,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
156993,104782,Ahmed Mohamed Sallouma,M,,168.0,63.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,,0,3219466.0,0.000725482,29.906,64.185,,0,
156994,104782,Ahmed Mohamed Sallouma,M,,168.0,63.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,,0,3219466.0,0.000725482,29.906,64.185,,0,
163249,109096,Yousef Ali Shadi,M,26.0,175.0,75.0,Libya,LBY,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,5035884.0,0.00086937,23.952,70.0,27884615385.0,5537.183816,0.000882425
163372,109178,Ali Shalabi,M,,160.0,56.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Bantamweight,,0,3219466.0,0.000725482,29.906,64.185,,0,
163814,109446,Khalid Shebani,M,,167.0,67.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,3219466.0,0.000725482,29.906,64.185,,0,
163815,109446,Khalid Shebani,M,,167.0,67.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,3219466.0,0.000725482,29.906,64.185,,0,
164762,110019,Yousef Saleh Shriha,M,24.0,177.0,58.0,Libya,LBY,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,,0,6293253.0,0.000845625,21.246,71.934,,0,
180981,120607,Salem Ezedin Tlish,M,22.0,169.0,68.0,Libya,LBY,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Flyweight,,0,5704759.0,0.000886335,23.226,71.17,33122307692.0,5806.083604,0.000756217
194407,129685,Abdulwahab Werfeli,M,,178.0,71.0,Libya,LBY,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Freestyle,,0,3219466.0,0.000725482,29.906,64.185,,0,
200966,133800,Awad Zakka,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
200967,133801,Miloud Zakka,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
201332,134056,Jamal Zarugh,M,,,,Libya,LBY,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,,0,3219466.0,0.000725482,29.906,64.185,,0,
