Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
11001,7592,Bruno Banzer,M,25.0,173.0,65.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Individual All-Around,,0,22151.0,5.77e-06,81.646,,124941925.0,5640.464313,3.31e-05
11002,7592,Bruno Banzer,M,25.0,173.0,65.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Floor Exercise,,0,22151.0,5.77e-06,81.646,,124941925.0,5640.464313,3.31e-05
11003,7592,Bruno Banzer,M,25.0,173.0,65.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horse Vault,,0,22151.0,5.77e-06,81.646,,124941925.0,5640.464313,3.31e-05
11004,7592,Bruno Banzer,M,25.0,173.0,65.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,,0,22151.0,5.77e-06,81.646,,124941925.0,5640.464313,3.31e-05
11005,7592,Bruno Banzer,M,25.0,173.0,65.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horizontal Bar,,0,22151.0,5.77e-06,81.646,,124941925.0,5640.464313,3.31e-05
11006,7592,Bruno Banzer,M,25.0,173.0,65.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Rings,,0,22151.0,5.77e-06,81.646,,124941925.0,5640.464313,3.31e-05
11007,7592,Bruno Banzer,M,25.0,173.0,65.0,Liechtenstein,LIE,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Pommelled Horse,,0,22151.0,5.77e-06,81.646,,124941925.0,5640.464313,3.31e-05
12418,8593,Thomas Batliner,M,29.0,176.0,74.0,Liechtenstein,LIE,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,28095.0,5.5e-06,82.799,,1161757671.0,41351.0472,6.08e-05
13282,9162,Arnold Beck,M,19.0,177.0,67.0,Liechtenstein,LIE,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,,0,20236.0,5.72e-06,81.145,,,0,
13301,9180,Max Beck,M,24.0,,,Liechtenstein,LIE,1976 Winter,1976,Winter,Innsbruck,Luge,Luge Men's Singles,,0,23926.0,5.78e-06,81.686,,272493879.0,11389.02779,4.24e-05
13302,9180,Max Beck,M,24.0,,,Liechtenstein,LIE,1976 Winter,1976,Winter,Innsbruck,Luge,Luge Mixed (Men)'s Doubles,,0,23926.0,5.78e-06,81.686,,272493879.0,11389.02779,4.24e-05
