Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1425,1000,Dainius Adomaitis,M,26.0,202.0,100.0,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Bronze,0,3499536.0,0.000571999,33.014,72.0195122,11539211480.0,3297.354701,0.000343429
1426,1001,Svajnas Adomaitis,M,19.0,175.0,55.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,0,3377075.0,0.000524688,33.354,71.96097561,22649930576.0,6706.966998,0.000517122
1438,1004,Aurimas Adomaviius,M,22.0,204.0,100.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,,0,2872298.0,0.000385951,33.488,74.32195122,42738875963.0,14879.6803,0.000563837
2058,1477,Neringa Aidietyt,F,29.0,177.0,60.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,,0,2987773.0,0.000420967,33.396,73.86341463,42847900766.0,14341.08306,0.000572068
2059,1477,Neringa Aidietyt,F,33.0,177.0,60.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,,0,2872298.0,0.000385951,33.488,74.32195122,42738875963.0,14879.6803,0.000563837
3528,2469,Virgilijus Alekna,M,24.0,200.0,130.0,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Discus Throw,,0,3601613.0,0.000621764,32.775,70.10804878,8385109020.0,2328.153808,0.000265352
3529,2469,Virgilijus Alekna,M,28.0,200.0,130.0,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,Gold,0,3499536.0,0.000571999,33.014,72.0195122,11539211480.0,3297.354701,0.000343429
3530,2469,Virgilijus Alekna,M,32.0,200.0,130.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Discus Throw,Gold,0,3377075.0,0.000524688,33.354,71.96097561,22649930576.0,6706.966998,0.000517122
3531,2469,Virgilijus Alekna,M,36.0,200.0,130.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,Bronze,0,3198231.0,0.000472849,33.152,71.81219512,47850551149.0,14961.56818,0.000753552
3532,2469,Virgilijus Alekna,M,40.0,200.0,130.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Discus Throw,,0,2987773.0,0.000420967,33.396,73.86341463,42847900766.0,14341.08306,0.000572068
5966,4213,Paulius Andrijauskas,M,19.0,189.0,86.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,,0,3377075.0,0.000524688,33.354,71.96097561,22649930576.0,6706.966998,0.000517122
5972,4218,Gintaras Andriukeviius,M,29.0,176.0,62.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,,0,3377075.0,0.000524688,33.354,71.96097561,22649930576.0,6706.966998,0.000517122
7086,4953,Ingrida Ardiauskait,F,21.0,178.0,65.0,Lithuania,LTU,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,,0,2932367.0,0.000403408,33.478,74.51707317,48545251796.0,16554.97139,0.000614497
7087,4953,Ingrida Ardiauskait,F,21.0,178.0,65.0,Lithuania,LTU,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,0,2932367.0,0.000403408,33.478,74.51707317,48545251796.0,16554.97139,0.000614497
7826,5453,Laura Asadauskait-Zadneprovskien,F,24.0,160.0,49.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Modern Pentathlon,Modern Pentathlon Women's Individual,,0,3198231.0,0.000472849,33.152,71.81219512,47850551149.0,14961.56818,0.000753552
7827,5453,Laura Asadauskait-Zadneprovskien,F,28.0,160.0,49.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold,0,2987773.0,0.000420967,33.396,73.86341463,42847900766.0,14341.08306,0.000572068
7828,5453,Laura Asadauskait-Zadneprovskien,F,32.0,160.0,49.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,,0,2872298.0,0.000385951,33.488,74.32195122,42738875963.0,14879.6803,0.000563837
9766,6772,Gediminas Bagdonas,M,26.0,185.0,76.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",,0,2987773.0,0.000420967,33.396,73.86341463,42847900766.0,14341.08306,0.000572068
9767,6773,Juozas Bagdonas,M,24.0,,,Lithuania,LTU,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,,0,3700114.0,0.000678156,32.536,70.23439024,,0,
9768,6773,Juozas Bagdonas,M,28.0,,,Lithuania,LTU,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,,0,3601613.0,0.000621764,32.775,70.10804878,8385109020.0,2328.153808,0.000265352
