Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1674,1180,Marc Agosta,M,36.0,173.0,60.0,Luxembourg,LUX,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,365998.0,7.69e-05,19.387,73.27192683,4594891581.0,12554.41719,0.000379743
5967,4215,Ren Andring,M,20.0,183.0,70.0,Luxembourg,LUX,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,0,313970.0,0.000103477,30.444,68.44639024,703925705.9,2242.015816,0.000513814
5968,4215,Ren Andring,M,20.0,183.0,70.0,Luxembourg,LUX,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,313970.0,0.000103477,30.444,68.44639024,703925705.9,2242.015816,0.000513814
6016,4252,Alain Anen,M,22.0,,,Luxembourg,LUX,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Individual",,0,346600.0,9.03e-05,24.472,70.20531707,1968733022.0,5680.129896,0.00052221
6017,4252,Alain Anen,M,22.0,,,Luxembourg,LUX,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",,0,346600.0,9.03e-05,24.472,70.20531707,1968733022.0,5680.129896,0.00052221
6227,4380,Jean Aniset,M,25.0,166.0,60.0,Luxembourg,LUX,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 5,000 metres",,0,313970.0,0.000103477,30.444,68.44639024,703925705.9,2242.015816,0.000513814
6228,4380,Jean Aniset,M,30.0,166.0,60.0,Luxembourg,LUX,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,,0,327750.0,0.000100592,28.541,69.41104878,903158753.9,2755.633116,0.000501755
7117,4984,Nancy Arendt-Kemp,F,19.0,169.0,55.0,Luxembourg,LUX,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Breaststroke,,0,373450.0,7.31e-05,19.164,74.48034146,9750161053.0,26108.34396,0.00051048
7118,4984,Nancy Arendt-Kemp,F,19.0,169.0,55.0,Luxembourg,LUX,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,,0,373450.0,7.31e-05,19.164,74.48034146,9750161053.0,26108.34396,0.00051048
7119,4984,Nancy Arendt-Kemp,F,31.0,169.0,55.0,Luxembourg,LUX,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Women's Olympic Distance,,0,436300.0,7.13e-05,15.784,77.87317073,21263514833.0,48735.99549,0.000632843
10707,7399,Marcel Balthasar,M,33.0,187.0,,Luxembourg,LUX,1972 Summer,1972,Summer,Munich,Archery,Archery Men's Individual,,0,346600.0,9.03e-05,24.472,70.20531707,1968733022.0,5680.129896,0.00052221
13336,9207,Liliane Becker,F,17.0,157.0,51.0,Luxembourg,LUX,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Individual All-Around,,0,313970.0,0.000103477,30.444,68.44639024,703925705.9,2242.015816,0.000513814
13337,9207,Liliane Becker,F,17.0,157.0,51.0,Luxembourg,LUX,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,,0,313970.0,0.000103477,30.444,68.44639024,703925705.9,2242.015816,0.000513814
