Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
10276,7114,Nina Balaban,F,20.0,158.0,58.0,Macedonia,MKD,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,2081206.0,0.000279652,42.796,75.703,10899583155.0,5237.147671,0.000143794
17784,12225,Marko Blaevski,M,19.0,183.0,73.0,Macedonia,MKD,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,,0,2074036.0,0.000292225,43.041,75.019,9745251126.0,4698.689476,0.00013011
17785,12225,Marko Blaevski,M,23.0,183.0,73.0,Macedonia,MKD,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,,0,2081206.0,0.000279652,42.796,75.703,10899583155.0,5237.147671,0.000143794
18510,12747,Anastasia Katerina Bogdanovski,F,23.0,174.0,57.0,Macedonia,MKD,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,,0,2081206.0,0.000279652,42.796,75.703,10899583155.0,5237.147671,0.000143794
19940,13737,Mirjana Boevska,F,15.0,170.0,59.0,Macedonia,MKD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,,0,1989443.0,0.000343447,40.62,72.309,4422160018.0,2222.813128,0.000139942
19941,13737,Mirjana Boevska,F,15.0,170.0,59.0,Macedonia,MKD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,,0,1989443.0,0.000343447,40.62,72.309,4422160018.0,2222.813128,0.000139942
19942,13737,Mirjana Boevska,F,15.0,170.0,59.0,Macedonia,MKD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,,0,1989443.0,0.000343447,40.62,72.309,4422160018.0,2222.813128,0.000139942
19943,13737,Mirjana Boevska,F,19.0,170.0,59.0,Macedonia,MKD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,,0,2034819.0,0.000332591,41.452,73.267,3772851420.0,1854.145956,0.000112287
19944,13737,Mirjana Boevska,F,19.0,170.0,59.0,Macedonia,MKD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,,0,2034819.0,0.000332591,41.452,73.267,3772851420.0,1854.145956,0.000112287
19945,13737,Mirjana Boevska,F,19.0,170.0,59.0,Macedonia,MKD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,,0,2034819.0,0.000332591,41.452,73.267,3772851420.0,1854.145956,0.000112287
36612,25119,Darko Damjanovski,M,24.0,180.0,72.0,Macedonia,MKD,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,2063145.0,0.000312673,42.631,74.077,6861222332.0,3325.613242,0.000133487
36613,25119,Darko Damjanovski,M,28.0,180.0,72.0,Macedonia,MKD,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,2070739.0,0.00029878,43.008,74.632,9407168702.0,4542.904104,0.000142533
36614,25119,Darko Damjanovski,M,32.0,180.0,72.0,Macedonia,MKD,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Sprint,,0,2077495.0,0.000285803,42.971,75.384,11362272838.0,5469.217898,0.000143826
36615,25119,Darko Damjanovski,M,32.0,180.0,72.0,Macedonia,MKD,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,2077495.0,0.000285803,42.971,75.384,11362272838.0,5469.217898,0.000143826
36616,25119,Darko Damjanovski,M,32.0,180.0,72.0,Macedonia,MKD,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,0,2077495.0,0.000285803,42.971,75.384,11362272838.0,5469.217898,0.000143826
41437,28652,Gjoko Dineski,M,25.0,182.0,74.0,Macedonia,MKD,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,,0,2012057.0,0.00033775,41.035,72.795,3571043103.0,1774.822037,0.000114091
41438,28652,Gjoko Dineski,M,29.0,182.0,74.0,Macedonia,MKD,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's Sprint,,0,2048928.0,0.000326427,41.87,73.642,4018365247.0,1961.203735,0.000116138
41439,28652,Gjoko Dineski,M,29.0,182.0,74.0,Macedonia,MKD,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,2048928.0,0.000326427,41.87,73.642,4018365247.0,1961.203735,0.000116138
45760,31529,Kristijan Efremov,M,21.0,184.0,72.0,Macedonia,MKD,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,2074036.0,0.000292225,43.041,75.019,9745251126.0,4698.689476,0.00013011
51615,35334,Kire Filipovski,M,23.0,,,Macedonia,MKD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,,0,1989443.0,0.000343447,40.62,72.309,4422160018.0,2222.813128,0.000139942
51616,35334,Kire Filipovski,M,23.0,,,Macedonia,MKD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley,,0,1989443.0,0.000343447,40.62,72.309,4422160018.0,2222.813128,0.000139942
55398,37863,Nasir Gadihanov,M,33.0,175.0,76.0,Macedonia,MKD,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,2034819.0,0.000332591,41.452,73.267,3772851420.0,1854.145956,0.000112287
