Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3856,2683,Kame Ali,M,28.0,185.0,84.0,Madagascar,MDG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,,0,22346573.0,0.003148557,66.804,64.28,9919780071.0,443.9061001,0.00013244
3857,2683,Kame Ali,M,32.0,185.0,84.0,Madagascar,MDG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 110 metres Hurdles,,0,24894551.0,0.003345082,64.259,65.932,10001193420.0,401.7422696,0.000131942
5913,4190,Justin Andriamanantena,M,30.0,176.0,69.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Middleweight,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
5914,4191,Tojohanitra Tokin'aina Andriamanjatoarimanana,F,13.0,140.0,52.5,Madagascar,MDG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,17802997.0,0.00276601,71.789,60.752,4363934494.0,245.1235876,9.96e-05
5915,4191,Tojohanitra Tokin'aina Andriamanjatoarimanana,F,17.0,140.0,52.5,Madagascar,MDG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,19996469.0,0.002956419,69.33,62.509,9413002921.0,470.733254,0.000148236
5917,4193,Frdrique Andrianaivo,M,24.0,176.0,71.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
5918,4194,"Thomas ""Tommy"" Andrianatvoo",M,27.0,175.0,105.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Heavyweight,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
5920,4196,Zo Andrianifaha,M,14.0,165.0,61.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Freestyle,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
5921,4196,Zo Andrianifaha,M,14.0,165.0,61.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
5922,4196,Zo Andrianifaha,M,14.0,165.0,61.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
7969,5550,Mamodaly Ashikhoussen,M,22.0,172.0,60.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Extra-Lightweight,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
8530,5960,Celestin Augustin,M,29.0,160.0,51.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Flyweight,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
16267,11170,Jean-Luc Bezoky,M,18.0,168.0,57.0,Madagascar,MDG,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Featherweight,,0,9780872.0,0.002054813,79.566,49.634,2939485472.0,300.5340906,0.000242933
129963,86851,Elie Norbert,M,24.0,162.0,60.0,Madagascar,MDG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,,0,19996469.0,0.002956419,69.33,62.509,9413002921.0,470.733254,0.000148236
146932,98029,Sylvain Rabary,M,18.0,165.0,65.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Lightweight,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
146946,98045,Marc Rabmila,M,26.0,166.0,56.0,Madagascar,MDG,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Triple Jump,,0,5625164.0,0.001726463,87.986,41.876,802482182.9,142.6593399,0.000445823
146947,98046,Toussaint Rabenala,M,26.0,178.0,71.0,Madagascar,MDG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Triple Jump,,0,12301336.0,0.002254585,75.319,52.278,3024459564.0,245.8643162,0.000119073
146948,98047,Lalaina Rabenarivo,M,26.0,160.0,48.0,Madagascar,MDG,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Flyweight,,0,17802997.0,0.00276601,71.789,60.752,4363934494.0,245.1235876,9.96e-05
146949,98048,Alfred Rabenja,M,27.0,170.0,70.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
146953,98052,Louis Honor Rabetrano,M,18.0,166.0,60.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Lightweight,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
146954,98053,Aina Estellah Rabetsara,F,18.0,167.0,59.0,Madagascar,MDG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,,0,22346573.0,0.003148557,66.804,64.28,9919780071.0,443.9061001,0.00013244
146955,98053,Aina Estellah Rabetsara,F,22.0,167.0,59.0,Madagascar,MDG,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,,0,24894551.0,0.003345082,64.259,65.932,10001193420.0,401.7422696,0.000131942
147265,98266,Henri Rafaralahy,M,23.0,170.0,67.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
147344,98331,Monica Rahanitraniriana,F,30.0,165.0,59.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
147351,98337,Albertine Rahliarisoa,F,19.0,151.0,42.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 800 metres,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
147352,98337,Albertine Rahliarisoa,F,19.0,151.0,42.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Women's 1,500 metres",,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
147573,98472,Sylvain Rajefiarison,M,21.0,168.0,60.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
147598,98485,Nicole Rajoharison,F,14.0,159.0,51.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Breaststroke,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
147599,98485,Nicole Rajoharison,F,14.0,159.0,51.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Breaststroke,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
147600,98486,Erik Rajohnson,M,23.0,179.0,78.0,Madagascar,MDG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,,0,19996469.0,0.002956419,69.33,62.509,9413002921.0,470.733254,0.000148236
147648,98515,Joseph Rakotoarimanana,M,23.0,,,Madagascar,MDG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,13902688.0,0.00240009,73.942,55.43,3995028593.0,287.3565596,0.000126425
147649,98516,Yvon Rakotoarimiandry,M,24.0,180.0,72.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
147650,98517,Tisbite Rakotoarisoa,M,28.0,166.0,56.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 800 metres,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
147651,98517,Tisbite Rakotoarisoa,M,28.0,166.0,56.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
147652,98518,Jean-Jacques Rakotomalala,M,27.0,,,Madagascar,MDG,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,,0,12301336.0,0.002254585,75.319,52.278,3024459564.0,245.8643162,0.000119073
147653,98519,Heritovo Jean Holland Rakotomanga,M,28.0,175.0,54.0,Madagascar,MDG,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Featherweight,,0,12301336.0,0.002254585,75.319,52.278,3024459564.0,245.8643162,0.000119073
147654,98520,Hubert N. Rakotomblontsoa,M,23.0,183.0,72.0,Madagascar,MDG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,12301336.0,0.002254585,75.319,52.278,3024459564.0,245.8643162,0.000119073
147655,98521,Hanitriniaina Rivosoa Rakotondrab,F,29.0,160.0,54.0,Madagascar,MDG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,,0,13902688.0,0.00240009,73.942,55.43,3995028593.0,287.3565596,0.000126425
147656,98521,Hanitriniaina Rivosoa Rakotondrab,F,29.0,160.0,54.0,Madagascar,MDG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,13902688.0,0.00240009,73.942,55.43,3995028593.0,287.3565596,0.000126425
147657,98521,Hanitriniaina Rivosoa Rakotondrab,F,33.0,160.0,54.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
147658,98521,Hanitriniaina Rivosoa Rakotondrab,F,33.0,160.0,54.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
147659,98522,Harinelina Nathalia Rakotondramanana,F,23.0,158.0,48.0,Madagascar,MDG,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Flyweight,,0,22346573.0,0.003148557,66.804,64.28,9919780071.0,443.9061001,0.00013244
147660,98523,Dominique Rakotorahalahy,M,24.0,168.0,67.0,Madagascar,MDG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Decathlon,,0,6234465.0,0.001763729,86.59,43.796,1031669636.0,165.478455,0.000422815
147661,98524,Lalanirina Rosa Rakotozafy,F,22.0,165.0,55.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres Hurdles,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
147662,98524,Lalanirina Rosa Rakotozafy,F,22.0,165.0,55.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
147663,98524,Lalanirina Rosa Rakotozafy,F,26.0,165.0,55.0,Madagascar,MDG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres Hurdles,,0,17802997.0,0.00276601,71.789,60.752,4363934494.0,245.1235876,9.96e-05
147677,98533,Andr Ralainasolo,M,25.0,172.0,65.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
147679,98535,Anthonny Sitraka Ralefy,M,21.0,182.0,79.0,Madagascar,MDG,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Butterfly,,0,24894551.0,0.003345082,64.259,65.932,10001193420.0,401.7422696,0.000131942
147755,98581,Lantoniaina Ramalalanirina,F,19.0,150.0,48.0,Madagascar,MDG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,13902688.0,0.00240009,73.942,55.43,3995028593.0,287.3565596,0.000126425
147756,98582,Nicole Ramalalanirina (-Valrie),F,20.0,164.0,57.0,Madagascar,MDG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,,0,12301336.0,0.002254585,75.319,52.278,3024459564.0,245.8643162,0.000119073
147757,98582,Nicole Ramalalanirina (-Valrie),F,24.0,164.0,57.0,Madagascar,MDG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,,0,13902688.0,0.00240009,73.942,55.43,3995028593.0,287.3565596,0.000126425
147758,98582,Nicole Ramalalanirina (-Valrie),F,24.0,164.0,57.0,Madagascar,MDG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,13902688.0,0.00240009,73.942,55.43,3995028593.0,287.3565596,0.000126425
147777,98594,Mbolatiana Ramanisa,F,18.0,168.0,55.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
147778,98595,Mamitina Ramantsoa Tsilavinal,M,20.0,178.0,70.0,Madagascar,MDG,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,,0,22346573.0,0.003148557,66.804,64.28,9919780071.0,443.9061001,0.00013244
147815,98622,Nirinaharifidy Ramilijaona,F,25.0,158.0,51.0,Madagascar,MDG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,19996469.0,0.002956419,69.33,62.509,9413002921.0,470.733254,0.000148236
148152,98838,Arsne Randriamahazomana,M,22.0,173.0,70.0,Madagascar,MDG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,9780872.0,0.002054813,79.566,49.634,2939485472.0,300.5340906,0.000242933
148153,98839,Jean-Jacky Randriamamitiana,M,27.0,175.0,75.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
148154,98840,Harinela Randriamanarivo,M,26.0,,60.0,Madagascar,MDG,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Featherweight,,0,12301336.0,0.002254585,75.319,52.278,3024459564.0,245.8643162,0.000119073
148155,98841,Joseph-Berlioz Randriamihaja,M,24.0,183.0,78.0,Madagascar,MDG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,,0,15766806.0,0.002577086,72.879,58.485,3877673539.0,245.9390658,0.000115407
148156,98841,Joseph-Berlioz Randriamihaja,M,28.0,183.0,78.0,Madagascar,MDG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,,0,17802997.0,0.00276601,71.789,60.752,4363934494.0,245.1235876,9.96e-05
148157,98841,Joseph-Berlioz Randriamihaja,M,32.0,183.0,78.0,Madagascar,MDG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,,0,19996469.0,0.002956419,69.33,62.509,9413002921.0,470.733254,0.000148236
148158,98842,Jean-Aim Randrianalijaona,M,26.0,177.0,69.0,Madagascar,MDG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,,0,6946620.0,0.001809522,85.036,45.735,1341590682.0,193.1285549,0.00035586
148159,98843,Jules Randrianarivelo,M,23.0,167.0,56.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 10,000 metres",,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
148160,98843,Jules Randrianarivelo,M,23.0,167.0,56.0,Madagascar,MDG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,,0,8716553.0,0.001964209,81.476,49.005,4042139901.0,463.731466,0.000360905
