Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
8938,6237,Peter Ayesu,M,22.0,135.0,51.0,Malawi,MWI,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,,0,6895928.0,0.00144873,90.069,45.882,1208026080.0,175.1796248,9.98e-05
8939,6237,Peter Ayesu,M,26.0,135.0,51.0,Malawi,MWI,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,,0,8636935.0,0.001691625,89.066,46.414,1379923808.0,159.7700814,7.22e-05
8940,6238,Phillimon Ayesu,M,26.0,163.0,52.0,Malawi,MWI,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,,0,6895928.0,0.00144873,90.069,45.882,1208026080.0,175.1796248,9.98e-05
28749,19725,Lucia Chandamale,F,20.0,165.0,48.0,Malawi,MWI,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",,0,14271234.0,0.00210996,84.674,54.177,5320925102.0,372.8426779,8.38e-05
30389,20730,Agnes Catherine Chikwakwa,F,15.0,168.0,45.0,Malawi,MWI,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",,0,11376172.0,0.001859436,85.39,46.45,1743506287.0,153.2594872,5.19e-05
30390,20730,Agnes Catherine Chikwakwa,F,19.0,168.0,45.0,Malawi,MWI,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 5,000 metres",,0,12676038.0,0.001969446,85.036,48.735,3476094499.0,274.2256294,7.94e-05
30444,20773,Dyton Chimwaza,M,27.0,173.0,71.0,Malawi,MWI,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,6895928.0,0.00144873,90.069,45.882,1208026080.0,175.1796248,9.98e-05
30445,20773,Dyton Chimwaza,M,27.0,173.0,71.0,Malawi,MWI,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,6895928.0,0.00144873,90.069,45.882,1208026080.0,175.1796248,9.98e-05
30446,20773,Dyton Chimwaza,M,31.0,173.0,71.0,Malawi,MWI,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,8636935.0,0.001691625,89.066,46.414,1379923808.0,159.7700814,7.22e-05
30447,20773,Dyton Chimwaza,M,31.0,173.0,71.0,Malawi,MWI,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,8636935.0,0.001691625,89.066,46.414,1379923808.0,159.7700814,7.22e-05
30495,20806,Tatu Chionga,M,28.0,164.0,60.0,Malawi,MWI,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Lightweight,,0,4859610.0,0.001265878,93.349,41.475,406084197.4,83.5631249,0.000107715
30565,20864,Kefasi Chitsala,M,22.0,170.0,63.0,Malawi,MWI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,0,18091575.0,0.002430966,83.546,63.223,5433038647.0,300.3076651,7.17e-05
30599,20887,Kondwani Chiwina,M,24.0,180.0,70.0,Malawi,MWI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,12676038.0,0.001969446,85.036,48.735,3476094499.0,274.2256294,7.94e-05
30610,20894,Emesia Chizunga,F,18.0,160.0,55.0,Malawi,MWI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 800 metres,,0,4859610.0,0.001265878,93.349,41.475,406084197.4,83.5631249,0.000107715
30611,20894,Emesia Chizunga,F,18.0,160.0,55.0,Malawi,MWI,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Women's 1,500 metres",,0,4859610.0,0.001265878,93.349,41.475,406084197.4,83.5631249,0.000107715
30785,21010,Han Choi,F,15.0,167.0,65.0,Malawi,MWI,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,12676038.0,0.001969446,85.036,48.735,3476094499.0,274.2256294,7.94e-05
