Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
180,125,Zulkifli Abbas,M,28.0,170.0,62.0,Malaysia,MYS,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,,0,15191625.0,0.00319153,54.881,69.21,33943505718.0,2234.356477,0.002805248
367,276,Chairil Anwar Abdul Aziz,M,24.0,163.0,61.0,Malaysia,MYS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,,0,21023321.0,0.003629361,43.031,72.019,101000000000.0,4804.188644,0.003196203
368,276,Chairil Anwar Abdul Aziz,M,28.0,163.0,61.0,Malaysia,MYS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,,0,23185608.0,0.00378969,38.023,72.8,93789736842.0,4045.170471,0.002791361
372,278,Mohamed Abdul Hadj,M,25.0,,,Malaysia,MYS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,,0,19012724.0,0.003484647,48.186,71.177,59167157498.0,3111.976879,0.002329416
392,296,Zambrose Abdul Rahman,M,24.0,173.0,64.0,Malaysia,MYS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,,0,10297801.0,0.002913245,67.987,63.581,3330393310.0,323.4082024,0.001364915
438,331,Wan Azlan Abdullah,M,21.0,188.0,77.0,Malaysia,MYS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley,,0,21023321.0,0.003629361,43.031,72.019,101000000000.0,4804.188644,0.003196203
439,331,Wan Azlan Abdullah,M,21.0,188.0,77.0,Malaysia,MYS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Individual Medley,,0,21023321.0,0.003629361,43.031,72.019,101000000000.0,4804.188644,0.003196203
440,331,Wan Azlan Abdullah,M,21.0,188.0,77.0,Malaysia,MYS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,21023321.0,0.003629361,43.031,72.019,101000000000.0,4804.188644,0.003196203
441,331,Wan Azlan Abdullah,M,25.0,188.0,77.0,Malaysia,MYS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,,0,23185608.0,0.00378969,38.023,72.8,93789736842.0,4045.170471,0.002791361
852,594,Lailin Abu Hassan,M,22.0,,,Malaysia,MYS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,,0,19012724.0,0.003484647,48.186,71.177,59167157498.0,3111.976879,0.002329416
853,594,Lailin Abu Hassan,M,26.0,,,Malaysia,MYS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,,0,21023321.0,0.003629361,43.031,72.019,101000000000.0,4804.188644,0.003196203
1848,1315,Sabiahmad Abdullah Ahad,M,28.0,168.0,68.0,Malaysia,MYS,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,15191625.0,0.00319153,54.881,69.21,33943505718.0,2234.356477,0.002805248
1901,1373,Ramli Ahmad,M,19.0,175.0,67.0,Malaysia,MYS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,0,12468893.0,0.003012428,61.481,66.736,11050125905.0,886.2154728,0.001721203
1902,1373,Ramli Ahmad,M,19.0,175.0,67.0,Malaysia,MYS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,0,12468893.0,0.003012428,61.481,66.736,11050125905.0,886.2154728,0.001721203
1908,1376,Yahya Ahmad,M,21.0,146.0,57.0,Malaysia,MYS,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",,0,12468893.0,0.003012428,61.481,66.736,11050125905.0,886.2154728,0.001721203
3169,2220,Kunaratnam Alagaratnam,M,20.0,168.0,55.0,Malaysia,MYS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,,0,9253963.0,0.002840206,70.768,61.672,2674441396.0,289.0049805,0.001485801
3170,2220,Kunaratnam Alagaratnam,M,24.0,168.0,55.0,Malaysia,MYS,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,,0,10297801.0,0.002913245,67.987,63.581,3330393310.0,323.4082024,0.001364915
3875,2698,Shahrudin Mohamed Ali,M,19.0,170.0,62.0,Malaya,MYS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,,0,8157106.0,0.002688394,73.402,59.466,1916241997.0,234.916893,0.001398717
3876,2698,Shahrudin Mohamed Ali,M,19.0,170.0,62.0,Malaya,MYS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 200 metres,,0,8157106.0,0.002688394,73.402,59.466,1916241997.0,234.916893,0.001398717
4656,3233,Rosman Alwi,M,22.0,178.0,74.0,Malaysia,MYS,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's Sprint,,0,15191625.0,0.00319153,54.881,69.21,33943505718.0,2234.356477,0.002805248
