Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
385,289,Abdul Haji Abdul Latheef,M,17.0,168.0,54.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
645,464,Abdul Razzak Aboobakur,M,25.0,168.0,59.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
1927,1390,Azneem Ahmed,M,23.0,169.0,65.0,Maldives,MDV,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,385000.0,5.42e-05,57.697,76.401,2886170570.0,7496.546935,3.85e-05
1959,1416,Shamha Ahmed,F,18.0,150.0,42.0,Maldives,MDV,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,286000.0,4.67e-05,72.294,69.936,624337145.3,2182.997012,1.86e-05
3877,2701,Shifana Ali,F,20.0,153.0,52.0,Maldives,MDV,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,,0,312000.0,4.85e-05,67.51,73.418,1226829565.0,3932.146042,2.8e-05
4977,3448,Mohamed Amir,M,22.0,168.0,64.0,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
4978,3448,Mohamed Amir,M,26.0,168.0,64.0,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
4979,3448,Mohamed Amir,M,26.0,168.0,64.0,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
8021,5583,Ismail Mohamed Asif Waheed,M,20.0,162.0,52.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
8022,5583,Ismail Mohamed Asif Waheed,M,20.0,162.0,52.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
8023,5583,Ismail Mohamed Asif Waheed,M,20.0,162.0,52.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
49736,34222,Fariha Fathimath,F,13.0,153.0,39.0,Maldives,MDV,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,286000.0,4.67e-05,72.294,69.936,624337145.3,2182.997012,1.86e-05
66015,44960,Hussein Haleem,M,19.0,156.0,48.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
66016,44960,Hussein Haleem,M,23.0,156.0,48.0,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
66966,45584,Mohamed Hanim,M,22.0,163.0,56.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
75089,51182,Ahmed Husam,M,16.0,175.0,56.0,Maldives,MDV,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,0,385000.0,5.42e-05,57.697,76.401,2886170570.0,7496.546935,3.85e-05
75138,51226,Aminath Rouya Hussain,F,13.0,167.0,53.0,Maldives,MDV,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,312000.0,4.85e-05,67.51,73.418,1226829565.0,3932.146042,2.8e-05
75139,51226,Aminath Rouya Hussain,F,17.0,167.0,53.0,Maldives,MDV,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,362000.0,5.35e-05,62.447,75.648,2271646188.0,6275.265713,3.58e-05
76471,52057,Ahmed Imthiyaz,M,28.0,,,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
76472,52057,Ahmed Imthiyaz,M,28.0,,,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
77286,52581,Afa Ismail,F,18.0,157.0,45.0,Maldives,MDV,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,385000.0,5.42e-05,57.697,76.401,2886170570.0,7496.546935,3.85e-05
77287,52581,Afa Ismail,F,22.0,157.0,45.0,Maldives,MDV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,417492.0,5.61e-05,53.46,77.339,4224209599.0,10118.06118,5.57e-05
77302,52589,Naseer Ismail,M,22.0,164.0,57.0,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
77303,52589,Naseer Ismail,M,22.0,164.0,57.0,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
77304,52589,Naseer Ismail,M,26.0,164.0,57.0,Maldives,MDV,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 800 metres,,0,286000.0,4.67e-05,72.294,69.936,624337145.3,2182.997012,1.86e-05
111255,74461,Ibrahim Umar Manik,M,19.0,164.0,54.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
123755,82832,Hassan Mubah,M,16.0,175.0,52.0,Maldives,MDV,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,286000.0,4.67e-05,72.294,69.936,624337145.3,2182.997012,1.86e-05
123756,82832,Hassan Mubah,M,20.0,175.0,52.0,Maldives,MDV,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,312000.0,4.85e-05,67.51,73.418,1226829565.0,3932.146042,2.8e-05
126537,84609,Yaznee Nasheeda,F,18.0,154.0,49.0,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 800 metres,,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
126934,84863,Moosa Nazim,M,21.0,,,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
129480,86525,Ibrahim Nishwan,M,19.0,,,Maldives,MDV,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,417492.0,5.61e-05,53.46,77.339,4224209599.0,10118.06118,5.57e-05
148357,98963,Mohamed Rasheed,M,24.0,,,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
148358,98963,Mohamed Rasheed,M,24.0,,,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
148359,98964,Mohamed Ajfan Rasheed,M,22.0,165.0,55.0,Maldives,MDV,2012 Summer,2012,Summer,London,Badminton,Badminton Men's Singles,,0,385000.0,5.42e-05,57.697,76.401,2886170570.0,7496.546935,3.85e-05
149133,99542,Aishath Reesha,F,19.0,170.0,44.0,Maldives,MDV,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,,0,362000.0,5.35e-05,62.447,75.648,2271646188.0,6275.265713,3.58e-05
151192,101008,Aminath Rishtha,F,17.0,,,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
151467,101181,Hussain Riyaz,M,17.0,157.0,50.0,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
151468,101181,Hussain Riyaz,M,21.0,157.0,50.0,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
151469,101181,Hussain Riyaz,M,21.0,157.0,50.0,Maldives,MDV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,262000.0,4.52e-05,73.992,66.408,450382328.0,1719.016519,1.43e-05
155789,103958,Hassan Saaid,M,24.0,157.0,60.0,Maldives,MDV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,417492.0,5.61e-05,53.46,77.339,4224209599.0,10118.06118,5.57e-05
156138,104180,Sultan Saeed,M,28.0,162.0,61.0,Maldives,MDV,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,312000.0,4.85e-05,67.51,73.418,1226829565.0,3932.146042,2.8e-05
163266,109112,Ahmed Shageef,M,17.0,166.0,65.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,209885.0,4.11e-05,74.273,59.766,168610478.4,803.3469681,8.83e-06
163267,109112,Ahmed Shageef,M,21.0,166.0,65.0,Maldives,MDV,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,234000.0,4.29e-05,74.287,63.077,284853358.6,1217.322045,1.12e-05
