Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
695,500,Sdonoud Janvier Abouta,M,23.0,,,Mali,MLI,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,12391906.0,0.001925301,68.7,51.224,5444474268.0,439.3572924,0.000124303
9760,6766,Soungalo Bagayogo,M,27.0,177.0,78.0,Mali,MLI,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Heavyweight,,0,5780835.0,0.001635397,86.381,31.086,343771964.7,59.46752756,0.00014089
9761,6767,Fatoumata Bagayoko,F,20.0,178.0,,Mali,MLI,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,,0,14138216.0,0.002090294,65.597,54.193,9750822511.0,689.6784227,0.000153556
12366,8565,Cheick Oumar Bathily,M,21.0,,,Mali,MLI,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,12391906.0,0.001925301,68.7,51.224,5444474268.0,439.3572924,0.000124303
15842,10832,Mamadi Berthe,M,21.0,180.0,78.0,Mali,MLI,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,12391906.0,0.001925301,68.7,51.224,5444474268.0,439.3572924,0.000124303
25622,17562,Aminata Camara,F,22.0,,,Mali,MLI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,,0,9856810.0,0.00170163,74.025,46.658,2780422212.0,282.081344,8.8e-05
25628,17567,Hamadi Camara,M,30.0,182.0,80.0,Mali,MLI,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,,0,6147458.0,0.001601349,84.928,33.782,486617332.4,79.15748792,0.000129076
25630,17569,Kadiatou Camara,F,19.0,182.0,60.0,Mali,MLI,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,10967690.0,0.00179267,71.644,48.069,2954129566.0,269.3483829,8.79e-05
25631,17569,Kadiatou Camara,F,23.0,182.0,60.0,Mali,MLI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 200 metres,,0,12391906.0,0.001925301,68.7,51.224,5444474268.0,439.3572924,0.000124303
25632,17569,Kadiatou Camara,F,27.0,182.0,60.0,Mali,MLI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,,0,14138216.0,0.002090294,65.597,54.193,9750822511.0,689.6784227,0.000153556
25636,17573,Moussa Camara,M,24.0,,,Mali,MLI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,,0,16006670.0,0.002255286,62.421,56.122,12442747897.0,777.3476867,0.000166125
25638,17575,Ousmane Camara,M,24.0,,,Mali,MLI,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,,0,8180728.0,0.001602273,77.518,44.838,2169040742.0,265.1403081,0.000113562
25640,17578,Sara Camara,M,24.0,179.0,70.0,Mali,MLI,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,,0,5503752.0,0.001689199,87.714,29.097,,0,
34164,23429,Ismal Coulibaly,M,23.0,191.0,78.0,Mali,MLI,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Welterweight,,0,17994837.0,0.002417967,59.317,57.966,14034980334.0,779.9448438,0.000185158
34166,23431,Mamadou Coulibaly,M,,,,Mali,MLI,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Lightweight,,0,8868263.0,0.001625373,75.814,46.305,2830673389.0,319.191412,0.000111444
34167,23432,Mohamed Coulibaly,M,18.0,,,Mali,MLI,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,14138216.0,0.002090294,65.597,54.193,9750822511.0,689.6784227,0.000153556
34168,23433,Hadj Moussa Coulibaly,M,23.0,,,Mali,MLI,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,12391906.0,0.001925301,68.7,51.224,5444474268.0,439.3572924,0.000124303
34169,23434,Nagnouma Coulibaly,F,19.0,192.0,,Mali,MLI,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,,0,14138216.0,0.002090294,65.597,54.193,9750822511.0,689.6784227,0.000153556
34170,23435,Raymond Coulibaly,M,30.0,180.0,74.0,Mali,MLI,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Middleweight,,0,6147458.0,0.001601349,84.928,33.782,486617332.4,79.15748792,0.000129076
36077,24761,Abdul Kader Dabo,M,22.0,,,Mali,MLI,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,,0,8868263.0,0.001625373,75.814,46.305,2830673389.0,319.191412,0.000111444
36925,25308,Djnbou Dant,F,26.0,176.0,73.0,Mali,MLI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,0,17994837.0,0.002417967,59.317,57.966,14034980334.0,779.9448438,0.000185158
