Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1656,1166,Joanna Jane Agius,F,22.0,170.0,61.0,Malta,MLT,1980 Summer,1980,Summer,Moskva,Archery,Archery Women's Individual,,0,316645.0,7.14e-05,10.215,73.75343902,1250242108.0,3948.403127,0.000111629
1657,1166,Joanna Jane Agius,F,26.0,170.0,61.0,Malta,MLT,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Women's Individual,,0,330593.0,6.95e-05,10.18,74.65109756,1101828569.0,3332.885358,9.11e-05
1658,1166,Joanna Jane Agius,F,30.0,170.0,61.0,Malta,MLT,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Individual,,0,347325.0,6.8e-05,9.853,75.51317073,2019474244.0,5814.364771,0.000105732
1659,1167,Neil Agius,M,18.0,168.0,65.0,Malta,MLT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,,0,401268.0,6.23e-05,6.593,79.25365854,6062780269.0,15109.05497,0.00013842
8372,5850,Charlene Maria Attard,F,21.0,167.0,60.0,Malta,MLT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,409379.0,6.05e-05,5.705,79.63658537,8977149553.0,21928.70067,0.000141372
16290,11179,Eleanor Bezzina,F,39.0,154.0,,Malta,MLT,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",,0,436947.0,5.87e-05,4.471,81.79756098,10999047580.0,25172.49822,0.000145106
16291,11179,Eleanor Bezzina,F,39.0,154.0,,Malta,MLT,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,0,436947.0,5.87e-05,4.471,81.79756098,10999047580.0,25172.49822,0.000145106
16292,11180,Louis Bezzina,M,20.0,,,Malta,MLT,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,302450.0,7.88e-05,10.284,71.83626829,295118249.3,975.7588008,7.83e-05
16293,11181,Luke Bezzina,M,21.0,,,Malta,MLT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,436947.0,5.87e-05,4.471,81.79756098,10999047580.0,25172.49822,0.000145106
16294,11182,Marcon Bezzina,F,18.0,162.0,65.0,Malta,MLT,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Lightweight,,0,401268.0,6.23e-05,6.593,79.25365854,6062780269.0,15109.05497,0.00013842
16295,11182,Marcon Bezzina,F,22.0,162.0,65.0,Malta,MLT,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,,0,409379.0,6.05e-05,5.705,79.63658537,8977149553.0,21928.70067,0.000141372
17610,12084,Tanya-Gee Blake,F,33.0,167.0,58.0,Malta,MLT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,,0,401268.0,6.23e-05,6.593,79.25365854,6062780269.0,15109.05497,0.00013842
19109,13162,Mario Bonello,M,22.0,180.0,76.0,Malta,MLT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,379905.0,6.56e-05,8.819,77.14146341,3570271558.0,9397.800919,0.000112983
19110,13162,Mario Bonello,M,26.0,180.0,76.0,Malta,MLT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,390087.0,6.38e-05,7.632,78.2,4306192436.0,11039.05651,0.00012816
19491,13451,Diane Borg,F,21.0,162.0,60.0,Malta,MLT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,419455.0,5.91e-05,5.009,80.74634146,9203729739.0,21942.11474,0.00012288
23715,16214,John Bugeja,M,27.0,160.0,70.0,Malta,MLT,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,0,326550.0,0.000107623,9.871,68.59529268,,0,
23716,16214,John Bugeja,M,27.0,160.0,70.0,Malta,MLT,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,326550.0,0.000107623,9.871,68.59529268,,0,
25714,17645,Paul Camilleri,M,26.0,171.0,69.0,Malta,MLT,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,0,326550.0,0.000107623,9.871,68.59529268,,0,
25715,17645,Paul Camilleri,M,26.0,171.0,69.0,Malta,MLT,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,326550.0,0.000107623,9.871,68.59529268,,0,
27224,18672,Deirdre Susan Caruana (-Farrugia),F,19.0,160.0,54.0,Malta,MLT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,,0,367618.0,6.74e-05,9.389,76.35165854,3021910217.0,8220.245518,0.000118973
