Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
34576,23772,Mariana Cress,F,17.0,159.0,52.0,Marshall Islands,MHL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,53066.0,7.13e-06,27.06,,194497900.0,3665.207477,2.57e-06
34577,23773,Roman William Cress,M,31.0,,,Marshall Islands,MHL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,52218.0,7.72e-06,29.222,,152788700.0,2925.977632,2.41e-06
55104,37655,Colleen Furgeson,F,17.0,176.0,65.0,Marshall Islands,MHL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,53066.0,7.13e-06,27.06,,194497900.0,3665.207477,2.57e-06
57074,38898,Timi Hilly Garstang,M,25.0,175.0,73.0,Marshall Islands,MHL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,52663.0,7.42e-06,28.109,,185210500.0,3516.899911,2.47e-06
67734,46168,Giordan Harris,M,19.0,185.0,99.0,Marshall Islands,MHL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,52663.0,7.42e-06,28.109,,185210500.0,3516.899911,2.47e-06
67735,46168,Giordan Harris,M,23.0,185.0,99.0,Marshall Islands,MHL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,53066.0,7.13e-06,27.06,,194497900.0,3665.207477,2.57e-06
69386,47264,Jared J. Heine,M,23.0,179.0,70.0,Marshall Islands,MHL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,,0,52218.0,7.72e-06,29.222,,152788700.0,2925.977632,2.41e-06
70163,47815,"Ann-Marie ""Annie"" Hepler",F,16.0,167.0,68.0,Marshall Islands,MHL,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,52663.0,7.42e-06,28.109,,185210500.0,3516.899911,2.47e-06
79573,54016,Anju Jason,M,20.0,178.0,80.0,Marshall Islands,MHL,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,,0,52218.0,7.72e-06,29.222,,152788700.0,2925.977632,2.41e-06
89773,60681,Julianne Kirchner,F,16.0,138.0,54.0,Marshall Islands,MHL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,52218.0,7.72e-06,29.222,,152788700.0,2925.977632,2.41e-06
127630,85287,Haley Nicole Nemra,F,18.0,168.0,59.0,Marshall Islands,MHL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,,0,52218.0,7.72e-06,29.222,,152788700.0,2925.977632,2.41e-06
127631,85287,Haley Nicole Nemra,F,22.0,168.0,59.0,Marshall Islands,MHL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,,0,52663.0,7.42e-06,28.109,,185210500.0,3516.899911,2.47e-06
158846,105950,"Mathlynn Langtor ""Mattie"" Sasser",F,19.0,158.0,58.0,Marshall Islands,MHL,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,,0,53066.0,7.13e-06,27.06,,194497900.0,3665.207477,2.57e-06
165773,110658,Richson Simeon,M,18.0,155.0,78.0,Marshall Islands,MHL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,53066.0,7.13e-06,27.06,,194497900.0,3665.207477,2.57e-06
