Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1118,782,Samba Adama,M,32.0,175.0,82.0,Mauritania,MRT,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,1923002.0,0.000376638,60.218,57.919,957377507.5,497.8557004,5.01e-05
1119,782,Samba Adama,M,32.0,175.0,82.0,Mauritania,MRT,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,1923002.0,0.000376638,60.218,57.919,957377507.5,497.8557004,5.01e-05
2053,1474,Chrif Baba Aidara,M,24.0,177.0,70.0,Mauritania,MRT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,2141445.0,0.000392483,57.113,58.839,1464392416.0,683.8337739,5.77e-05
2054,1474,Chrif Baba Aidara,M,28.0,177.0,70.0,Mauritania,MRT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,2397245.0,0.000413848,53.951,59.587,1442598431.0,601.7734654,4.57e-05
9160,6377,Houleye Ba,F,24.0,170.0,55.0,Mauritania,MRT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,,0,4301018.0,0.000577928,39.554,63.238,4739298730.0,1101.901627,6.25e-05
25623,17563,Bounkou Camara,F,20.0,167.0,55.0,Mauritania,MRT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,3407541.0,0.000503795,44.697,61.461,3978425881.0,1167.535734,6.27e-05
40741,28159,Mamadou Diallo,M,,175.0,84.0,Mauritania,MRT,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,1720812.0,0.000361516,66.609,56.476,726937320.8,422.4385469,6.01e-05
41108,28434,Boubout Dieng,M,30.0,,,Mauritania,MRT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,2141445.0,0.000392483,57.113,58.839,1464392416.0,683.8337739,5.77e-05
41109,28435,Fatou Dieng,F,16.0,165.0,63.0,Mauritania,MRT,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,2709359.0,0.000442845,50.756,60.049,1293654175.0,477.4761023,3.85e-05
46578,32093,Jidou Ould Khaye El-Moctar,M,27.0,171.0,72.0,Mauritania,MRT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,0,3830239.0,0.000539668,42.0,62.492,5225533500.0,1364.283926,6.98e-05
46579,32093,Jidou Ould Khaye El-Moctar,M,31.0,171.0,72.0,Mauritania,MRT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,4301018.0,0.000577928,39.554,63.238,4739298730.0,1101.901627,6.25e-05
49220,33900,Aicha Bilal Fall,F,18.0,160.0,46.0,Mauritania,MRT,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,,0,3830239.0,0.000539668,42.0,62.492,5225533500.0,1364.283926,6.98e-05
49244,33914,Samba Fall,M,27.0,188.0,71.0,Mauritania,MRT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,2141445.0,0.000392483,57.113,58.839,1464392416.0,683.8337739,5.77e-05
83852,57087,Aminata Kamissoko,F,19.0,175.0,52.0,Mauritania,MRT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,3042823.0,0.000472756,47.625,60.539,1833444740.0,602.5472859,4.19e-05
134853,90106,Sidi Mohamed Ould Bidjel,M,18.0,163.0,69.0,Mauritania,MRT,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,2709359.0,0.000442845,50.756,60.049,1293654175.0,477.4761023,3.85e-05
134854,90107,Mohamed Ould Brahim,M,28.0,165.0,58.0,Mauritania,MRT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,2397245.0,0.000413848,53.951,59.587,1442598431.0,601.7734654,4.57e-05
134855,90108,Souleymane Ould Chebal Moctar,M,21.0,172.0,65.0,Mauritania,MRT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,,0,3407541.0,0.000503795,44.697,61.461,3978425881.0,1167.535734,6.27e-05
134856,90109,Youba Mohamed Ould H'Mede,M,28.0,179.0,67.0,Mauritania,MRT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,3042823.0,0.000472756,47.625,60.539,1833444740.0,602.5472859,4.19e-05
134857,90110,Salem Ould Habib,M,24.0,170.0,74.0,Mauritania,MRT,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,1923002.0,0.000376638,60.218,57.919,957377507.5,497.8557004,5.01e-05
134858,90111,Mohamed Ould Khalifa,M,20.0,180.0,70.0,Mauritania,MRT,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",,0,1923002.0,0.000376638,60.218,57.919,957377507.5,497.8557004,5.01e-05
134859,90111,Mohamed Ould Khalifa,M,24.0,180.0,70.0,Mauritania,MRT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,2141445.0,0.000392483,57.113,58.839,1464392416.0,683.8337739,5.77e-05
134860,90112,Mohamed El-Moctar Ould Khayar,M,21.0,170.0,53.0,Mauritania,MRT,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,1923002.0,0.000376638,60.218,57.919,957377507.5,497.8557004,5.01e-05
134861,90113,Noureddine Ould Mnira,M,24.0,175.0,68.0,Mauritania,MRT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,2141445.0,0.000392483,57.113,58.839,1464392416.0,683.8337739,5.77e-05
134862,90113,Noureddine Ould Mnira,M,28.0,175.0,68.0,Mauritania,MRT,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,2397245.0,0.000413848,53.951,59.587,1442598431.0,601.7734654,4.57e-05
134863,90114,Sid'Ahmed Ould Mohamedou,M,26.0,172.0,69.0,Mauritania,MRT,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",,0,2141445.0,0.000392483,57.113,58.839,1464392416.0,683.8337739,5.77e-05
134864,90114,Sid'Ahmed Ould Mohamedou,M,30.0,172.0,69.0,Mauritania,MRT,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",,0,2397245.0,0.000413848,53.951,59.587,1442598431.0,601.7734654,4.57e-05
158487,105717,Babacar Sar,M,25.0,172.0,100.0,Mauritania,MRT,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,1923002.0,0.000376638,60.218,57.919,957377507.5,497.8557004,5.01e-05
175700,117178,Oumar Samba Sy,M,24.0,185.0,90.0,Mauritania,MRT,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,1720812.0,0.000361516,66.609,56.476,726937320.8,422.4385469,6.01e-05
175701,117178,Oumar Samba Sy,M,28.0,185.0,90.0,Mauritania,MRT,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,1923002.0,0.000376638,60.218,57.919,957377507.5,497.8557004,5.01e-05
