Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1089,761,Gal Adam,M,22.0,190.0,80.0,Mauritius,MUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,,0,1244121.0,0.00018394,59.005,72.57073171,9990370016.0,8030.063005,0.000157329
3424,2408,Aurelie Alcindor,F,22.0,169.0,47.0,Mauritius,MUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,1263473.0,0.000169773,60.452,74.39487805,12168437744.0,9630.944028,0.000160533
5737,4058,Daniel Andr,M,18.0,178.0,70.0,Mauritius,MUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,1012221.0,0.000212652,57.988,68.23036585,1044928625.0,1032.312731,8.64e-05
5738,4058,Daniel Andr,M,18.0,178.0,70.0,Mauritius,MUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,1012221.0,0.000212652,57.988,68.23036585,1044928625.0,1032.312731,8.64e-05
5739,4058,Daniel Andr,M,18.0,178.0,70.0,Mauritius,MUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,1012221.0,0.000212652,57.988,68.23036585,1044928625.0,1032.312731,8.64e-05
7621,5335,Heather Ann Arseth,F,18.0,170.0,60.0,Mauritius,MUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,,0,1255882.0,0.00017695,59.836,73.86341463,11668685524.0,9291.227619,0.00015579
7622,5335,Heather Ann Arseth,F,22.0,170.0,60.0,Mauritius,MUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,,0,1263473.0,0.000169773,60.452,74.39487805,12168437744.0,9630.944028,0.000160533
8532,5962,Jean Fernando Augustin,M,20.0,180.0,75.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
13251,9140,Christine Bchard,F,21.0,180.0,68.0,Mauritius,MUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Discus Throw,,0,1012221.0,0.000212652,57.988,68.23036585,1044928625.0,1032.312731,8.64e-05
13252,9141,Dominique Bchard,M,20.0,185.0,85.0,Mauritius,MUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,,0,1012221.0,0.000212652,57.988,68.23036585,1044928625.0,1032.312731,8.64e-05
13253,9141,Dominique Bchard,M,20.0,185.0,85.0,Mauritius,MUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,,0,1012221.0,0.000212652,57.988,68.23036585,1044928625.0,1032.312731,8.64e-05
13546,9328,Stephan Beeharry,M,21.0,185.0,70.0,Mauritius,MUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
13547,9328,Stephan Beeharry,M,21.0,185.0,70.0,Mauritius-2,MUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
13548,9328,Stephan Beeharry,M,21.0,185.0,70.0,Mauritius,MUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Doubles,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
13549,9328,Stephan Beeharry,M,25.0,185.0,70.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Mixed Doubles,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
16335,11214,Ravi Bhollah,M,26.0,,94.0,Mauritius,MUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,1244121.0,0.00018394,59.005,72.57073171,9990370016.0,8030.063005,0.000157329
23535,16096,Stphane Buckland,M,23.0,172.0,70.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
23536,16096,Stphane Buckland,M,23.0,172.0,70.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
23537,16096,Stphane Buckland,M,23.0,172.0,70.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
23538,16096,Stphane Buckland,M,27.0,172.0,70.0,Mauritius,MUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,1221003.0,0.000189704,58.17,72.27674797,6385695187.0,5229.876738,0.000145792
23539,16096,Stphane Buckland,M,31.0,172.0,70.0,Mauritius,MUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,1244121.0,0.00018394,59.005,72.57073171,9990370016.0,8030.063005,0.000157329
24027,16421,Yehya Bundhun,M,35.0,175.0,72.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
24028,16421,Yehya Bundhun,M,39.0,175.0,72.0,Mauritius,MUS,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,,0,1221003.0,0.000189704,58.17,72.27674797,6385695187.0,5229.876738,0.000145792
27273,18706,David Carver,M,28.0,183.0,68.0,Mauritius,MUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,1263473.0,0.000169773,60.452,74.39487805,12168437744.0,9630.944028,0.000160533
27469,18835,Arnaud Casquette,M,18.0,175.0,70.0,Mauritius,MUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
27470,18835,Arnaud Casquette,M,22.0,175.0,70.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Long Jump,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
30046,20517,Priscilla Cherry,F,24.0,,,Mauritius,MUS,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Middleweight,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
30428,20763,Jonathan James Chimier,M,18.0,175.0,70.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
30429,20763,Jonathan James Chimier,M,22.0,175.0,70.0,Mauritius,MUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,,0,1221003.0,0.000189704,58.17,72.27674797,6385695187.0,5229.876738,0.000145792
31019,21134,Alain Choo Choy,M,19.0,190.0,55.0,Mauritius,MUS,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Singles,,0,1043239.0,0.000204328,56.731,68.86302439,2143484488.0,2054.643747,0.000112224
31020,21134,Alain Choo Choy,M,19.0,190.0,55.0,Mauritius,MUS,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,,0,1043239.0,0.000204328,56.731,68.86302439,2143484488.0,2054.643747,0.000112224
31470,21465,Ajay Chuttoo,M,30.0,165.0,65.0,Mauritius,MUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
31858,21743,Merven Clair,M,23.0,178.0,75.0,Mauritius,MUS,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,,0,1263473.0,0.000169773,60.452,74.39487805,12168437744.0,9630.944028,0.000160533
31895,21771,douard Clarisse,M,20.0,178.0,79.0,Mauritius,MUS,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Men's Singles,,0,1084441.0,0.000198756,56.347,70.05853659,3224267548.0,2973.206978,0.00012694
31896,21771,douard Clarisse,M,24.0,178.0,79.0,Mauritius,MUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
31897,21771,douard Clarisse,M,24.0,178.0,79.0,Mauritius-1,MUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
31898,21771,douard Clarisse,M,24.0,178.0,79.0,Mauritius,MUS,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Doubles,,0,1133996.0,0.000195767,56.839,70.32292683,4421943910.0,3899.435192,0.000139935
31899,21771,douard Clarisse,M,28.0,178.0,79.0,Mauritius,MUS,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Men's Doubles,,0,1186873.0,0.000193995,57.33,71.66341463,4582555125.0,3861.032415,0.000136386
