Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
123,82,Enrique Abaroa Martnez,M,26.0,183.0,75.0,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,,0,101719673.0,0.01662609,25.278,74.364,684000000000.0,6724.362946,0.020357143
141,98,Hctor Abaunza,M,30.0,169.0,75.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Individual",,1,48894019.0,0.013832106,42.589,60.544,29363632000.0,600.5567266,0.012034275
142,98,Hctor Abaunza,M,30.0,169.0,75.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Foil, Team",,1,48894019.0,0.013832106,42.589,60.544,29363632000.0,600.5567266,0.012034275
143,98,Hctor Abaunza,M,30.0,169.0,75.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",,1,48894019.0,0.013832106,42.589,60.544,29363632000.0,600.5567266,0.012034275
559,405,Jos Javier Abella Fanjul,M,22.0,176.0,66.0,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,127540423.0,0.017137611,20.483,77.118,1050000000000.0,8232.684002,0.013852243
887,614,Jos Manuel Abundis Sandoval,M,23.0,177.0,72.0,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,,0,95687452.0,0.016519003,26.33,73.158,397000000000.0,4148.924354,0.012563291
891,617,Cristobal Alejandro Aburto Tinoco,M,28.0,161.0,60.0,Mexico,MEX,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,,0,106995583.0,0.016623651,24.003,75.18,770000000000.0,7196.558759,0.017579909
952,654,Daniel Aceves Villagrn,M,19.0,158.0,52.0,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,0,75780605.0,0.015920354,31.563,68.385,176000000000.0,2322.493994,0.014545455
953,655,Roberto Aceves Villagrn,M,22.0,165.0,64.0,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",,0,75780605.0,0.015920354,31.563,68.385,176000000000.0,2322.493994,0.014545455
959,660,Karem Faride Achach Ramrez,F,25.0,169.0,60.0,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,127540423.0,0.017137611,20.483,77.118,1050000000000.0,8232.684002,0.013852243
1030,708,Alberto Enrique Acosta Palma,M,19.0,,,Mexico,MEX,1992 Summer,1992,Summer,Barcelona,Diving,Diving Men's Platform,,0,88828310.0,0.016280427,27.791,71.633,364000000000.0,4097.792697,0.014330709
1031,708,Alberto Enrique Acosta Palma,M,23.0,,,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Platform,,0,95687452.0,0.016519003,26.33,73.158,397000000000.0,4148.924354,0.012563291
1044,718,Luis Angel Acosta,M,20.0,180.0,73.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Backstroke,,1,48894019.0,0.013832106,42.589,60.544,29363632000.0,600.5567266,0.012034275
1045,718,Luis Angel Acosta,M,20.0,180.0,73.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Backstroke,,1,48894019.0,0.013832106,42.589,60.544,29363632000.0,600.5567266,0.012034275
1046,719,Luz Mercedes Acosta Valdez,F,27.0,164.0,63.0,Mexico,MEX,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Middleweight,,0,113661809.0,0.016804566,22.773,75.802,1100000000000.0,9677.832947,0.017322835
1047,719,Luz Mercedes Acosta Valdez,F,31.0,164.0,63.0,Mexico,MEX,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Middleweight,,0,120828307.0,0.017024304,21.593,76.412,1190000000000.0,9848.68554,0.01588785
1074,741,Ricardo Acua,M,25.0,,,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Extra-Lightweight,,0,95687452.0,0.016519003,26.33,73.158,397000000000.0,4148.924354,0.012563291
1090,763,Herman Adam Negrete,M,23.0,180.0,71.0,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,82083919.0,0.016076912,29.538,70.039,183000000000.0,2229.425717,0.009581152
1128,790,Mara Teresa Adames,F,18.0,160.0,52.0,Mexico,MEX,1960 Summer,1960,Summer,Roma,Diving,Diving Women's Springboard,,0,38174112.0,0.012581305,49.247,57.082,13056168000.0,342.0162858,0.00953005
1129,790,Mara Teresa Adames,F,18.0,160.0,52.0,Mexico,MEX,1960 Summer,1960,Summer,Roma,Diving,Diving Women's Platform,,0,38174112.0,0.012581305,49.247,57.082,13056168000.0,342.0162858,0.00953005
1752,1241,Enrique Aguilar Zermeno,M,26.0,157.0,54.0,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",,0,95687452.0,0.016519003,26.33,73.158,397000000000.0,4148.924354,0.012563291
1763,1248,Irving Jaime Aguilar Robles,M,26.0,173.0,64.0,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,95687452.0,0.016519003,26.33,73.158,397000000000.0,4148.924354,0.012563291
1772,1257,Maximiliano Aguilar Salazar,M,18.0,161.0,70.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Butterfly,,1,48894019.0,0.013832106,42.589,60.544,29363632000.0,600.5567266,0.012034275
1773,1257,Maximiliano Aguilar Salazar,M,22.0,161.0,70.0,Mexico,MEX,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,,0,55478151.0,0.014451481,39.468,62.334,45178120000.0,814.3407663,0.011983586
1774,1257,Maximiliano Aguilar Salazar,M,26.0,161.0,70.0,Mexico,MEX,1976 Summer,1976,Summer,Montreal,Water Polo,Water Polo Men's Water Polo,,0,62623763.0,0.015129615,36.509,64.474,89023915584.0,1421.56765,0.013866654
1786,1264,Wendy Aguilar,F,24.0,,,Mexico,MEX,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,,0,95687452.0,0.016519003,26.33,73.158,397000000000.0,4148.924354,0.012563291
1793,1271,Tomas Alonso Aguilera Armendariz,M,27.0,202.0,95.0,Mexico,MEX,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,,0,127540423.0,0.017137611,20.483,77.118,1050000000000.0,8232.684002,0.013852243
1798,1275,Carlos Aguirre,M,30.0,183.0,72.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,,1,48894019.0,0.013832106,42.589,60.544,29363632000.0,600.5567266,0.012034275
