Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3362,2365,Radu Albot,M,26.0,175.0,70.0,Moldova,MDA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Singles,,0,3552000.0,0.000477282,54.911,71.61,6749515655.0,1900.201479,8.9e-05
3908,2731,Nazim Alidjanov,M,25.0,168.0,59.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
7697,5378,Natalia Artic-Stratulat,F,29.0,178.0,83.0,Moldova,MDA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,,0,3552000.0,0.000477282,54.911,71.61,6749515655.0,1900.201479,8.9e-05
7707,5385,Dnil Artiomov,M,17.0,188.0,79.0,Moldova,MDA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,,0,3559519.0,0.000501524,55.143,70.577,7284686576.0,2046.536787,9.73e-05
10304,7129,Sergiu Balan,M,22.0,178.0,65.0,Moldova,MDA,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,3562045.0,0.000513955,55.114,69.616,5811604052.0,1631.535832,8.81e-05
14342,9774,Vasile Belous,M,23.0,180.0,69.0,Moldova,MDA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,,0,3559519.0,0.000501524,55.143,70.577,7284686576.0,2046.536787,9.73e-05
15187,10319,Oleg Berdos,M,25.0,175.0,68.0,Moldova,MDA,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",,0,3559519.0,0.000501524,55.143,70.577,7284686576.0,2046.536787,9.73e-05
17108,11729,Vladimir Birsa,M,24.0,,76.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middleweight,,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
17270,11862,Victor Bivol,M,23.0,168.0,73.0,Moldova,MDA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Lightweight,,0,3639592.0,0.000594892,54.197,67.006,1288429151.0,354.003732,3.83e-05
17271,11862,Victor Bivol,M,27.0,168.0,73.0,Moldova,MDA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Lightweight,,0,3603945.0,0.000559936,54.593,67.665,2598231467.0,720.940932,5.93e-05
18307,12617,Ruslan Boditeanu,M,23.0,167.0,63.0,Moldova,MDA,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Freestyle",,0,3639592.0,0.000594892,54.197,67.006,1288429151.0,354.003732,3.83e-05
18308,12617,Ruslan Boditeanu,M,27.0,167.0,63.0,Moldova,MDA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,3603945.0,0.000559936,54.593,67.665,2598231467.0,720.940932,5.93e-05
18925,13025,Olga Bolova,F,28.0,174.0,56.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's High Jump,,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
18926,13025,Olga Bolova,F,32.0,174.0,56.0,Moldova,MDA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's High Jump,,0,3639592.0,0.000594892,54.197,67.006,1288429151.0,354.003732,3.83e-05
18927,13025,Olga Bolova,F,36.0,174.0,56.0,Moldova,MDA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Triple Jump,,0,3603945.0,0.000559936,54.593,67.665,2598231467.0,720.940932,5.93e-05
19022,13115,Igor Bonciucov,M,23.0,178.0,66.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
19023,13115,Igor Bonciucov,M,23.0,178.0,66.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Men's Individual Time Trial,,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
21391,14723,Alexandru Bratan,M,23.0,180.0,99.0,Moldova,MDA,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Heavyweight,,0,3639592.0,0.000594892,54.197,67.006,1288429151.0,354.003732,3.83e-05
21392,14723,Alexandru Bratan,M,26.0,180.0,99.0,Moldova,MDA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Heavyweight,,0,3603945.0,0.000559936,54.593,67.665,2598231467.0,720.940932,5.93e-05
21393,14724,Eugen Bratan,M,23.0,176.0,94.0,Moldova,MDA,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,3603945.0,0.000559936,54.593,67.665,2598231467.0,720.940932,5.93e-05
21394,14724,Eugen Bratan,M,27.0,176.0,94.0,Moldova,MDA,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,3570108.0,0.00052783,54.989,68.671,6054806101.0,1695.972811,9.54e-05
21907,15025,Ilie Bria,M,16.0,178.0,64.0,Moldova,MDA,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint,,0,3585209.0,0.000543343,54.791,68.022,3408272498.0,950.6482043,6.63e-05
23554,16115,Ion Bucsa,M,29.0,169.0,65.0,Moldova,MDA,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,3652732.0,0.000613159,53.998,66.752,1639497207.0,448.8413623,5.24e-05
23555,16115,Ion Bucsa,M,29.0,169.0,65.0,Moldova,MDA,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 20 kilometres,,0,3652732.0,0.000613159,53.998,66.752,1639497207.0,448.8413623,5.24e-05
23556,16115,Ion Bucsa,M,33.0,169.0,65.0,Moldova,MDA,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,3623062.0,0.000577213,54.395,67.362,1661818168.0,458.6778167,4.8e-05
25671,17611,Alexandra Camencic,F,21.0,158.0,48.0,Moldova,MDA,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,0,3562045.0,0.000513955,55.114,69.616,5811604052.0,1631.535832,8.81e-05
25672,17611,Alexandra Camencic,F,25.0,158.0,48.0,Moldova,MDA,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,0,3556397.0,0.000489256,55.075,71.258,7983271111.0,2244.763763,0.000101054
25673,17611,Alexandra Camencic,F,25.0,158.0,48.0,Moldova,MDA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,0,3556397.0,0.000489256,55.075,71.258,7983271111.0,2244.763763,0.000101054
26328,18043,Andrei Capitanciuc,M,19.0,178.0,62.0,Moldova,MDA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,,0,3603945.0,0.000559936,54.593,67.665,2598231467.0,720.940932,5.93e-05
27984,19200,Maxim Cazmirciuc,M,25.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
27985,19200,Maxim Cazmirciuc,M,25.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
27986,19200,Maxim Cazmirciuc,M,25.0,,,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,,0,3667748.0,0.000633182,53.8,66.761,1695130457.0,462.1720077,5.36e-05
28014,19214,Nicolai Ceban,M,22.0,186.0,96.0,Moldova,MDA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,3570108.0,0.00052783,54.989,68.671,6054806101.0,1695.972811,9.54e-05
28015,19214,Nicolai Ceban,M,26.0,186.0,96.0,Moldova,MDA,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,3559519.0,0.000501524,55.143,70.577,7284686576.0,2046.536787,9.73e-05
28016,19214,Nicolai Ceban,M,30.0,186.0,96.0,Moldova,MDA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,3552000.0,0.000477282,54.911,71.61,6749515655.0,1900.201479,8.9e-05
28028,19223,Andrei Cecan,M,24.0,185.0,78.0,Moldova,MDA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,,0,3639592.0,0.000594892,54.197,67.006,1288429151.0,354.003732,3.83e-05
