Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1442,1010,Jean-Luc Adorno,M,23.0,180.0,64.0,Monaco,MCO,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,,0,28512.0,5.99e-06,0.0,,1037314956.0,36381.69739,8.57e-05
3651,2551,Arnaud Alessandria,M,20.0,185.0,92.0,Monaco,MCO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Downhill,,0,38132.0,5.25e-06,0.0,,,0,
3652,2551,Arnaud Alessandria,M,20.0,185.0,92.0,Monaco,MCO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,,0,38132.0,5.25e-06,0.0,,,0,
3653,2551,Arnaud Alessandria,M,20.0,185.0,92.0,Monaco,MCO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Combined,,0,38132.0,5.25e-06,0.0,,,0,
10990,7584,Herv Banti,M,35.0,180.0,71.0,Monaco,MCO,2012 Summer,2012,Summer,London,Triathlon,Triathlon Men's Olympic Distance,,0,37783.0,5.32e-06,0.0,,,0,
11628,8046,"Joseph ""Joe"" Barral",M,23.0,183.0,75.0,Monaco,MCO,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,23304.0,6.59e-06,0.0,,,0,
11629,8046,"Joseph ""Joe"" Barral",M,27.0,183.0,75.0,Monaco,MCO,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,24051.0,6.27e-06,0.0,,402460333.2,16733.6216,0.000106753
11630,8046,"Joseph ""Joe"" Barral",M,31.0,183.0,75.0,Monaco,MCO,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,25523.0,6.17e-06,0.0,,735339911.9,28810.87301,0.000114539
12466,8617,Ren Battaglia,M,24.0,164.0,78.0,Monaco,MCO,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,23236.0,7.13e-06,0.0,,,0,
15729,10723,Olivier Bernasconi,M,23.0,171.0,67.0,Monaco,MCO,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Featherweight,,0,32082.0,5.24e-06,0.0,,2647883820.0,82534.87376,7.88e-05
16034,10990,Eric-Louis Bessi,M,25.0,182.0,86.0,Monaco,MCO,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Middleweight,,0,28512.0,5.99e-06,0.0,,1037314956.0,36381.69739,8.57e-05
16035,10990,Eric-Louis Bessi,M,29.0,182.0,86.0,Monaco,MCO,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Middleweight,,0,29235.0,5.73e-06,0.0,,2000674667.0,68434.22839,0.000104747
