Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1373,954,Adiyasambuu Tsolmon,F,23.0,165.0,65.0,Mongolia,MNG,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,,0,3027398.0,0.000406792,27.177,69.287,11183458131.0,3694.082552,0.000147539
1483,1031,Aduuchiin Baatarkh,M,24.0,185.0,82.0,Mongolia,MNG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,1689622.0,0.000380744,47.917,56.936,,0,
1488,1033,Adyaagiin Jgdernamjil,M,27.0,154.0,52.0,Mongolia,MNG,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Flyweight,,0,1689622.0,0.000380744,47.917,56.936,,0,
4447,3088,Altangadasyn Sodnomdarjaa,M,24.0,169.0,69.0,Mongolia,MNG,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,000 metres",,0,2243502.0,0.000411188,43.058,60.67,1317611864.0,587.3013993,5.19e-05
4448,3088,Altangadasyn Sodnomdarjaa,M,24.0,169.0,69.0,Mongolia,MNG,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,500 metres",,0,2243502.0,0.000411188,43.058,60.67,1317611864.0,587.3013993,5.19e-05
5997,4235,Andryein Tamir,M,18.0,181.0,58.0,Mongolia,MNG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,2496832.0,0.000387927,38.557,64.671,1992066808.0,797.8377432,4.55e-05
5998,4235,Andryein Tamir,M,26.0,181.0,58.0,Mongolia,MNG,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,0,2814226.0,0.000396515,30.528,68.215,12292770631.0,4368.082247,0.000164122
8744,6125,Avirmediin Enkhee,M,27.0,161.0,62.0,Mongolia,MNG,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Featherweight, Freestyle",,0,2089714.0,0.00040929,43.2,59.655,3204461567.0,1533.445039,0.000167773
9193,6401,Baatarkhgiin Battsetseg,F,24.0,152.0,42.0,Mongolia,MNG,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",,0,2397436.0,0.000391861,42.867,62.869,1136896124.0,474.2133362,3.38e-05
9194,6402,Baatarskhiin Chinzorig,M,24.0,174.0,64.0,Mongolia,MNG,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,,0,3027398.0,0.000406792,27.177,69.287,11183458131.0,3694.082552,0.000147539
9655,6690,Badmaanyambuugiin Bat-Erdene,M,24.0,192.0,120.0,Mongolia,MNG,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Heavyweight,,0,2089714.0,0.00040929,43.2,59.655,3204461567.0,1533.445039,0.000167773
9656,6690,Badmaanyambuugiin Bat-Erdene,M,28.0,192.0,120.0,Mongolia,MNG,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Heavyweight,,0,2243502.0,0.000411188,43.058,60.67,1317611864.0,587.3013993,5.19e-05
9657,6690,Badmaanyambuugiin Bat-Erdene,M,36.0,192.0,120.0,Mongolia,MNG,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Heavyweight,,0,2397436.0,0.000391861,42.867,62.869,1136896124.0,474.2133362,3.38e-05
9664,6700,Badrakhyn Nyamjav,M,25.0,160.0,60.0,Mongolia,MNG,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Extra-Lightweight,,0,2089714.0,0.00040929,43.2,59.655,3204461567.0,1533.445039,0.000167773
9665,6701,Badrakhyn Odonchimeg,F,26.0,175.0,63.0,Mongolia,MNG,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Middleweight, Freestyle",,0,2628131.0,0.000388561,34.419,66.449,5623216449.0,2139.625631,8.86e-05
10178,7053,Bakhvain Buyadaa,M,26.0,172.0,63.0,Mongolia,MNG,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Lightweight,,0,1356670.0,0.000353398,53.509,56.192,,0,
10179,7053,Bakhvain Buyadaa,M,30.0,172.0,63.0,Mongolia,MNG,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Lightweight,,0,1520865.0,0.000367434,50.619,56.848,,0,
10426,7201,Baldangiin Sanjaa,M,27.0,170.0,63.0,Mongolia,MNG,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Featherweight, Freestyle",,0,1074514.0,0.000329787,58.415,51.771,,0,
10807,7478,Bandiin Altangerel,M,27.0,183.0,75.0,Mongolia,MNG,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Middleweight,,0,2243502.0,0.000411188,43.058,60.67,1317611864.0,587.3013993,5.19e-05
11009,7594,Banzragchiin Zundui,M,26.0,,,Mongolia,MNG,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,1074514.0,0.000329787,58.415,51.771,,0,
11010,7594,Banzragchiin Zundui,M,26.0,,,Mongolia,MNG,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,1074514.0,0.000329787,58.415,51.771,,0,
12305,8526,Bat-Ochiryn Ser-Od,M,22.0,169.0,61.0,Mongolia,MNG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,2496832.0,0.000387927,38.557,64.671,1992066808.0,797.8377432,4.55e-05
12306,8526,Bat-Ochiryn Ser-Od,M,26.0,169.0,61.0,Mongolia,MNG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,2628131.0,0.000388561,34.419,66.449,5623216449.0,2139.625631,8.86e-05
12307,8526,Bat-Ochiryn Ser-Od,M,30.0,169.0,61.0,Mongolia,MNG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,2814226.0,0.000396515,30.528,68.215,12292770631.0,4368.082247,0.000164122
12308,8526,Bat-Ochiryn Ser-Od,M,34.0,169.0,61.0,Mongolia,MNG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,3027398.0,0.000406792,27.177,69.287,11183458131.0,3694.082552,0.000147539
12334,8543,Batchuluuny BatOrgil,M,24.0,174.0,66.0,Mongolia,MNG,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,,0,2280496.0,0.000405433,43.149,61.015,925817092.2,405.9718115,3.33e-05
12335,8543,Batchuluuny BatOrgil,M,24.0,174.0,66.0,Mongolia,MNG,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",,0,2280496.0,0.000405433,43.149,61.015,925817092.2,405.9718115,3.33e-05
12361,8560,Batgereliin Mngntuyaa,F,19.0,163.0,51.0,Mongolia,MNG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,2628131.0,0.000388561,34.419,66.449,5623216449.0,2139.625631,8.86e-05
12405,8586,Batjargalyn Odkh,M,23.0,195.0,90.0,Mongolia,MNG,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Middleweight,,0,2397436.0,0.000391861,42.867,62.869,1136896124.0,474.2133362,3.38e-05
12406,8586,Batjargalyn Odkh,M,27.0,195.0,90.0,Mongolia,MNG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,,0,2496832.0,0.000387927,38.557,64.671,1992066808.0,797.8377432,4.55e-05
12458,8606,Batsaikhanyn Dlgn,M,29.0,179.0,72.0,Mongolia,MNG,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,3027398.0,0.000406792,27.177,69.287,11183458131.0,3694.082552,0.000147539
12464,8613,Batskhiin Khayankhyarvaa,M,21.0,168.0,68.0,Mongolia,MNG,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",,0,1689622.0,0.000380744,47.917,56.936,,0,
12465,8613,Batskhiin Khayankhyarvaa,M,21.0,168.0,68.0,Mongolia,MNG,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,1689622.0,0.000380744,47.917,56.936,,0,
12508,8643,Battulgyn Oktyabri,M,17.0,163.0,60.0,Mongolia,MNG,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,,0,2355590.0,0.000395417,43.331,62.063,1124440249.0,477.3497294,3.59e-05
