Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2178,1555,Geard Ajetovi,M,19.0,170.0,67.0,Serbia and Montenegro,MNE,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Welterweight,,0,604950.0,9.89e-05,41.456,73.228,984279598.3,1627.042893,2.93e-05
8656,6069,Vule Avdalovi,M,22.0,194.0,85.0,Serbia and Montenegro,MNE,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,,0,613353.0,9.53e-05,37.98,73.465,2073255525.0,3380.199534,4.73e-05
9348,6485,Nenad Babovi,M,28.0,186.0,74.0,Serbia and Montenegro,MNE,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,,0,613353.0,9.53e-05,37.98,73.465,2073255525.0,3380.199534,4.73e-05
11428,7874,Sonja Barjaktarovi,F,25.0,180.0,74.0,Montenegro,MNE,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Silver,0,620601.0,8.74e-05,36.543,76.089,4087724528.0,6586.719209,5.46e-05
11429,7874,Sonja Barjaktarovi,F,29.0,180.0,74.0,Montenegro,MNE,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,,0,622781.0,8.37e-05,35.777,77.116,4374127212.0,7023.539915,5.77e-05
12155,8401,Marko Baa,M,21.0,190.0,80.0,Serbia and Montenegro,MNE,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,,0,613353.0,9.53e-05,37.98,73.465,2073255525.0,3380.199534,4.73e-05
12359,8559,Vladimir Batez,M,26.0,192.0,85.0,Serbia and Montenegro,MNE,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Bronze,0,611003.0,0.00010548,45.588,73.846,,0,
12360,8559,Vladimir Batez,M,31.0,192.0,85.0,Serbia and Montenegro,MNE,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Gold,0,604950.0,9.89e-05,41.456,73.228,984279598.3,1627.042893,2.93e-05
15256,10354,Igor Bereti,M,23.0,186.0,79.0,Serbia and Montenegro,MNE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,,0,613353.0,9.53e-05,37.98,73.465,2073255525.0,3380.199534,4.73e-05
15566,10589,Miroslav Beri,M,23.0,198.0,92.0,Serbia and Montenegro,MNE,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Silver,0,611003.0,0.00010548,45.588,73.846,,0,
