Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
80,48,Abdelhak Aatakni,M,24.0,,64.0,Morocco,MAR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,,0,33333789.0,0.004696619,41.303,74.717,98266306615.0,2947.9489,0.001311967
206,154,Khadija Abbouda,F,40.0,165.0,57.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual,,0,31596855.0,0.004671503,43.335,73.097,92507257784.0,2927.73625,0.001456807
572,421,Mohamed Aberhoune,M,23.0,187.0,75.0,Morocco,MAR,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,33333789.0,0.004696619,41.303,74.717,98266306615.0,2947.9489,0.001311967
676,486,Zakaria Aboub,M,20.0,171.0,65.0,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,,0,28849621.0,0.004715473,46.665,68.722,38857251336.0,1346.889491,0.001156466
758,536,Lahcen Abrami,M,22.0,,,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,25791494.0,0.004727058,50.156,65.716,33711069431.0,1307.061523,0.001327207
958,659,Mustapha Achab,M,22.0,,,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,25791494.0,0.004727058,50.156,65.716,33711069431.0,1307.061523,0.001327207
974,673,Abdel Hak Achik,M,29.0,165.0,54.0,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze,0,23961820.0,0.004693149,53.057,63.536,25705296184.0,1072.760591,0.001345827
975,674,Mohamed Abdelhak Achik,M,23.0,174.0,57.0,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,0,23961820.0,0.004693149,53.057,63.536,25705296184.0,1072.760591,0.001345827
976,674,Mohamed Abdelhak Achik,M,27.0,174.0,57.0,Morocco,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze,0,25791494.0,0.004727058,50.156,65.716,33711069431.0,1307.061523,0.001327207
977,674,Mohamed Abdelhak Achik,M,31.0,174.0,57.0,Morocco,MAR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,,0,27460603.0,0.004740661,47.978,67.184,43161452678.0,1571.759101,0.001365869
1407,988,Mustapha Adnane,M,,168.0,77.5,Morocco,MAR,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,,0,12328532.0,0.004063199,70.643,48.458,2037150716.0,165.2387094,0.001486971
1408,988,Mustapha Adnane,M,,168.0,77.5,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,13857142.0,0.004253003,68.647,50.168,2798339769.0,201.9420577,0.001554633
1532,1073,Mustapha Afandi,M,26.0,175.0,74.0,Morocco,MAR,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,22037610.0,0.004629767,55.937,60.717,14824728528.0,672.7012833,0.001225184
1851,1317,Younes Al-Ahamdi,M,28.0,167.0,60.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,,0,30179285.0,0.004688884,45.356,70.873,59626020162.0,1975.726733,0.001361325
1852,1317,Younes Al-Ahamdi,M,32.0,167.0,60.0,Morocco,MAR,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,,0,31596855.0,0.004671503,43.335,73.097,92507257784.0,2927.73625,0.001456807
1867,1329,Lahcen Ahidous,M,19.0,188.0,84.0,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Middleweight,,0,13857142.0,0.004253003,68.647,50.168,2798339769.0,201.9420577,0.001554633
1868,1329,Lahcen Ahidous,M,23.0,188.0,84.0,Morocco,MAR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Middleweight,,0,15302947.0,0.0043292,66.581,51.808,3271415868.0,213.7768541,0.001340744
2113,1517,Hamid Ait Bighrade,M,28.0,164.0,54.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,,0,30179285.0,0.004688884,45.356,70.873,59626020162.0,1975.726733,0.001361325
2115,1519,Anasse At El Abdia,M,23.0,180.0,66.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",,0,35276786.0,0.004740143,39.315,75.821,104000000000.0,2948.114378,0.001372032
2116,1520,Miloud Ait Hammi,M,26.0,178.0,69.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Welterweight,,0,30179285.0,0.004688884,45.356,70.873,59626020162.0,1975.726733,0.001361325
2117,1521,"Amina ""Mina"" At Hammou",F,22.0,166.0,52.0,Morocco,MAR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 800 metres,,0,28849621.0,0.004715473,46.665,68.722,38857251336.0,1346.889491,0.001156466
2118,1521,"Amina ""Mina"" At Hammou",F,26.0,166.0,52.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,,0,30179285.0,0.004688884,45.356,70.873,59626020162.0,1975.726733,0.001361325
2119,1522,Seltana At Hammou,F,24.0,163.0,48.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,,0,30179285.0,0.004688884,45.356,70.873,59626020162.0,1975.726733,0.001361325
2121,1524,Ahmed Ait Moulay,M,19.0,,,Morocco,MAR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,22037610.0,0.004629767,55.937,60.717,14824728528.0,672.7012833,0.001225184
2122,1524,Ahmed Ait Moulay,M,19.0,,,Morocco,MAR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,,0,22037610.0,0.004629767,55.937,60.717,14824728528.0,672.7012833,0.001225184
2123,1524,Ahmed Ait Moulay,M,23.0,,,Morocco,MAR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,23961820.0,0.004693149,53.057,63.536,25705296184.0,1072.760591,0.001345827
2124,1524,Ahmed Ait Moulay,M,23.0,,,Morocco,MAR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,,0,23961820.0,0.004693149,53.057,63.536,25705296184.0,1072.760591,0.001345827
2126,1525,Zied Ait Ouagram,M,27.0,191.0,75.0,Morocco,MAR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,35276786.0,0.004740143,39.315,75.821,104000000000.0,2948.114378,0.001372032
2134,1528,Brahim Ait Sibrahim,M,17.0,,,Morocco,MAR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,22037610.0,0.004629767,55.937,60.717,14824728528.0,672.7012833,0.001225184
