Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3756,2609,Dias Alface,M,,,,Mozambique,MOZ,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 10,000 metres",,0,11848331.0,0.002669932,86.869,41.913,3526287037.0,297.6188829,0.000314847
5234,3617,Tnia Anacleto Grgorio,F,24.0,165.0,59.0,Mozambique,MOZ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,18067687.0,0.002953165,70.902,48.348,5016469069.0,277.6486591,0.0001493
6971,4863,Carolina Araujo,F,17.0,158.0,,Mozambique,MOZ,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,,0,13002553.0,0.002546673,77.848,42.327,2093571674.0,161.0123546,0.000109611
6972,4863,Carolina Araujo,F,17.0,158.0,,Mozambique,MOZ,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,,0,13002553.0,0.002546673,77.848,42.327,2093571674.0,161.0123546,0.000109611
6973,4863,Carolina Araujo,F,17.0,158.0,,Mozambique,MOZ,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke,,0,13002553.0,0.002546673,77.848,42.327,2093571674.0,161.0123546,0.000109611
8526,5955,Marlon August-Accio,M,34.0,180.0,81.0,Mozambique,MOZ,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,,0,28829476.0,0.003873818,67.492,58.311,11014858592.0,382.0693304,0.000145315
25612,17556,Chakyl Pfiffer Camal,M,18.0,186.0,80.0,Mozambique,MOZ,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,22846758.0,0.003377826,69.452,53.459,11494837053.0,503.1277109,0.000181021
25613,17556,Chakyl Pfiffer Camal,M,22.0,186.0,80.0,Mozambique,MOZ,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,25676606.0,0.003617748,68.583,55.878,14534278446.0,566.0513872,0.000194049
28607,19619,Mussa Chamaune,M,23.0,172.0,66.0,Mozambique,MOZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",,0,28829476.0,0.003873818,67.492,58.311,11014858592.0,382.0693304,0.000145315
28608,19619,Mussa Chamaune,M,23.0,172.0,66.0,Mozambique,MOZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,0,28829476.0,0.003873818,67.492,58.311,11014858592.0,382.0693304,0.000145315
30596,20881,Domingos Chivavele,M,18.0,170.0,69.0,Mozambique,MOZ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,,0,12853780.0,0.002700384,82.828,41.61,3376172170.0,262.6598689,0.000279022
33961,23281,Eduardo Alberto Gomes Costa,M,25.0,,,Mozambique,MOZ,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,11848331.0,0.002669932,86.869,41.913,3526287037.0,297.6188829,0.000314847
34238,23511,Kurt Leonel da Rocha Couto,M,19.0,180.0,74.0,Mozambique,MOZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,,0,20312705.0,0.003155937,70.182,50.663,6831808930.0,336.3318145,0.000155977
34239,23511,Kurt Leonel da Rocha Couto,M,27.0,180.0,74.0,Mozambique,MOZ,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,,0,25676606.0,0.003617748,68.583,55.878,14534278446.0,566.0513872,0.000194049
34240,23511,Kurt Leonel da Rocha Couto,M,31.0,180.0,74.0,Mozambique,MOZ,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,,0,28829476.0,0.003873818,67.492,58.311,11014858592.0,382.0693304,0.000145315
34467,23699,Stelio Newton Craveirinha,M,30.0,,,Mozambique,MOZ,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,,0,11848331.0,0.002669932,86.869,41.913,3526287037.0,297.6188829,0.000314847
34983,24054,Joaquim Pedro Cruz,M,13.0,170.0,61.0,Mozambique,MOZ,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Backstroke,,0,11848331.0,0.002669932,86.869,41.913,3526287037.0,297.6188829,0.000314847
34984,24054,Joaquim Pedro Cruz,M,17.0,170.0,61.0,Mozambique,MOZ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,,0,12853780.0,0.002700384,82.828,41.61,3376172170.0,262.6598689,0.000279022
34985,24054,Joaquim Pedro Cruz,M,17.0,170.0,61.0,Mozambique,MOZ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,,0,12853780.0,0.002700384,82.828,41.61,3376172170.0,262.6598689,0.000279022
36751,25206,Vicente Hibrahim Daniel,M,28.0,167.0,65.0,Mozambique,MOZ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,12853780.0,0.002700384,82.828,41.61,3376172170.0,262.6598689,0.000279022
