Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
8567,5992,Aung Aye Aye,F,27.0,173.0,75.0,Myanmar,MMR,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Heavyweight,,0,50986514.0,0.007183829,67.531,65.805,59937797559.0,1175.561788,0.000800238
8919,6228,U Aye Maung Gyi,M,22.0,167.0,76.0,Myanmar,MMR,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,27680144.0,0.007210389,76.394,51.818,,0,
8920,6229,U Aye Maung Lay,M,18.0,167.0,58.0,Myanmar,MMR,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,27680144.0,0.007210389,76.394,51.818,,0,
12836,8852,Bawa Maung,M,20.0,167.0,51.0,Myanmar,MMR,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Flyweight,,0,22867741.0,0.007018517,79.387,45.95,,0,
30043,20513,Cherry,F,26.0,162.0,56.0,Myanmar,MMR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres Hurdles,,0,46095462.0,0.007534308,73.032,62.133,8905066164.0,193.1874805,0.000265032
30555,20855,Chit Mya,M,24.0,162.0,56.0,Myanmar,MMR,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Bantamweight,,0,22867741.0,0.007018517,79.387,45.95,,0,
34446,23677,"James ""Jimmy"" Crampton",M,23.0,170.0,51.0,Myanmar,MMR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,,0,27680144.0,0.007210389,76.394,51.818,,0,
34447,23677,"James ""Jimmy"" Crampton",M,23.0,170.0,51.0,Myanmar,MMR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,27680144.0,0.007210389,76.394,51.818,,0,
65172,44355,Gyi Aung Maung,M,26.0,157.0,52.0,Myanmar,MMR,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Flyweight,,0,27680144.0,0.007210389,76.394,51.818,,0,
71690,48889,Hla Nyunt,M,22.0,160.0,50.0,Myanmar,MMR,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Flyweight,,0,20986123.0,0.006916541,80.774,42.714,,0,
71691,48890,Hla Thein,M,24.0,168.0,55.0,Myanmar,MMR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Marathon,,0,25128116.0,0.007108738,77.927,49.751,,0,
71692,48890,Hla Thein,M,28.0,168.0,55.0,Myanmar,MMR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Marathon,,0,27680144.0,0.007210389,76.394,51.818,,0,
74103,50554,Htay Myint,M,43.0,163.0,50.0,Myanmar,MMR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,,0,43793310.0,0.007560258,74.227,60.796,,0,
74104,50555,Htwe San Yu,F,29.0,167.0,57.0,Myanmar,MMR,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,,0,52885223.0,0.007106189,65.35,66.612,63225097051.0,1195.515372,0.000834104
87321,59298,Khin Khin Htwe,F,25.0,164.0,44.0,Myanmar,MMR,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",,0,39362142.0,0.007709448,75.682,58.018,,0,
