Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1456,1018,Vera Adrian,F,22.0,168.0,57.0,Namibia,NAM,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",,0,2479713.0,0.000333199,52.375,64.388,10947880690.0,4414.978947,0.000144431
2020,1445,Gaby Diana Ahrens,F,27.0,169.0,60.0,Namibia,NAM,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Women's Trap,,0,2106375.0,0.000311421,60.403,55.697,8486721917.0,4029.065061,0.000133649
2021,1445,Gaby Diana Ahrens,F,31.0,169.0,60.0,Namibia,NAM,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Trap,,0,2263934.0,0.000318981,56.334,60.815,13016272899.0,5749.404753,0.000173782
2022,1445,Gaby Diana Ahrens,F,35.0,169.0,60.0,Namibia,NAM,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Trap,,0,2479713.0,0.000333199,52.375,64.388,10947880690.0,4414.978947,0.000144431
4892,3386,Paulus Natangwe Ambunda,M,24.0,150.0,51.0,Namibia,NAM,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Flyweight,,0,2009228.0,0.000312169,64.334,53.48,6606858786.0,3288.257373,0.000150842
7310,5127,Alina Armas,F,32.0,166.0,53.0,Namibia,NAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,0,2479713.0,0.000333199,52.375,64.388,10947880690.0,4414.978947,0.000144431
12260,8491,Marc Bassingthwaighte,M,28.0,178.0,68.0,Namibia,NAM,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,2263934.0,0.000318981,56.334,60.815,13016272899.0,5749.404753,0.000173782
14847,10097,Joseph Benhard,M,24.0,163.0,48.0,Namibia,NAM,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,,0,1706489.0,0.0002946,69.684,59.407,3945340776.0,2311.96379,0.000124853
34468,23700,Dan Craven,M,29.0,183.0,76.0,Namibia,NAM,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",,0,2263934.0,0.000318981,56.334,60.815,13016272899.0,5749.404753,0.000173782
34469,23700,Dan Craven,M,33.0,183.0,76.0,Namibia,NAM,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",,0,2479713.0,0.000333199,52.375,64.388,10947880690.0,4414.978947,0.000144431
34470,23700,Dan Craven,M,33.0,183.0,76.0,Namibia,NAM,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial,,0,2479713.0,0.000333199,52.375,64.388,10947880690.0,4414.978947,0.000144431
36178,24843,Monica Anja Dahl (-Bhm),F,17.0,,,Namibia,NAM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 50 metres Freestyle,,0,1513721.0,0.000277434,71.664,61.518,3448326858.0,2278.046521,0.000135761
36179,24843,Monica Anja Dahl (-Bhm),F,17.0,,,Namibia,NAM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Freestyle,,0,1513721.0,0.000277434,71.664,61.518,3448326858.0,2278.046521,0.000135761
36180,24843,Monica Anja Dahl (-Bhm),F,17.0,,,Namibia,NAM,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,,0,1513721.0,0.000277434,71.664,61.518,3448326858.0,2278.046521,0.000135761
36181,24843,Monica Anja Dahl (-Bhm),F,21.0,,,Namibia,NAM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,,0,1706489.0,0.0002946,69.684,59.407,3945340776.0,2311.96379,0.000124853
36182,24843,Monica Anja Dahl (-Bhm),F,21.0,,,Namibia,NAM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Freestyle,,0,1706489.0,0.0002946,69.684,59.407,3945340776.0,2311.96379,0.000124853
53962,36933,"Frank ""Frankie"" Fredericks",M,24.0,180.0,73.0,Namibia,NAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,Silver,0,1513721.0,0.000277434,71.664,61.518,3448326858.0,2278.046521,0.000135761
53963,36933,"Frank ""Frankie"" Fredericks",M,24.0,180.0,73.0,Namibia,NAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,Silver,0,1513721.0,0.000277434,71.664,61.518,3448326858.0,2278.046521,0.000135761
53964,36933,"Frank ""Frankie"" Fredericks",M,28.0,180.0,73.0,Namibia,NAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Silver,0,1706489.0,0.0002946,69.684,59.407,3945340776.0,2311.96379,0.000124853
53965,36933,"Frank ""Frankie"" Fredericks",M,28.0,180.0,73.0,Namibia,NAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,Silver,0,1706489.0,0.0002946,69.684,59.407,3945340776.0,2311.96379,0.000124853
53966,36933,"Frank ""Frankie"" Fredericks",M,36.0,180.0,73.0,Namibia,NAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,2009228.0,0.000312169,64.334,53.48,6606858786.0,3288.257373,0.000150842
53967,36933,"Frank ""Frankie"" Fredericks",M,36.0,180.0,73.0,Namibia,NAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,2009228.0,0.000312169,64.334,53.48,6606858786.0,3288.257373,0.000150842
57829,39407,Gharde Geldenhuys,F,18.0,161.0,46.0,Namibia,NAM,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,,0,1899257.0,0.000310434,67.627,55.608,3908661518.0,2057.995057,0.000116329
57830,39407,Gharde Geldenhuys,F,18.0,161.0,46.0,Namibia,NAM,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,,0,1899257.0,0.000310434,67.627,55.608,3908661518.0,2057.995057,0.000116329
57831,39407,Gharde Geldenhuys,F,18.0,161.0,46.0,Namibia,NAM,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Horse Vault,,0,1899257.0,0.000310434,67.627,55.608,3908661518.0,2057.995057,0.000116329
57832,39407,Gharde Geldenhuys,F,18.0,161.0,46.0,Namibia,NAM,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,,0,1899257.0,0.000310434,67.627,55.608,3908661518.0,2057.995057,0.000116329
57833,39407,Gharde Geldenhuys,F,18.0,161.0,46.0,Namibia,NAM,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,,0,1899257.0,0.000310434,67.627,55.608,3908661518.0,2057.995057,0.000116329
66640,45403,Mathias Tulyoongeleni Hamunyela,M,23.0,160.0,49.0,Namibia,NAM,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Flyweight,,0,2479713.0,0.000333199,52.375,64.388,10947880690.0,4414.978947,0.000144431
70723,48214,Tjipekapora Herunga,F,24.0,167.0,51.0,Namibia,NAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,2263934.0,0.000318981,56.334,60.815,13016272899.0,5749.404753,0.000173782
70970,48377,"Johannes Frederick ""Mannie"" Heymans",M,29.0,170.0,65.0,Namibia,NAM,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,1899257.0,0.000310434,67.627,55.608,3908661518.0,2057.995057,0.000116329
