Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
21575,14837,Elson Viney-Bartel Brechtefeld,M,22.0,155.0,56.0,Nauru,NRU,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,,0,13049.0,1.75e-06,0.0,,102060129.6,7821.298919,1.35e-06
40274,27884,Itte Detenamo,M,17.0,175.0,148.0,Nauru,NRU,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,10113.0,1.57e-06,0.0,,,0,
40275,27884,Itte Detenamo,M,21.0,175.0,148.0,Nauru,NRU,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,10047.0,1.49e-06,0.0,,39333572.32,3914.956934,6.19e-07
40276,27884,Itte Detenamo,M,25.0,175.0,148.0,Nauru,NRU,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,10279.0,1.45e-06,0.0,,103811958.8,10099.42201,1.39e-06
40277,27885,Quincy Detenamo,M,17.0,,76.0,Nauru,NRU,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middleweight,,0,10033.0,1.73e-06,0.0,,,0,
43212,29770,Sled Dowabobo,M,29.0,174.0,73.0,Nauru,NRU,2012 Summer,2012,Summer,London,Judo,Judo Men's Lightweight,,0,10279.0,1.45e-06,0.0,,103811958.8,10099.42201,1.39e-06
56344,38441,Gerard Garabwan,M,25.0,,91.0,Nauru,NRU,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,10033.0,1.73e-06,0.0,,,0,
139283,93087,Sheeva Peo (-Cook),F,23.0,170.0,90.0,Nauru,NRU,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Super-Heavyweight,,0,10042.0,1.64e-06,0.0,,,0,
140353,93800,Yukio Peter,M,20.0,160.0,69.0,Nauru,NRU,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Lightweight,,0,10113.0,1.57e-06,0.0,,,0,
169259,112970,Reanna Maricha Solomon,F,22.0,165.0,136.0,Nauru,NRU,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Super-Heavyweight,,0,10113.0,1.57e-06,0.0,,,0,
172249,114977,Marcus Stephen,M,26.0,160.0,60.5,Nauru,NRU,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Bantamweight,,0,10033.0,1.73e-06,0.0,,,0,
172250,114977,Marcus Stephen,M,30.0,160.0,60.5,Nauru,NRU,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Featherweight,,0,10042.0,1.64e-06,0.0,,,0,
184996,123138,Ovini Uera,M,28.0,170.0,90.0,Nauru,NRU,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,,0,13049.0,1.75e-06,0.0,,102060129.6,7821.298919,1.35e-06
