Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1351,939,Kamal Bahadur Adhikari,M,31.0,163.0,69.0,Nepal,NPL,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Lightweight,,0,26475859.0,0.003914378,83.85,67.036,12545438605.0,473.8444409,0.000197566
9877,6866,Sangina Baidya,F,29.0,161.0,48.0,Nepal,NPL,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,,0,25309449.0,0.003932269,85.129,64.973,7273938315.0,287.4001056,0.000166072
12233,8469,Arjun Kumar Basnet,M,32.0,171.0,58.0,Nepal,NPL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,26475859.0,0.003914378,83.85,67.036,12545438605.0,473.8444409,0.000197566
12234,8470,Krishna Bahadur Basnet,M,29.0,168.0,58.0,Nepal,NPL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,17873667.0,0.003500727,91.762,52.561,3487009748.0,195.0920171,0.000182566
12235,8471,Laxman Basnet,M,23.0,162.0,50.0,Nepal,NPL,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",,0,14902163.0,0.00335809,93.909,46.562,1945916583.0,130.5794725,0.000173743
16303,11191,Rajendra Bahadur Bhandari,M,28.0,174.0,61.0,Nepal,NPL,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",,0,25309449.0,0.003932269,85.129,64.973,7273938315.0,287.4001056,0.000166072
16316,11200,Damber Dutta Bhatta,M,,164.0,47.0,Nepal,NPL,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,,0,17873667.0,0.003500727,91.762,52.561,3487009748.0,195.0920171,0.000182566
16320,11203,Saraswati Bhattarai,F,22.0,163.0,46.0,Nepal,NPL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",,0,28982771.0,0.003894416,81.005,70.253,21131983246.0,729.1222515,0.000278786
17223,11823,Deepak Bista,M,32.0,171.0,80.0,Nepal,NPL,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,,0,26475859.0,0.003914378,83.85,67.036,12545438605.0,473.8444409,0.000197566
18467,12720,Tika Bahadur Bogati,M,25.0,164.0,56.0,Nepal,NPL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,17873667.0,0.003500727,91.762,52.561,3487009748.0,195.0920171,0.000182566
18468,12720,Tika Bahadur Bogati,M,33.0,164.0,56.0,Nepal,NPL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,21903379.0,0.00378129,88.633,59.341,4521580381.0,206.4330066,0.000143088
18609,12800,Gyan Bahadur Bohara,M,31.0,155.0,54.0,Nepal,NPL,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 5,000 metres",,0,23740911.0,0.003880454,86.569,62.386,5494252208.0,231.4255004,0.000163519
