Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1463,1021,"Eduardo ""Bto"" Adriana",M,35.0,176.0,120.0,Netherlands Antilles,SXM,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Heavyweight,,0,,,0.0,,,#DIV/0!,
1464,1021,"Eduardo ""Bto"" Adriana",M,47.0,176.0,120.0,Netherlands Antilles,SXM,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,,,0.0,,,#DIV/0!,
6342,4458,Myrna Crescenda Anselma Plate,F,32.0,167.0,52.0,Netherlands Antilles,SXM,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Individual",,0,,,0.0,,,#DIV/0!,
13830,9477,Petra Bekaert,F,16.0,176.0,60.0,Netherlands Antilles,SXM,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,,0,,,0.0,,,#DIV/0!,
20602,14182,Jan Adolf Boutmy Prins,M,33.0,180.0,72.0,Netherlands Antilles,SXM,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Individual",,0,,,0.0,,,#DIV/0!,
20603,14182,Jan Adolf Boutmy Prins,M,37.0,180.0,72.0,Netherlands Antilles,SXM,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Individual",,0,,,0.0,,,#DIV/0!,
26934,18463,"Albertus ""Bart"" Carpentier Alting",M,33.0,,,Netherlands Antilles,SXM,1988 Winter,1988,Winter,Calgary,Luge,Luge Men's Singles,,0,,,0.0,,,#DIV/0!,
26935,18463,"Albertus ""Bart"" Carpentier Alting",M,33.0,,,Netherlands Antilles,SXM,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Two,,0,,,0.0,,,#DIV/0!,
26936,18463,"Albertus ""Bart"" Carpentier Alting",M,37.0,,,Netherlands Antilles,SXM,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,,0,,,0.0,,,#DIV/0!,
34725,23875,Esther Croes,F,18.0,,,Netherlands Antilles,SXM,1984 Summer,1984,Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Solo,,0,,,0.0,,,#DIV/0!,
34726,23875,Esther Croes,F,18.0,,,Netherlands Antilles,SXM,1984 Summer,1984,Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,,,0.0,,,#DIV/0!,
35520,24373,Hector Publio Curiel,M,23.0,167.0,55.5,Netherlands Antilles,SXM,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Bantamweight,,0,,,0.0,,,#DIV/0!,
35521,24373,Hector Publio Curiel,M,27.0,167.0,55.5,Netherlands Antilles,SXM,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Bantamweight,,0,,,0.0,,,#DIV/0!,
36948,25327,Michel Daou,M,31.0,171.0,87.0,Netherlands Antilles,SXM,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Trap,,0,,,0.0,,,#DIV/0!,
36949,25327,Michel Daou,M,35.0,171.0,87.0,Netherlands Antilles,SXM,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,,0,,,0.0,,,#DIV/0!,
36950,25327,Michel Daou,M,35.0,171.0,87.0,Netherlands Antilles,SXM,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Double Trap,,0,,,0.0,,,#DIV/0!,
36951,25327,Michel Daou,M,39.0,171.0,87.0,Netherlands Antilles,SXM,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Double Trap,,0,30519.0,4.99e-06,0.0,,,0,
37265,25541,Rodion Rosko Davelaar,M,18.0,183.0,81.0,Netherlands Antilles,SXM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,40458.0,5.98e-06,0.0,74.53658537,,0,
39805,27536,Dudley den Dulk,M,20.0,180.0,82.0,Netherlands Antilles,SXM,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,,0,,,0.0,,,#DIV/0!,
43061,29677,Caimin Christian Douglas,M,23.0,179.0,82.0,Netherlands Antilles,SXM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,30519.0,4.99e-06,0.0,,,0,
43493,29956,Bart Drechsel,M,35.0,,,Netherlands Antilles,SXM,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Two,,0,,,0.0,,,#DIV/0!,
46829,32261,Philip Yousef Elhage,M,26.0,172.0,65.0,Netherlands Antilles,SXM,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Pistol, 10 metres",,0,40458.0,5.98e-06,0.0,74.53658537,,0,
49617,34137,Evelyn Farrell,F,24.0,165.0,61.0,Netherlands Antilles,SXM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,,0,,,0.0,,,#DIV/0!,
50231,34544,Jaime Antonio Felipa,M,32.0,,,Netherlands Antilles,SXM,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Heavyweight,,0,,,0.0,,,#DIV/0!,
50580,34732,Ramiro Fermin,M,20.0,180.0,89.0,Netherlands Antilles,SXM,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,,,0.0,,,#DIV/0!,
52406,35912,Jos Flores,M,29.0,165.0,88.0,Netherlands Antilles,SXM,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,,,0.0,,,#DIV/0!,
60146,41007,Geronimo Goeloe,M,22.0,186.0,77.0,Netherlands Antilles,SXM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,35316.0,5.49e-06,0.0,,,0,
69171,47125,Raymond Alfred Heerenveen,M,27.0,176.0,62.0,Netherlands Antilles,SXM,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,,0,,,0.0,,,#DIV/0!,
71390,48685,Howard Xavier Hinds,M,18.0,184.0,87.0,Netherlands Antilles,SXM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,0,,,0.0,,,#DIV/0!,
71391,48685,Howard Xavier Hinds,M,22.0,184.0,87.0,Netherlands Antilles,SXM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,30519.0,4.99e-06,0.0,,,0,
