Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2,5,Christine Jacoba Aaftink,F,21.0,185.0,82.0,Netherlands,NLD,1988 Winter,1988,Winter,Calgary,Speed Skating,Speed Skating Women's 500 metres,,0,14760094.0,0.002890904,32.094,76.8902439,259000000000.0,17547.31372,0.013560209
3,5,Christine Jacoba Aaftink,F,21.0,185.0,82.0,Netherlands,NLD,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Women's 1,000 metres",,0,14760094.0,0.002890904,32.094,76.8902439,259000000000.0,17547.31372,0.013560209
4,5,Christine Jacoba Aaftink,F,25.0,185.0,82.0,Netherlands,NLD,1992 Winter,1992,Winter,Albertville,Speed Skating,Speed Skating Women's 500 metres,,0,15184166.0,0.00278295,29.777,77.21707317,358000000000.0,23577.19219,0.014094488
5,5,Christine Jacoba Aaftink,F,25.0,185.0,82.0,Netherlands,NLD,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Women's 1,000 metres",,0,15184166.0,0.00278295,29.777,77.21707317,358000000000.0,23577.19219,0.014094488
6,5,Christine Jacoba Aaftink,F,27.0,185.0,82.0,Netherlands,NLD,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Women's 500 metres,,0,15382838.0,0.002734804,28.038,77.37512195,374000000000.0,24312.80886,0.013453237
7,5,Christine Jacoba Aaftink,F,27.0,185.0,82.0,Netherlands,NLD,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres",,0,15382838.0,0.002734804,28.038,77.37512195,374000000000.0,24312.80886,0.013453237
58,27,Johan Aantjes,M,26.0,,,Netherlands,NLD,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,,0,14424211.0,0.003030308,33.681,76.23317073,142000000000.0,9844.559262,0.011735537
59,29,Willemien Aardenburg,F,22.0,,,Netherlands,NLD,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze,0,14760094.0,0.002890904,32.094,76.8902439,259000000000.0,17547.31372,0.013560209
60,30,Pepijn Aardewijn,M,26.0,189.0,72.0,Netherlands,NLD,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver,0,15530498.0,0.002681107,26.36,77.43560976,446000000000.0,28717.68825,0.014113924
61,30,Pepijn Aardewijn,M,30.0,189.0,72.0,Netherlands,NLD,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,,0,15925513.0,0.002603027,23.205,77.98780488,413000000000.0,25933.23053,0.012291667
64,36,Stefan Remco Aartsen,M,21.0,194.0,78.0,Netherlands,NLD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,,0,15530498.0,0.002681107,26.36,77.43560976,446000000000.0,28717.68825,0.014113924
65,36,Stefan Remco Aartsen,M,21.0,194.0,78.0,Netherlands,NLD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,,0,15530498.0,0.002681107,26.36,77.43560976,446000000000.0,28717.68825,0.014113924
66,36,Stefan Remco Aartsen,M,21.0,194.0,78.0,Netherlands,NLD,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,15530498.0,0.002681107,26.36,77.43560976,446000000000.0,28717.68825,0.014113924
67,36,Stefan Remco Aartsen,M,25.0,194.0,78.0,Netherlands,NLD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,,0,15925513.0,0.002603027,23.205,77.98780488,413000000000.0,25933.23053,0.012291667
68,36,Stefan Remco Aartsen,M,25.0,194.0,78.0,Netherlands,NLD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,,0,15925513.0,0.002603027,23.205,77.98780488,413000000000.0,25933.23053,0.012291667
191,135,Lois Abbingh,F,23.0,178.0,72.0,Netherlands,NLD,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,,0,17018408.0,0.002286764,8.968,81.5097561,777000000000.0,45656.44448,0.01025066
631,456,Karin Abma,F,24.0,174.0,62.0,Netherlands,NLD,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,,0,13774037.0,0.003327744,36.502,74.64707317,108000000000.0,7840.838528,0.01682243
