Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
783,553,John Charles Abrams,M,25.0,183.0,,New Zealand,NZL,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,,0,2371800.0,0.00078169,24.002,71.23658537,5485854792.0,2312.949992,0.004004274
1009,698,Paul Douglas Ackerley,M,27.0,179.0,68.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold,0,3110500.0,0.000751483,16.972,72.42195122,13604832424.0,4373.840998,0.002119133
1084,754,Craig Robert Adair,M,21.0,187.0,81.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,3227100.0,0.000677965,16.367,74.37073171,21665456808.0,6713.599457,0.001790534
1085,754,Craig Robert Adair,M,21.0,187.0,81.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",,0,3227100.0,0.000677965,16.367,74.37073171,21665456808.0,6713.599457,0.001790534
1217,846,Valerie Kasanita Adams-Vili (-Price),F,19.0,193.0,120.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,,0,4087500.0,0.000635065,13.974,79.54878049,104000000000.0,25443.42508,0.002374429
1218,846,Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold,0,4259800.0,0.000629799,13.87,80.35121951,133000000000.0,31222.1231,0.002094488
1219,846,Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold,0,4408100.0,0.000621087,13.8,81.15609756,176000000000.0,39926.49895,0.0023498
1220,846,Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver,0,4692700.0,0.000630558,13.678,81.61243902,185000000000.0,39422.93349,0.002440633
2106,1511,Michael Christopher Aish,M,24.0,175.0,60.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 10,000 metres",,0,3857700.0,0.000630541,14.323,78.63658537,52623281957.0,13641.10272,0.001566169
2107,1511,Michael Christopher Aish,M,28.0,175.0,60.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",,0,4087500.0,0.000635065,13.974,79.54878049,104000000000.0,25443.42508,0.002374429
4734,3282,Rasoul Amani,M,35.0,168.0,63.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,3857700.0,0.000630541,14.323,78.63658537,52623281957.0,13641.10272,0.001566169
5440,3816,Gary John Anderson,M,20.0,181.0,75.0,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,3283400.0,0.000643085,15.732,74.42439024,45176167472.0,13758.95945,0.002365244
5441,3816,Gary John Anderson,M,24.0,181.0,75.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze,0,3531700.0,0.000647289,14.966,76.12439024,41649298171.0,11792.98869,0.001639736
5442,3816,Gary John Anderson,M,24.0,181.0,75.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",,0,3531700.0,0.000647289,14.966,76.12439024,41649298171.0,11792.98869,0.001639736
5443,3816,Gary John Anderson,M,28.0,181.0,75.0,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,3732000.0,0.000644274,14.579,76.78780488,70140835299.0,18794.43604,0.002219647
5444,3816,Gary John Anderson,M,32.0,181.0,75.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,3857700.0,0.000630541,14.323,78.63658537,52623281957.0,13641.10272,0.001566169
5445,3816,Gary John Anderson,M,32.0,181.0,75.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",,0,3857700.0,0.000630541,14.323,78.63658537,52623281957.0,13641.10272,0.001566169
5490,3857,Ross Woods Anderson,M,19.0,,,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,,0,3283400.0,0.000643085,15.732,74.42439024,45176167472.0,13758.95945,0.002365244
5491,3857,Ross Woods Anderson,M,19.0,,,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Butterfly,,0,3283400.0,0.000643085,15.732,74.42439024,45176167472.0,13758.95945,0.002365244
5492,3857,Ross Woods Anderson,M,19.0,,,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Butterfly,,0,3283400.0,0.000643085,15.732,74.42439024,45176167472.0,13758.95945,0.002365244
5493,3857,Ross Woods Anderson,M,19.0,,,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,3283400.0,0.000643085,15.732,74.42439024,45176167472.0,13758.95945,0.002365244
5494,3860,Scott Warren Anderson,M,24.0,,,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,,0,3531700.0,0.000647289,14.966,76.12439024,41649298171.0,11792.98869,0.001639736
5857,4156,Jon David Andrews,M,25.0,176.0,76.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's Sprint,,0,3531700.0,0.000647289,14.966,76.12439024,41649298171.0,11792.98869,0.001639736
5858,4156,Jon David Andrews,M,25.0,176.0,76.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,3531700.0,0.000647289,14.966,76.12439024,41649298171.0,11792.98869,0.001639736
6351,4467,John Anslow,M,29.0,173.0,73.0,New Zealand,NZL,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,,0,2585400.0,0.000793505,21.683,71.32926829,7274144351.0,2813.546976,0.004041191
6352,4467,John Anslow,M,33.0,173.0,73.0,New Zealand,NZL,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,,0,2748100.0,0.000777437,19.723,71.12439024,5180597621.0,1885.156152,0.002123196
6897,4825,Zavana Aranga,F,26.0,169.0,75.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,,0,3857700.0,0.000630541,14.323,78.63658537,52623281957.0,13641.10272,0.001566169
7040,4913,Shane William Archbold,M,23.0,182.0,79.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Omnium,,0,4408100.0,0.000621087,13.8,81.15609756,176000000000.0,39926.49895,0.0023498
7049,4923,Anna Archibald,F,20.0,,,New Zealand,NZL,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Downhill,,0,3112900.0,0.000701468,16.572,72.82926829,23245512449.0,7467.478059,0.002075492
7050,4923,Anna Archibald,F,20.0,,,New Zealand,NZL,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,3112900.0,0.000701468,16.572,72.82926829,23245512449.0,7467.478059,0.002075492
7052,4926,"Jeffrey Victor ""Jeff"" Archibald",M,20.0,177.0,68.0,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,,0,2903900.0,0.000756436,18.181,71.82926829,9567331065.0,3294.648943,0.002537754
7053,4926,"Jeffrey Victor ""Jeff"" Archibald",M,24.0,177.0,68.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold,0,3110500.0,0.000751483,16.972,72.42195122,13604832424.0,4373.840998,0.002119133
7054,4926,"Jeffrey Victor ""Jeff"" Archibald",M,32.0,177.0,68.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,,0,3227100.0,0.000677965,16.367,74.37073171,21665456808.0,6713.599457,0.001790534
7059,4932,Ryan Archibald,M,27.0,186.0,78.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,,0,4259800.0,0.000629799,13.87,80.35121951,133000000000.0,31222.1231,0.002094488
7060,4932,Ryan Archibald,M,31.0,186.0,78.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,,0,4408100.0,0.000621087,13.8,81.15609756,176000000000.0,39926.49895,0.0023498
7061,4932,Ryan Archibald,M,35.0,186.0,78.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,,0,4692700.0,0.000630558,13.678,81.61243902,185000000000.0,39422.93349,0.002440633
7332,5148,Michael Arms,M,22.0,199.0,95.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,,0,4408100.0,0.000621087,13.8,81.15609756,176000000000.0,39926.49895,0.0023498
7374,5170,Robin Armstrong,M,22.0,,,New Zealand,NZL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,,0,3110500.0,0.000751483,16.972,72.42195122,13604832424.0,4373.840998,0.002119133
7375,5170,Robin Armstrong,M,22.0,,,New Zealand,NZL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,3110500.0,0.000751483,16.972,72.42195122,13604832424.0,4373.840998,0.002119133
7376,5170,Robin Armstrong,M,22.0,,,New Zealand,NZL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,,0,3110500.0,0.000751483,16.972,72.42195122,13604832424.0,4373.840998,0.002119133
7688,5370,Christine Arthur,F,20.0,162.0,60.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,,0,3227100.0,0.000677965,16.367,74.37073171,21665456808.0,6713.599457,0.001790534
7689,5370,Christine Arthur,F,28.0,162.0,60.0,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,,0,3531700.0,0.000647289,14.966,76.12439024,41649298171.0,11792.98869,0.001639736
7935,5528,Bradlee Logan Taylor Ashby,M,20.0,200.0,92.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Butterfly,,0,4692700.0,0.000630558,13.678,81.61243902,185000000000.0,39422.93349,0.002440633
7936,5528,Bradlee Logan Taylor Ashby,M,20.0,200.0,92.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,,0,4692700.0,0.000630558,13.678,81.61243902,185000000000.0,39422.93349,0.002440633
8097,5657,David Anthony Aspin,M,22.0,177.0,82.0,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,2903900.0,0.000756436,18.181,71.82926829,9567331065.0,3294.648943,0.002537754
8098,5657,David Anthony Aspin,M,26.0,177.0,82.0,New Zealand,NZL,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,3110500.0,0.000751483,16.972,72.42195122,13604832424.0,4373.840998,0.002119133
8304,5798,Nigel William Atherfold,M,21.0,189.0,89.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,,0,3227100.0,0.000677965,16.367,74.37073171,21665456808.0,6713.599457,0.001790534
8606,6024,Brett William Austin,M,25.0,184.0,82.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,,0,3227100.0,0.000677965,16.367,74.37073171,21665456808.0,6713.599457,0.001790534
8607,6024,Brett William Austin,M,25.0,184.0,82.0,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,,0,3227100.0,0.000677965,16.367,74.37073171,21665456808.0,6713.599457,0.001790534
