Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
139,96,Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0,Nicaragua,NIC,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,5309703.0,0.000824956,44.305,71.537,5795568205.0,1091.505157,0.000132319
140,97,Carlos Alberto Abaunza,M,16.0,180.0,70.0,Nicaragua,NIC,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's High Jump,,0,2884155.0,0.000696799,51.023,56.991,,0,
1791,1269,Jessica Carolina Aguilera Aguilera,F,23.0,167.0,57.0,Nicaragua,NIC,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,5594506.0,0.000827131,43.299,73.028,8496965842.0,1518.805385,0.00013381
1820,1294,William Duilio Aguirre Villavicencio,M,29.0,173.0,65.0,Nicaragua,NIC,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,4331277.0,0.000793835,47.183,65.642,1792800000.0,413.9194976,7.06e-05
1821,1294,William Duilio Aguirre Villavicencio,M,33.0,173.0,65.0,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
3623,2525,Martn Aleman Uriarte,M,25.0,,,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
3820,2652,Ernesto Alguera,M,19.0,163.0,54.0,Nicaragua,NIC,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,,0,3249910.0,0.000732343,50.062,58.509,,0,
7033,4908,Geraldine Arce Vanegas,F,16.0,160.0,60.0,Nicaragua,NIC,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,5309703.0,0.000824956,44.305,71.537,5795568205.0,1091.505157,0.000132319
7183,5034,Juan Argello Sandoval,M,21.0,155.0,55.0,Nicaragua,NIC,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,2256782.0,0.000638443,54.707,52.339,,0,
7184,5034,Juan Argello Sandoval,M,21.0,155.0,55.0,Nicaragua,NIC,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,,0,2256782.0,0.000638443,54.707,52.339,,0,
8674,6085,Jorge Luis Avellan Chamorro,M,24.0,,,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
9363,6491,Erasmo Arturo Baca Gonzlez,M,30.0,,,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
15793,10788,Carlos Alberto Berrios Paiz,M,28.0,,,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
16082,11024,Arnulfo Betancourt Galeano,M,24.0,,,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
18744,12899,Eduardo Martn Bojorge,M,30.0,,,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
21512,14795,Osmar Bravo Amador,M,27.0,180.0,81.0,Nicaragua,NIC,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,,0,5877108.0,0.000828065,42.159,74.319,10532001130.0,1792.038045,0.000140614
26574,18205,Norman Cardoze Ramrez,M,24.0,,,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
27030,18541,Russel Carrero Trejos,F,21.0,155.0,50.0,Nicaragua,NIC,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres,,0,2549774.0,0.00066419,51.983,54.941,,0,
27031,18541,Russel Carrero Trejos,F,21.0,155.0,50.0,Nicaragua,NIC,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 200 metres,,0,2549774.0,0.00066419,51.983,54.941,,0,
27542,18884,Lucia Castanyeda Gomez,F,31.0,,63.0,Nicaragua,NIC,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Middleweight,,0,5877108.0,0.000828065,42.159,74.319,10532001130.0,1792.038045,0.000140614
28182,19331,Mario Centeno,M,22.0,180.0,71.0,Nicaragua,NIC,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Middleweight,,0,3619253.0,0.00076035,49.102,60.151,,0,
29060,19954,Garnet Charwat,F,13.0,167.0,50.0,Nicaragua,NIC,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,,0,3249910.0,0.000732343,50.062,58.509,,0,
29061,19954,Garnet Charwat,F,13.0,167.0,50.0,Nicaragua,NIC,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Breaststroke,,0,3249910.0,0.000732343,50.062,58.509,,0,
33685,23062,Fredy Corea,M,23.0,193.0,99.0,Nicaragua,NIC,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,,0,4700779.0,0.000811519,46.225,67.891,4308351903.0,916.5187096,0.00013634
