Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
677,487,Inni Aboubacar,M,,,,Niger,NER,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,7540253.0,0.00147683,84.791,42.531,2280356194.0,302.4243608,0.00011939
1148,799,Nafissatou Moussa Adamou,F,14.0,172.0,72.0,Niger,NER,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,17731634.0,0.002498328,82.014,58.16,6942209595.0,391.5155025,9.27e-05
3240,2272,Abdou Alassane Dji Bo,M,25.0,,66.0,Niger,NER,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Lightweight,,0,13127012.0,0.002039513,83.41,52.436,3052898739.0,232.5661574,6.97e-05
3757,2610,Abdoul Razak Issoufou Alfaga,M,21.0,207.0,90.0,Niger,NER,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Silver,0,20672987.0,0.00277783,80.99,60.058,7528387858.0,364.1654618,9.93e-05
3822,2655,Mohamed Alhousseini Alhassan,M,30.0,,,Niger,NER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,15228525.0,0.002251493,82.815,55.35,5403363917.0,354.8185998,8.51e-05
3864,2687,Mamane Sani Ali,M,31.0,,,Niger,NER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,11352973.0,0.001855645,83.814,49.874,1798374468.0,158.4055972,5.35e-05
3889,2714,Haissa Ali Garba,F,18.0,,,Niger,NER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,0,11352973.0,0.001855645,83.814,49.874,1798374468.0,158.4055972,5.35e-05
4037,2818,Adamou Allassane,M,23.0,180.0,65.0,Niger,NER,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,6720344.0,0.001411842,85.688,40.821,1461243327.0,217.435793,0.000120764
5037,3481,Chibou Amna,M,,,,Niger,NER,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,,0,6720344.0,0.001411842,85.688,40.821,1461243327.0,217.435793,0.000120764
11373,7832,Karim Bare,M,16.0,,,Niger,NER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,,0,11352973.0,0.001855645,83.814,49.874,1798374468.0,158.4055972,5.35e-05
36079,24764,Issaka Dabor,M,,163.0,64.0,Niger,NER,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Welterweight,,0,3802640.0,0.001167098,93.471,35.359,582816396.2,153.2662561,0.000323787
36080,24764,Issaka Dabor,M,,163.0,64.0,Niger,NER,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Welterweight,,0,4263745.0,0.001206212,92.094,35.657,641214226.8,150.3875646,0.000262793
36081,24764,Issaka Dabor,M,,163.0,64.0,Niger,NER,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Welterweight,Bronze,0,4768078.0,0.001242035,90.228,36.204,742779659.5,155.7817761,0.000197024
37182,25474,Dary Dasuda,M,,,,Niger,NER,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Bantamweight,,0,4263745.0,0.001206212,92.094,35.657,641214226.8,150.3875646,0.000262793
37649,25779,Moussa Daweye,M,26.0,170.0,64.0,Niger,NER,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,6720344.0,0.001411842,85.688,40.821,1461243327.0,217.435793,0.000120764
