Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
145,101,Adeyemi Abayomi,M,25.0,170.0,51.0,Nigeria,NGA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Lightweight,,0,58662603.0,0.015280998,81.451,41.827,12274416018.0,209.2374936,0.003255813
409,313,"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,53505978.0,0.015136828,82.731,40.182,5200895982.0,97.2021478,0.002131515
410,313,"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,,0,53505978.0,0.015136828,82.731,40.182,5200895982.0,97.2021478,0.002131515
411,313,"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,58662603.0,0.015280998,81.451,41.827,12274416018.0,209.2374936,0.003255813
412,313,"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,58662603.0,0.015280998,81.451,41.827,12274416018.0,209.2374936,0.003255813
446,334,Abubakar Sadiq Abdullahi,M,28.0,,,Nigeria,NGA,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,,0,90450281.0,0.017715543,71.981,45.988,23272161397.0,257.2923062,0.001218438
600,438,Jaiye Abidoye,M,30.0,,,Nigeria,NGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,,0,58662603.0,0.015280998,81.451,41.827,12274416018.0,209.2374936,0.003255813
601,438,Jaiye Abidoye,M,30.0,,,Nigeria,NGA,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",,0,58662603.0,0.015280998,81.451,41.827,12274416018.0,209.2374936,0.003255813
610,445,Endurance Abinuwa,F,24.0,159.0,54.0,Nigeria,NGA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,,0,167297284.0,0.023571627,54.766,51.699,461000000000.0,2755.573725,0.006154873
611,446,Bode Abiodun,M,35.0,170.0,68.0,Nigeria,NGA,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,,0,185989640.0,0.024991434,51.403,53.428,405000000000.0,2177.540642,0.005343008
634,459,Bukola Dammy Abogunloko,F,17.0,170.0,53.0,Nigeria,NGA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,,0,167297284.0,0.023571627,54.766,51.699,461000000000.0,2755.573725,0.006154873
697,503,Adeola Aboyade-Cole,M,22.0,193.0,78.0,Nigeria,NGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,,0,58662603.0,0.015280998,81.451,41.827,12274416018.0,209.2374936,0.003255813
864,604,"Folashade ""Shade"" Abugan",F,17.0,150.0,64.0,Nigeria,NGA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,150347390.0,0.022228422,58.298,49.887,208000000000.0,1383.462659,0.003275591
865,604,"Folashade ""Shade"" Abugan",F,17.0,150.0,64.0,Nigeria,NGA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,,0,150347390.0,0.022228422,58.298,49.887,208000000000.0,1383.462659,0.003275591
1232,859,Mamudu Adamu,M,27.0,,,Nigeria,NGA,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Half-Middleweight,,0,90450281.0,0.017715543,71.981,45.988,23272161397.0,257.2923062,0.001218438
1287,896,Olubayo Adefemi,M,22.0,181.0,82.0,Nigeria,NGA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,0,150347390.0,0.022228422,58.298,49.887,208000000000.0,1383.462659,0.003275591
1288,897,Lawrence Adegbeingbe,M,27.0,181.0,66.0,Nigeria,NGA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,81497739.0,0.017121437,75.128,46.104,28500815241.0,349.7129563,0.002355439
1289,898,"Stephen Adebisi Gbadegesin ""Steve"" Adegbite",M,24.0,186.0,77.0,Nigeria,NGA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,,0,110732904.0,0.019116374,67.275,45.877,34987951375.0,315.9670713,0.001107214
1290,899,Adewale Adegbusi,M,30.0,,67.0,Nigeria,NGA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,,0,90450281.0,0.017715543,71.981,45.988,23272161397.0,257.2923062,0.001218438
