Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
5162,3578,An Gil-Wan,M,27.0,174.0,74.0,North Korea,PRK,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,,0,16554746.0,0.003999551,43.26,64.206,,0,
5179,3593,An Kum-Ae,F,28.0,160.0,52.0,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Lightweight,Silver,0,24335146.0,0.00359788,39.96,68.886,,0,
5180,3593,An Kum-Ae,F,32.0,160.0,52.0,North Korea,PRK,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Gold,0,24854034.0,0.00350185,39.564,70.448,,0,
5181,3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,,0,20937404.0,0.003837401,41.321,69.492,,0,
5182,3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,,0,20937404.0,0.003837401,41.321,69.492,,0,
5183,3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,,0,20937404.0,0.003837401,41.321,69.492,,0,
5184,3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,,0,20937404.0,0.003837401,41.321,69.492,,0,
5185,3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,,0,20937404.0,0.003837401,41.321,69.492,,0,
5186,3594,An Myong-Hwa,F,17.0,,,North Korea,PRK,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,,0,20937404.0,0.003837401,41.321,69.492,,0,
5190,3597,An Se-Uk,M,28.0,168.0,69.0,North Korea,PRK,1976 Summer,1976,Summer,Montreal,Football,Football Men's Football,,0,16554746.0,0.003999551,43.26,64.206,,0,
5191,3598,An Sen-Za,F,18.0,,,North Korea,PRK,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 1,500 metres",,0,12282419.0,0.003769693,55.898,53.335,,0,
5198,3603,An Ung-Nam,M,28.0,183.0,93.0,North Korea,PRK,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Heavyweight,,0,16554746.0,0.003999551,43.26,64.206,,0,
10091,6987,Bak Sung-Wun,M,23.0,171.0,65.0,North Korea,PRK,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Men's 5,000 metres",,0,12282419.0,0.003769693,55.898,53.335,,0,
10092,6988,Bak Wol-Ja,F,19.0,,,North Korea,PRK,1964 Winter,1964,Winter,Innsbruck,Speed Skating,"Speed Skating Women's 3,000 metres",,0,12282419.0,0.003769693,55.898,53.335,,0,
