Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
403,307,Fahmi Ahmed Abdul Wahab Al-Tahri,M,23.0,,,North Yemen,YEM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,11051504.0,0.002164542,80.151,57.004,,0,
1963,1420,Ehab Fuad Ahmed Nagi,M,20.0,175.0,65.0,South Yemen,YEM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,11051504.0,0.002164542,80.151,57.004,,0,
2494,1771,Saeed Ali Al-Adhreai,M,21.0,171.0,64.0,Yemen,YEM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,20017068.0,0.003110004,71.61,61.52,13873500888.0,693.0835669,0.000316747
2698,1896,Khalid Ahmed Al-Estashi,M,18.0,155.0,65.0,Yemen,YEM,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",,0,13325583.0,0.002442309,77.942,58.519,6463649985.0,485.0556996,0.000254474
2709,1905,Abdulsalam Al-Gadabi,M,30.0,,,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,22356391.0,0.003305327,69.398,62.888,26910851362.0,1203.720733,0.000423793
2711,1907,Nabil Mohammed Al-Garbi,M,18.0,175.0,65.0,Yemen,YEM,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",,0,24909969.0,0.003509731,67.126,64.046,35393148127.0,1420.842721,0.000472539
2717,1912,Abdul Raab Al-Ghadi,M,21.0,170.0,65.0,North Yemen,YEM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,9472170.0,0.001989959,82.007,54.346,,0,
2718,1913,Ali Saleh Al-Ghadi,M,31.0,160.0,54.0,North Yemen,YEM,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",,0,9472170.0,0.001989959,82.007,54.346,,0,
2719,1913,Ali Saleh Al-Ghadi,M,31.0,160.0,54.0,North Yemen,YEM,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",,0,9472170.0,0.001989959,82.007,54.346,,0,
2724,1918,Abdullah Al-Ghrbi,M,23.0,167.0,72.0,North Yemen,YEM,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,11051504.0,0.002164542,80.151,57.004,,0,
2751,1937,Anwar Al-Harazi,M,15.0,170.0,69.0,North Yemen,YEM,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",,0,11051504.0,0.002164542,80.151,57.004,,0,
2752,1938,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,,0,22356391.0,0.003305327,69.398,62.888,26910851362.0,1203.720733,0.000423793
2753,1938,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,,0,22356391.0,0.003305327,69.398,62.888,26910851362.0,1203.720733,0.000423793
2754,1938,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horse Vault,,0,22356391.0,0.003305327,69.398,62.888,26910851362.0,1203.720733,0.000423793
2755,1938,Nashwan Haidar Al-Harazi,M,21.0,162.0,54.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,,0,22356391.0,0.003305327,69.398,62.888,26910851362.0,1203.720733,0.000423793
2784,1962,Salah Al-Humaidi,M,17.0,,,Yemen,YEM,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Extra-Lightweight,,0,13325583.0,0.002442309,77.942,58.519,6463649985.0,485.0556996,0.000254474
2791,1969,Abdullah Al-Izani,M,27.0,,,Yemen,YEM,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",,0,15889449.0,0.002743075,75.751,59.504,5785685311.0,364.1212046,0.000183091
2795,1973,Mohamed Al-Jalai,M,19.0,,,Yemen,YEM,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Lightweight,,0,13325583.0,0.002442309,77.942,58.519,6463649985.0,485.0556996,0.000254474
2842,2005,Basheer Mohamed Al-Khewani,M,18.0,175.0,68.0,Yemen,YEM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,17874725.0,0.002921626,73.733,60.382,9636342275.0,539.1043652,0.000286796
2850,2010,Tameem Mohammed Ahmed Al-Kubati,M,23.0,168.0,58.0,Yemen,YEM,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Flyweight,,0,24909969.0,0.003509731,67.126,64.046,35393148127.0,1420.842721,0.000472539
2949,2077,Akram Abdullah Al-Noor,M,16.0,160.0,54.0,Yemen,YEM,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Flyweight,,0,20017068.0,0.003110004,71.61,61.52,13873500888.0,693.0835669,0.000316747
3021,2118,Mohamed Al-Saadi,M,28.0,170.0,60.0,Yemen,YEM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,15889449.0,0.002743075,75.751,59.504,5785685311.0,364.1212046,0.000183091
3072,2153,Abdullah Al-Shamsi,M,20.0,165.0,70.0,North Yemen,YEM,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,11051504.0,0.002164542,80.151,57.004,,0,
3089,2166,Ahmed Yahya Al-Shiekh,M,28.0,,,Yemen,YEM,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,,0,13325583.0,0.002442309,77.942,58.519,6463649985.0,485.0556996,0.000254474
3100,2172,Mansour Mohamed Al-Soraihi,M,21.0,,,Yemen,YEM,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Lightweight,,0,13325583.0,0.002442309,77.942,58.519,6463649985.0,485.0556996,0.000254474
3127,2192,Mohammed Ahmed Al-Yafaee,M,23.0,185.0,65.0,Yemen,YEM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,,0,22356391.0,0.003305327,69.398,62.888,26910851362.0,1203.720733,0.000423793
3836,2667,Anwar Mohamed Ali,M,25.0,170.0,58.0,Yemen,YEM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,15889449.0,0.002743075,75.751,59.504,5785685311.0,364.1212046,0.000183091
9168,6385,Nooran Ahmed Ali Ba Matraf,F,16.0,166.0,60.0,Yemen,YEM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Butterfly,,0,27584213.0,0.003706492,64.813,64.953,27317605346.0,990.334774,0.000360391
12300,8524,Saeed Basweidan,M,19.0,160.0,61.0,Yemen,YEM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,15889449.0,0.002743075,75.751,59.504,5785685311.0,364.1212046,0.000183091
36263,24897,Fatima Abdullah Suleiman Al-Dahman,F,19.0,168.0,49.0,Yemen,YEM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,24909969.0,0.003509731,67.126,64.046,35393148127.0,1420.842721,0.000472539
36952,25328,Abdul Karim Daoud,M,18.0,165.0,62.0,North Yemen,YEM,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",,0,11051504.0,0.002164542,80.151,57.004,,0,
78394,53294,Ali Mohamed Sanad Jaffer,M,33.0,,54.0,South Yemen,YEM,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,,0,11051504.0,0.002164542,80.151,57.004,,0,
